estimator,L,year,j05,j95,p_joint,panel
AFE,0,2021,-1.1321518710966094e-5,6.42543310109711e-5,0.886,L = 0
AFE,0,2022,-3.325171939702054e-5,1.914968004399497e-4,0.886,L = 0
AFE,0,2023,-6.410383568607457e-5,3.8071078925427373e-4,0.886,L = 0
AFE,0,2024,-1.0623444862262742e-4,6.306377728688694e-4,0.886,L = 0
AFE,0,2025,-1.5609930250795045e-4,9.396141809589197e-4,0.886,L = 0
AFE,0,2026,-2.3724892312073642e-4,0.0012840068968627768,0.886,L = 0
AFE,0,2027,-3.0001541965385956e-4,0.0017033052599271345,0.886,L = 0
AFE,0,2028,-3.822233250970364e-4,0.0021790827869052508,0.886,L = 0
AFE,0,2029,-4.655678380191264e-4,0.0027106203043361305,0.886,L = 0
AFE,0,2030,-5.292871864627179e-4,0.0032972402021731514,0.886,L = 0
AFE,0,2031,-6.71980979428327e-4,0.003890404389283641,0.886,L = 0
AFE,0,2032,-7.713536849380197e-4,0.004582571288165454,0.886,L = 0
AFE,0,2033,-8.723236320817894e-4,0.005319150943892896,0.886,L = 0
AFE,0,2034,-9.729685579046687e-4,0.006129447285746081,0.886,L = 0
AFE,0,2035,-0.0010404756185536767,0.006996353220294092,0.886,L = 0
AFE,0,2036,-0.0012025909962507576,0.007834949321811535,0.886,L = 0
AFE,0,2037,-0.0012472492455440354,0.008847957001344152,0.886,L = 0
AFE,0,2038,-0.001274533976639125,0.00993307272171321,0.886,L = 0
AFE,0,2039,-0.0012761125367704352,0.011066621086554932,0.886,L = 0
AFE,0,2040,-0.0012457816001722908,0.0122714643360446,0.886,L = 0
AFE,0,2041,-0.0013823694235181594,0.013318219428550469,0.886,L = 0
AFE,0,2042,-0.0012236721472274445,0.014493047427547203,0.886,L = 0
AFE,0,2043,-0.0010170522765625349,0.01575429114623925,0.886,L = 0
AFE,0,2044,-0.00083587617281524675,0.017184609576796336,0.886,L = 0
AFE,0,2045,-7.197890341244512e-4,0.01852425513463945,0.886,L = 0
AFE,0,2046,-8.129448610193539e-4,0.01973902278298474,0.886,L = 0
AFE,0,2047,-7.732109901418149e-4,0.021253186328390912,0.886,L = 0
AFE,0,2048,-5.345313392611122e-4,0.022854996919426294,0.886,L = 0
AFE,0,2049,-2.444474944151498e-4,0.024735094673399835,0.886,L = 0
AFE,0,2050,-1.6805355953107934e-5,0.026698970137223676,0.886,L = 0
AFE,0,2051,-2.424235902786935e-5,0.028304962016061253,0.886,L = 0
AFE,0,2052,2.232975062252019e-4,0.029988866353023027,0.886,L = 0
AFE,0,2053,4.951328149426404e-4,0.032089351047716645,0.886,L = 0
AFE,0,2054,7.910178177354907e-4,0.03425289273800081,0.886,L = 0
AFE,0,2055,0.001018371617538039,0.036369022986109056,0.886,L = 0
AFE,0,2056,8.850019563103056e-4,0.03808092857899799,0.886,L = 0
AFE,0,2057,0.0011677541221982116,0.040350716900527314,0.886,L = 0
AFE,0,2058,0.0014860904524648725,0.04264783316408361,0.886,L = 0
AFE,0,2059,0.001888591884144237,0.044626214498331276,0.886,L = 0
AFE,0,2060,0.0021865705480507212,0.04703486639355299,0.886,L = 0
AFE,0,2061,0.002072190493986959,0.04916256656838932,0.886,L = 0
AFE,0,2062,0.0021221136663934492,0.05131977157668667,0.886,L = 0
AFE,0,2063,0.00232885692956752,0.05350688580421482,0.886,L = 0
AFE,0,2064,0.002622807784795951,0.05572257778456367,0.886,L = 0
AFE,0,2065,0.0029358363710123973,0.058239753648263455,0.886,L = 0
AFE,0,2066,0.002855562302091316,0.06089576289010225,0.886,L = 0
AFE,0,2067,0.0031814757120343182,0.06372040146591165,0.886,L = 0
AFE,0,2068,0.0035268184234320964,0.06643291283716479,0.886,L = 0
AFE,0,2069,0.0038519840820350737,0.06955987455170615,0.886,L = 0
AFE,0,2070,0.0039431639566030775,0.07262167442182765,0.886,L = 0
AFE,0,2071,0.0033097115598155007,0.07510023048909896,0.886,L = 0
AFE,0,2072,0.003134784598156378,0.07721530863290008,0.886,L = 0
AFE,0,2073,0.0029290093978728902,0.07937401175836818,0.886,L = 0
AFE,0,2074,0.002766225559407082,0.08264517308476096,0.886,L = 0
AFE,0,2075,0.002977743534263633,0.08599804853384727,0.886,L = 0
AFE,0,2076,0.0026417937833942873,0.08966911943657035,0.886,L = 0
AFE,0,2077,0.0030569371847996483,0.0929134246310828,0.886,L = 0
AFE,0,2078,0.0031784570311095784,0.09694898616943423,0.886,L = 0
AFE,0,2079,0.0031193486616655328,0.10074373239005192,0.886,L = 0
AFE,0,2080,0.0029466931206438398,0.10383016370274192,0.886,L = 0
AFE,0,2081,0.0015431419716985307,0.10592573098092836,0.886,L = 0
AFE,0,2082,0.0015212056208045786,0.10845790794300662,0.886,L = 0
AFE,0,2083,0.0014608568257035675,0.11134010522764523,0.886,L = 0
AFE,0,2084,8.980873275944775e-4,0.11577848314891757,0.886,L = 0
AFE,0,2085,8.025527657770664e-4,0.12053501385005519,0.886,L = 0
AFE,0,2086,-0.0016806616389473505,0.12402809890202725,0.886,L = 0
AFE,0,2087,-0.0019779032301150954,0.1275062652708529,0.886,L = 0
AFE,0,2088,-0.0022927262857048857,0.13172010013066388,0.886,L = 0
AFE,0,2089,-0.0027921226385162505,0.13738536486398278,0.886,L = 0
AFE,0,2090,-0.003980639769248405,0.1431782081753337,0.886,L = 0
