ssp,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,AFE,Country resampling,0,M8,2021,-3.580295461824701e-5,-2.7987776396393437e-4,-2.3855583852799289e-4,-2.0106354408663262e-4,-1.2005576009974095e-4,-2.832613514791582e-5,5.0169125257848446e-5,1.24807187562559e-4,1.7616118800531917e-4,2.1799918580185922e-4
SSP585,AFE,Country resampling,0,M8,2022,-1.1628852913803112e-4,-8.493867781861869e-4,-7.263879515082783e-4,-6.10819338205415e-4,-3.7083224946204973e-4,-9.50689504667368e-5,1.434133260467818e-4,3.6551671121802813e-4,5.197428773338724e-4,6.462691160695199e-4
SSP585,AFE,Country resampling,0,M8,2023,-2.501962541585634e-4,-0.0017141799021299197,-0.0014742683648929446,-0.0012392541439590788,-7.605660190703745e-4,-2.1247277263503062e-4,2.692685114322746e-4,7.151921806372921e-4,0.0010263360291381408,0.0012797839017765931
SSP585,AFE,Country resampling,0,M8,2024,-4.461130653229395e-4,-0.0028916349140232387,-0.0024910383238437193,-0.0021017496945489153,-0.0012913864261326902,-3.8848039993932826e-4,4.2381053216966613e-4,0.0011659656343337545,0.001690770119146755,0.0021134714595029136
SSP585,AFE,Country resampling,0,M8,2025,-7.124600653541924e-4,-0.004387964167011596,-0.0037857405418266817,-0.0032079056270920337,-0.0019840599580787377,-6.088864191325927e-4,5.799612349302596e-4,0.001715053716329962,0.0025148345720225835,0.0031206714761482673
SSP585,AFE,Country resampling,0,M8,2026,-0.001120456238030032,-0.00628948755347101,-0.0054400401825503595,-0.004630891525688607,-0.002915199228118004,-9.439364981246867e-4,6.942929249937335e-4,0.0022794944726787234,0.0034169138685629635,0.004237681889350062
SSP585,AFE,Country resampling,0,M8,2027,-0.0015758268081766946,-0.00847963798338556,-0.007343541796874458,-0.006243589577972087,-0.003988851806596999,-0.0013473088440156267,8.678799481696697e-4,0.0029950629794737397,0.004483839505894556,0.005584728049328956
SSP585,AFE,Country resampling,0,M8,2028,-0.002130497069404602,-0.011024567981300897,-0.009554520349113456,-0.008134535109289343,-0.005257669554066674,-0.0018539064565529229,0.0010450824620725219,0.003777255837632399,0.005688841911396232,0.007097607193729731
SSP585,AFE,Country resampling,0,M8,2029,-0.0027924741713031276,-0.013912979426610073,-0.012080241372649968,-0.01028070178920195,-0.006719974272507312,-0.002463199554103346,0.0012114790475531434,0.00460288757699945,0.007016485840464365,0.008770647109731914
SSP585,AFE,Country resampling,0,M8,2030,-0.003569547013051233,-0.017140727158561457,-0.014927354819079947,-0.012700413367489715,-0.00835803062437715,-0.0031715821672251288,0.0013404920331726022,0.005543868288683853,0.008460905582212668,0.010598479638805662
SSP585,AFE,Country resampling,0,M8,2031,-0.004605257833709908,-0.020794239845322155,-0.018257768511697945,-0.015575083794909572,-0.010338441292151196,-0.00411457388869485,0.001373814160249509,0.006459570075505107,0.009899847298509944,0.012383140571403446
SSP585,AFE,Country resampling,0,M8,2032,-0.0056578229476743624,-0.024711803158966778,-0.021791285842931794,-0.01863636080483072,-0.012392217395218535,-0.005083730536257436,0.0014722235427061525,0.00738216834451564,0.011468857996451464,0.014476931624132345
SSP585,AFE,Country resampling,0,M8,2033,-0.006848694710859582,-0.02898022216949299,-0.025663463541151878,-0.021991554347517275,-0.01465484924268376,-0.006199853966751878,0.0014811341678079848,0.008390542278762014,0.013104376818428376,0.016709469425659734
SSP585,AFE,Country resampling,0,M8,2034,-0.008184669163115,-0.03360061252787207,-0.029877679097669863,-0.025635765288786118,-0.0171496116994789,-0.007410234609856403,0.0014632199979218163,0.009471572103809623,0.014780198320289671,0.019076590508435073
SSP585,AFE,Country resampling,0,M8,2035,-0.009672289138148216,-0.038631058104363375,-0.034435205742579286,-0.029636544767471552,-0.019936549131589903,-0.00874922476738621,0.0013509854427258827,0.010543502744929725,0.016581715165045703,0.02157438403257693
SSP585,AFE,Country resampling,0,M8,2036,-0.011526046639014687,-0.04421307701104239,-0.03961033186145016,-0.034123244998181715,-0.02304570394783753,-0.010435930090805456,9.495530771460037e-4,0.011400658991795189,0.018116011796620386,0.0238850332063342
SSP585,AFE,Country resampling,0,M8,2037,-0.013349151181536678,-0.05002658622623804,-0.044880211790792546,-0.038587518172854184,-0.02627125397683147,-0.012114820090295464,7.077436136640469e-4,0.012357715534625908,0.019978613867906937,0.026616532074080664
SSP585,AFE,Country resampling,0,M8,2038,-0.015339683288931094,-0.05620919519962159,-0.05047767183466905,-0.043481462378822555,-0.029762598912140503,-0.013926859839551609,4.3574855970401893e-4,0.013462160167937758,0.02188821634749636,0.029470177915912766
SSP585,AFE,Country resampling,0,M8,2039,-0.01750278505186753,-0.06275928904158604,-0.05641214033190631,-0.048698439029791984,-0.03339426251809971,-0.0158969070713727,1.5921214967368202e-4,0.014633128713718736,0.02389040177812928,0.03244328836256498
SSP585,AFE,Country resampling,0,M8,2040,-0.019843311009874465,-0.06966802211544156,-0.06271873079241924,-0.05419347910678883,-0.03735030708109574,-0.018007147132868606,-2.835742278838038e-4,0.015692323434846504,0.02620229431321889,0.035504654543210216
SSP585,AFE,Country resampling,0,M8,2041,-0.02254746710135558,-0.0770747520585357,-0.0695468736929286,-0.060161353970565476,-0.04167640164822323,-0.02058591985588848,-9.519030649298987e-4,0.01657390935315513,0.02823193764806056,0.038382622908118266
SSP585,AFE,Country resampling,0,M8,2042,-0.025236211618313686,-0.08468571075407699,-0.07649110970218527,-0.06633362119926738,-0.04610886282020166,-0.02310730674914757,-0.0016713359314143028,0.017565475492292714,0.030455936087624293,0.041617627943112134
SSP585,AFE,Country resampling,0,M8,2043,-0.028107882081142677,-0.09264207539213047,-0.08366982018519306,-0.0727993879259327,-0.05078950106921831,-0.025793999604624196,-0.002506728087597526,0.018525332286491652,0.032878009240629294,0.04515490859597849
SSP585,AFE,Country resampling,0,M8,2044,-0.031165583294699206,-0.1009381065357127,-0.09114324759810108,-0.07957320413481811,-0.05556283014650179,-0.02863816659207824,-0.003455892061611371,0.01944974052837612,0.03536017444659288,0.048730638829901904
SSP585,AFE,Country resampling,0,M8,2045,-0.03441211195140448,-0.10956738295517583,-0.09894890135237192,-0.08663585373732419,-0.0607496242622583,-0.031642757772357366,-0.00452317614975406,0.020501403092223525,0.037889705249326285,0.052414272860200485
SSP585,AFE,Country resampling,0,M8,2046,-0.0378334264237129,-0.11842442800967035,-0.10710530447507852,-0.09388701975949956,-0.06611062160749148,-0.03478917224016187,-0.005588353995294865,0.021431157690826975,0.04038302862322615,0.05598631991509799
SSP585,AFE,Country resampling,0,M8,2047,-0.04140155788903199,-0.12764301988523086,-0.11548396009148987,-0.10130018308422646,-0.0717445613415455,-0.03807888877211962,-0.00669207322533702,0.022412841653425702,0.04304307216453777,0.05995257820160425
SSP585,AFE,Country resampling,0,M8,2048,-0.045154608499535454,-0.13716237468851666,-0.12415355913571223,-0.10896667197012011,-0.07759662226253805,-0.04157542660150826,-0.007947739723098146,0.02335796240289678,0.04575258876337444,0.06400200829444962
SSP585,AFE,Country resampling,0,M8,2049,-0.049093608515827,-0.14697328888474534,-0.13314041341930138,-0.11688765055359804,-0.08366104116315756,-0.04519013333009114,-0.0091953586814926,0.02429021709225179,0.04850821110570265,0.06797999904970471
SSP585,AFE,Country resampling,0,M8,2050,-0.05321928278830712,-0.156998342913072,-0.14240026255420293,-0.1251429309311225,-0.09000635273281954,-0.04896305973864484,-0.010617085563027207,0.02510105291043252,0.051031447376713154,0.07204092785327106
SSP585,AFE,Country resampling,0,M8,2051,-0.05707165539324677,-0.16686854185949201,-0.15140160965427302,-0.1331323429517223,-0.09604437036136071,-0.05248029796822551,-0.011702775113407116,0.026411287773174183,0.05403578247669745,0.0765258950324295
SSP585,AFE,Country resampling,0,M8,2052,-0.06143327209329441,-0.17733407355267317,-0.1610875459521198,-0.14180395755076633,-0.10254275361634119,-0.05643488701531907,-0.013280100045286958,0.027302645333314682,0.05673793004844062,0.0808958498720238
SSP585,AFE,Country resampling,0,M8,2053,-0.06596603367172671,-0.18792136907024193,-0.17103703638100956,-0.15085286808599394,-0.10922760976768081,-0.06062401696473951,-0.015003236274424792,0.028171903651113106,0.060044982191782725,0.08536035850469845
SSP585,AFE,Country resampling,0,M8,2054,-0.0706688368358449,-0.19873171174704907,-0.18120290046649987,-0.16013284996809485,-0.11623778637442098,-0.0649394455177002,-0.016780120723661696,0.029019274663432525,0.06343477799774835,0.08991828163384519
SSP585,AFE,Country resampling,0,M8,2055,-0.07554029897306913,-0.2097545684850816,-0.19157179905368188,-0.16963528292289934,-0.1234576920605884,-0.06922243672956946,-0.01861818512819438,0.029845275541344883,0.06687478213175689,0.09456673617761653
SSP585,AFE,Country resampling,0,M8,2056,-0.07951262904260692,-0.22044223761346854,-0.200935390905461,-0.1781294856338413,-0.12966330460039113,-0.07283535587491163,-0.019161961512235176,0.031725243116308983,0.07089894659196064,0.10023105412714764
SSP585,AFE,Country resampling,0,M8,2057,-0.08451044321449319,-0.23175797783351534,-0.21134376661999196,-0.18782131506580374,-0.1370735448249248,-0.0774822101237786,-0.020867224750738184,0.032673837371829016,0.07521141763840229,0.10527644898573907
SSP585,AFE,Country resampling,0,M8,2058,-0.08965221421707925,-0.24324473469489308,-0.22199192324524464,-0.19767126451489536,-0.14464475296976276,-0.08224602564582484,-0.02265608542227429,0.03360002689538046,0.07874720973764482,0.11043339153655246
SSP585,AFE,Country resampling,0,M8,2059,-0.09493487473083151,-0.2548910037703667,-0.2327684774122038,-0.20768505813330979,-0.15237011052794525,-0.08701044523971985,-0.024525534149127004,0.03459053610652596,0.08221191119591355,0.11570440334668991
SSP585,AFE,Country resampling,0,M8,2060,-0.10035512756853582,-0.26668513694669144,-0.24363318109193013,-0.21785228463046152,-0.16024256600129086,-0.0919280763570639,-0.026449491225592425,0.03584909316105357,0.08573248878572796,0.12109058330259304
SSP585,AFE,Country resampling,0,M8,2061,-0.10407693753617786,-0.27653338832529056,-0.25258591445894346,-0.22601447956188778,-0.1660834876326212,-0.09538006130406179,-0.02695817376106957,0.0395065395677534,0.09084053121084654,0.12834299071426597
SSP585,AFE,Country resampling,0,M8,2062,-0.10948573428943797,-0.2875155999202909,-0.2633930166484659,-0.23568011498272937,-0.17382208505615385,-0.10025507766732422,-0.028944451556607714,0.0412379164145282,0.0947595729032795,0.13428109422953097
SSP585,AFE,Country resampling,0,M8,2063,-0.11500028169055898,-0.2988048085816425,-0.27427078030829793,-0.24547715286444982,-0.18145213081886669,-0.1051814864639189,-0.031071574696206694,0.04305398131715273,0.09876350311927105,0.1403687089162482
SSP585,AFE,Country resampling,0,M8,2064,-0.12061598133652796,-0.31062064713119797,-0.28520684385953393,-0.25535659701877894,-0.18876003214000053,-0.11043168370913964,-0.033287588986992855,0.044962400722538064,0.10287530516719044,0.1466093524068876
SSP585,AFE,Country resampling,0,M8,2065,-0.12632807844007377,-0.32247862952606554,-0.29618895285475555,-0.2652416197804342,-0.19659799219214663,-0.11578383409782117,-0.035301021003944943,0.04697134337251257,0.10707863121600605,0.1530068076168603
SSP585,AFE,Country resampling,0,M8,2066,-0.1296555104488747,-0.3320514690262898,-0.304620345085959,-0.27287237879471155,-0.20261332635308069,-0.11868831528808838,-0.03501463979511055,0.050478776070995504,0.1135677960609067,0.1620650952108199
SSP585,AFE,Country resampling,0,M8,2067,-0.1352660357248031,-0.34371855539592006,-0.31541017382923914,-0.2832401270633387,-0.21081565960721188,-0.12363384342315381,-0.03658681302225106,0.05208597457167628,0.1184877481968497,0.169135429428409
SSP585,AFE,Country resampling,0,M8,2068,-0.1409407995101376,-0.3553790342055744,-0.3262084604008571,-0.2936381983240206,-0.21909972520133714,-0.1286109596054219,-0.038470734429579656,0.05370384137048922,0.12320759455858513,0.17640458405977488
SSP585,AFE,Country resampling,0,M8,2069,-0.14667428525972903,-0.36702084704064264,-0.3371097919943361,-0.30327289428637805,-0.22727585258203697,-0.13397690200585705,-0.040411101593829046,0.05533237195485267,0.1282327542968491,0.1838790194810812
SSP585,AFE,Country resampling,0,M8,2070,-0.15246089867630397,-0.3792010029684205,-0.3480032044844355,-0.3130517984263562,-0.23516662671306868,-0.1389451868769372,-0.04216430221598316,0.056971612848897284,0.13336792001404957,0.19139158416586521
SSP585,AFE,Country resampling,0,M8,2071,-0.15512380069780873,-0.3882624663133164,-0.3556558672835423,-0.3198702673513446,-0.24028377833078418,-0.14079451507482488,-0.04072322701378889,0.06215230200482892,0.1416212416892913,0.2004743755319158
SSP585,AFE,Country resampling,0,M8,2072,-0.16073587859089733,-0.39964027985603184,-0.3661545124666249,-0.3301312951403572,-0.24853800106819415,-0.1459967993056816,-0.042208179611333246,0.06471252485300842,0.1473204249880612,0.20816402231376213
SSP585,AFE,Country resampling,0,M8,2073,-0.1663715452009018,-0.41144997939596895,-0.3765927961243717,-0.3404061632795658,-0.2564889998355586,-0.1511071628105537,-0.04381777692206315,0.06773474902617771,0.1531970707357663,0.21600943417890203
SSP585,AFE,Country resampling,0,M8,2074,-0.1720249619732972,-0.4232298486037109,-0.38728851974518824,-0.35068698063837345,-0.2639018680021321,-0.15554087740426714,-0.04506246049842483,0.07092308051664963,0.15925914724145956,0.22401238859532374
SSP585,AFE,Country resampling,0,M8,2075,-0.17769028359158623,-0.4348631259777338,-0.3974463932207394,-0.3607630827073764,-0.27157746386860326,-0.16102909322661357,-0.04597533708198173,0.07434499922391516,0.16551507462359782,0.234093332002624
SSP585,AFE,Country resampling,0,M8,2076,-0.17940467170816365,-0.44454679103468864,-0.40441764799382585,-0.36687139635358235,-0.27677798721262203,-0.16313554215012227,-0.042892205060250155,0.08311087727712513,0.17631572525384795,0.2506542588093603
SSP585,AFE,Country resampling,0,M8,2077,-0.18483698646397106,-0.4561158496868225,-0.4152330526400036,-0.37703488613590674,-0.2850921302833379,-0.16857153824026005,-0.04376262708860154,0.08625229219134482,0.18386212871611485,0.263016625895343
SSP585,AFE,Country resampling,0,M8,2078,-0.1902555684018291,-0.46655522562227797,-0.42566695199567045,-0.3869058534565769,-0.2927570509309647,-0.17240259133862967,-0.044172073406774065,0.08951923892311617,0.19200849349099494,0.2740485581611281
SSP585,AFE,Country resampling,0,M8,2079,-0.19565468965734079,-0.476391937503288,-0.43647005719030896,-0.3965234835129103,-0.3009206090098082,-0.1764525480548076,-0.04513954384135849,0.09312755068192027,0.20071900585288743,0.2851329942816502
SSP585,AFE,Country resampling,0,M8,2080,-0.20102866711078082,-0.4860766158443181,-0.44695669832162516,-0.40557230347556505,-0.3086834865277445,-0.1810783462718064,-0.046749641484474636,0.09746189027700525,0.20978768541415113,0.29652805268824206
SSP585,AFE,Country resampling,0,M8,2081,-0.20156082735723768,-0.49256058585465007,-0.4536123580656509,-0.4104585276230016,-0.31099113999069355,-0.1807585803923571,-0.042147165429961275,0.10858551497748557,0.22438265653946468,0.31451210959517617
SSP585,AFE,Country resampling,0,M8,2082,-0.20662047111626425,-0.5031713283608442,-0.4635835361101441,-0.42006468765373944,-0.31792167636492097,-0.18550549552166445,-0.04230706796597161,0.11452920513430584,0.23419822762762593,0.3271396272996613
SSP585,AFE,Country resampling,0,M8,2083,-0.21163141757053117,-0.513660651173876,-0.47346655879012706,-0.4289380180404438,-0.3254008906927296,-0.18838771977164853,-0.04265453329631064,0.12034849211248802,0.24442658351878066,0.3402086368906082
SSP585,AFE,Country resampling,0,M8,2084,-0.21658826653427543,-0.5240228864514916,-0.4831506600157231,-0.43771102811234885,-0.3318939263690264,-0.19138375831304316,-0.04282213308018959,0.12638685940465216,0.25512628094287876,0.35373741445971946
SSP585,AFE,Country resampling,0,M8,2085,-0.2214856906103827,-0.5328008538465173,-0.4926620046211707,-0.4458958323213618,-0.3382112488086485,-0.1944391144518272,-0.04174128808399205,0.13153354747396498,0.26931821987222376,0.3677451023058354
