ISO_C3,estimator,L,delta_m8,delta_m4,IE_effect,diff_sign,m8_sign,m4_sign,cntry.name,region
AFG,AFE,0,-0.10124772445725194,-0.07771951651300713,-0.023528207944244817,negative,negative,negative,Afghanistan,_EECA
AGO,AFE,0,-0.8156475913722787,-0.8676682410980392,0.05202064972576048,positive,negative,negative,Angola,_SSAF
ALB,AFE,0,-0.5091224777431548,-0.528000229201526,0.018877751458371228,positive,negative,negative,Albania,_EECA
ARE,AFE,0,-0.9885431079358534,-0.9707733379016095,-0.01776977003424396,negative,negative,negative,United Arab Emirates,_MENA
ARG,AFE,0,-0.6049755643613084,-0.6092319246033959,0.004256360242087531,positive,negative,negative,Argentina,_LAC
AUS,AFE,0,-0.6095915627437202,-0.6173225910522706,0.007731028308550436,positive,negative,negative,Australia,_WEOFF
AUT,AFE,0,0.69490860501128,0.5563216336989547,0.13858697131232534,positive,positive,positive,Austria,_WEOFF
AZE,AFE,0,-0.4298653912836604,-0.39448401857378246,-0.035381372709877956,negative,negative,negative,Azerbaijan,_EECA
BEL,AFE,0,0.09715183341625178,0.051635135153620615,0.04551669826263116,positive,positive,positive,Belgium,_WEOFF
BEN,AFE,0,-0.9046445329999412,-0.9291039718050316,0.024459438805090383,positive,negative,negative,Benin,_SSAF
BFA,AFE,0,-0.9499576531138955,-0.9606448776683547,0.010687224554459251,positive,negative,negative,Burkina Faso,_SSAF
BGD,AFE,0,-0.8615750786728278,-0.909847919113709,0.048272840440881204,positive,negative,negative,Bangladesh,_SEAS
BGR,AFE,0,-0.3544412990721292,-0.35253376324634444,-0.0019075358257847341,negative,negative,negative,Bulgaria,_EECA
BHS,AFE,0,-0.7522098501362026,-0.7364398236645167,-0.015770026471685905,negative,negative,negative,Bahamas,_LAC
BIH,AFE,0,-0.12189344353317355,-0.19974600825360134,0.07785256472042779,positive,negative,negative,Bosnia & Herzegovina,_EECA
BLR,AFE,0,1.0645195369609102,1.098754563374491,-0.034235026413580893,negative,positive,positive,Belarus,_EECA
BLZ,AFE,0,-0.9317065632248029,-0.9250473618335008,-0.006659201391302161,negative,negative,negative,Belize,_LAC
BOL,AFE,0,0.03204926802270225,-0.6592310702403908,0.6912803382630931,positive,positive,negative,Bolivia,_LAC
