ISO_C3,estimator,L,delta_all,delta_dir,IE_effect,diff_sign,inter_sign,nointer_sign,cntry.name,region
AFG,AFE,0,-0.10124772445725194,0.08280842655094367,-0.1840561510081956,negative,negative,positive,Afghanistan,_EECA
AGO,AFE,0,-0.8156475913722787,-0.953188299031246,0.1375407076589673,positive,negative,negative,Angola,_SSAF
ALB,AFE,0,-0.5091224777431548,-0.5593157252064271,0.05019324746327236,positive,negative,negative,Albania,_EECA
ARE,AFE,0,-0.9885431079358534,-0.9909367505566955,0.0023936426208420736,positive,negative,negative,United Arab Emirates,_MENA
ARG,AFE,0,-0.6049755643613084,-0.7153766777681518,0.11040111340684344,positive,negative,negative,Argentina,_LAC
AUS,AFE,0,-0.6095915627437202,-0.6872434530095755,0.07765189026585528,positive,negative,negative,Australia,_WEOFF
AUT,AFE,0,0.69490860501128,1.2730561507064881,-0.5781475456952081,negative,positive,positive,Austria,_WEOFF
AZE,AFE,0,-0.4298653912836604,-0.4083990392626192,-0.02146635202104119,negative,negative,negative,Azerbaijan,_EECA
BEL,AFE,0,0.09715183341625178,-0.012530887609467634,0.10968272102571941,positive,positive,negative,Belgium,_WEOFF
BEN,AFE,0,-0.9046445329999412,-0.9758460614721027,0.07120152847216155,positive,negative,negative,Benin,_SSAF
BFA,AFE,0,-0.9499576531138955,-0.9896865081461799,0.039728855032284405,positive,negative,negative,Burkina Faso,_SSAF
BGD,AFE,0,-0.8615750786728278,-0.991403174579772,0.12982809590694422,positive,negative,negative,Bangladesh,_SEAS
BGR,AFE,0,-0.3544412990721292,-0.35522831161710555,7.870125449763732e-4,positive,negative,negative,Bulgaria,_EECA
BHS,AFE,0,-0.7522098501362026,-0.6627358404319765,-0.08947400970422603,negative,negative,negative,Bahamas,_LAC
BIH,AFE,0,-0.12189344353317355,-0.045160340918184994,-0.07673310261498856,negative,negative,negative,Bosnia & Herzegovina,_EECA
BLR,AFE,0,1.0645195369609102,2.1545888576706926,-1.0900693207097825,negative,positive,positive,Belarus,_EECA
BLZ,AFE,0,-0.9317065632248029,-0.9659045035408618,0.03419794031605883,positive,negative,negative,Belize,_LAC
BOL,AFE,0,0.03204926802270225,-0.6044339592551325,0.6364832272778348,positive,positive,negative,Bolivia,_LAC
BRA,AFE,0,-0.8025723128224267,-0.9016005869657595,0.09902827414333282,positive,negative,negative,Brazil,_LAC
BRN,AFE,0,-0.9799157229306867,-0.9980989616110444,0.01818323868035765,positive,negative,negative,Brunei,_SEAS
BWA,AFE,0,-0.9161775638347935,-0.9601080563195089,0.04393049248471537,positive,negative,negative,Botswana,_SSAF
CAF,AFE,0,-0.8578503157475965,-0.9781783256622059,0.12032800991460935,positive,negative,negative,Central African Republic,_SSAF
CAN,AFE,0,1.672343437269915,2.0625282874022908,-0.3901848501323757,negative,positive,positive,Canada,_WEOFF
CHE,AFE,0,1.7673642574319297,2.0204634472607097,-0.25309918982878,negative,positive,positive,Switzerland,_WEOFF
CHL,AFE,0,-0.18165290715030924,-0.1514103119801955,-0.03024259517011374,negative,negative,negative,Chile,_LAC
CHN,AFE,0,-0.24696370395863976,-0.6319599259349927,0.38499622197635297,positive,negative,negative,China,_SEAS
CIV,AFE,0,-0.877641994757474,-0.9508425129263602,0.07320051816888629,positive,negative,negative,Côte d’Ivoire,_SSAF
CMR,AFE,0,-0.86371626763574,-0.9502311068769415,0.0865148392412014,positive,negative,negative,Cameroon,_SSAF
COD,AFE,0,-0.8360465028601168,-0.9625409911913544,0.12649448833123755,positive,negative,negative,Congo - Kinshasa,NA
COG,AFE,0,-0.8507305308533251,-0.9374825080259706,0.08675197717264549,positive,negative,negative,Congo - Brazzaville,_SSAF
