year,estimator,L,delta_all,delta_dir,IE_effect,eta_all,eta_dir,eta_ie,panel,IE_share
2021,AFE,0,-3.580295461824701e-5,-1.2216772256523623e-4,8.636476794698922e-5,-2.783692854326812e-4,-5.336411996531117e-4,2.5527191422043054e-4,L = 0,0.7069360558871954
2022,AFE,0,-1.1628852913803112e-4,-3.8094703522761897e-4,2.6465850608958785e-4,-5.606180210429072e-4,-0.0010739673215723528,5.133493005294457e-4,L = 0,0.6947383274198531
2023,AFE,0,-2.501962541585634e-4,-7.905263787966188e-4,5.403301246380554e-4,-8.467483808384909e-4,-0.001620978365757732,7.74229984919241e-4,L = 0,0.6835067609768755
2024,AFE,0,-4.461130653229395e-4,-0.001364797671985496,9.186846066625565e-4,-0.0011367626716484868,-0.0021746743322092377,0.001037911660560751,L = 0,0.6731287908236698
2025,AFE,0,-7.124600653541924e-4,-0.0021173130350762293,0.0014048529697220369,-0.0014306633331232076,-0.00273505522092687,0.001304391887803662,L = 0,0.663507448567452
2026,AFE,0,-0.001120456238030032,-0.003107236786017431,0.001986780547987399,-0.0017628809715911965,-0.003348836212520096,0.0015859552409288999,L = 0,0.6394042954588829
2027,AFE,0,-0.0015758268081766946,-0.004272732360729892,0.002696905552553197,-0.00207028490232136,-0.0039303137266390765,0.0018600288243177164,L = 0,0.6311899096091516
2028,AFE,0,-0.002130497069404602,-0.005657711614056038,0.003527214544651436,-0.002381579091037227,-0.004518459282291089,0.002136880191253862,L = 0,0.6234348417279545
2029,AFE,0,-0.0027924741713031276,-0.007273960008497116,0.004481485837193988,-0.002696766563690624,-0.005113272879476138,0.0024165063157855146,L = 0,0.6160998729658833
2030,AFE,0,-0.003569547013051233,-0.009132665838753273,0.00556311882570204,-0.0030158504783635476,-0.005714754518194235,0.0026989040398306867,L = 0,0.6091451197191157
2031,AFE,0,-0.004605257833709908,-0.011306342621447918,0.00670108478773801,-0.0033919140848483486,-0.006392885194084028,0.00300097110923568,L = 0,0.5926836831413704
2032,AFE,0,-0.0056578229476743624,-0.013683149562246921,0.008025326614572559,-0.0037236048424917076,-0.00701396484144025,0.0032903599989485425,L = 0,0.5865116490954085
2033,AFE,0,-0.006848694710859582,-0.01632850317680623,0.009479808465946649,-0.004059198920644393,-0.007641695866475764,0.0035824969458313712,L = 0,0.5805681245426226
2034,AFE,0,-0.008184669163115,-0.019250225283033107,0.011065556119918107,-0.004398700047746945,-0.00827607826919058,0.003877378221443636,L = 0,0.5748273569385779
2035,AFE,0,-0.009672289138148216,-0.02245535901736362,0.012783069879215403,-0.0047421120835382646,-0.008917112049584702,0.004174999966046438,L = 0,0.5692658874583518
2036,AFE,0,-0.011526046639014687,-0.025988610284831792,0.014462563645817106,-0.005158923803222096,-0.009653891565210664,0.0044949677619885685,L = 0,0.5564962299757197
2037,AFE,0,-0.013349151181536678,-0.029756439514207145,0.016407288332670467,-0.005514490002145319,-0.010313655999700076,0.004799165997554758,L = 0,0.5513861402953416
2038,AFE,0,-0.015339683288931094,-0.03381536445678135,0.018475681167850255,-0.005873977044309354,-0.010980055282620532,0.005106078238311179,L = 0,0.5463694230314626
2039,AFE,0,-0.01750278505186753,-0.038168282815042254,0.020665497763174723,-0.006237389347048001,-0.01165308941397201,0.005415700066924008,L = 0,0.5414311632335311
2040,AFE,0,-0.019843311009874465,-0.042817228509860916,0.02297391749998645,-0.006604731458046781,-0.012332758393754532,0.005728026935707749,L = 0,0.5365577899255086
2041,AFE,0,-0.02254746710135558,-0.04761418457016675,0.025066717468811173,-0.007054096131996272,-0.013114563056228393,0.006060466924232121,L = 0,0.526454830532098
2042,AFE,0,-0.025236211618313686,-0.05279055073938477,0.02755433912107108,-0.007433010951028431,-0.013811868919227302,0.006378857968198871,L = 0,0.5219558942868533
2043,AFE,0,-0.028107882081142677,-0.05825124968734241,0.030143367606199734,-0.007815868431929864,-0.014515793224073611,0.006699924792143748,L = 0,0.5174716039225108
2044,AFE,0,-0.031165583294699206,-0.06399412849119679,0.03282854519649758,-0.008202673664248225,-0.01522633597076731,0.007023662306519087,L = 0,0.5129930818733405
2045,AFE,0,-0.03441211195140448,-0.0700162121432063,0.035604100191801824,-0.008593431866814619,-0.015943497159308415,0.007350065292493797,L = 0,0.5085122302671796
2046,AFE,0,-0.0378334264237129,-0.07572153282085259,0.03788810639713969,-0.009066337884982597,-0.016756630790986212,0.007690292906003615,L = 0,0.5003610596047768
2047,AFE,0,-0.04140155788903199,-0.08215979327767897,0.04075823538864698,-0.009468005982418006,-0.017490245763442634,0.008022239781024627,L = 0,0.4960849311158151
2048,AFE,0,-0.045154608499535454,-0.08884777269639921,0.043693164196863754,-0.009873642184413408,-0.018230462896847436,0.008356820712434028,L = 0,0.4917755715291503
2049,AFE,0,-0.049093608515827,-0.09577888446062544,0.04668527594479843,-0.01028325223429831,-0.018977282191200588,0.00869402995690228,L = 0,0.48742764344880923
2050,AFE,0,-0.05321928278830712,-0.10294587180480452,0.0497265890164974,-0.010696842003527272,-0.01973070364650215,0.009033861642974877,L = 0,0.48303626114103826
2051,AFE,0,-0.05707165539324677,-0.10897679317452236,0.05190513778127559,-0.011183859853206145,-0.02056057321419799,0.009376713360991848,L = 0,0.47629533104494465
2052,AFE,0,-0.06143327209329441,-0.11635212996740729,0.05491885787411288,-0.011607645253964,-0.02132919167073907,0.009721546416775069,L = 0,0.4720056082299209
2053,AFE,0,-0.06596603367172671,-0.12391587245447921,0.057949838782752505,-0.012035427413924226,-0.022104396012236953,0.010068968598312727,L = 0,0.46765468890226725
2054,AFE,0,-0.0706688368358449,-0.13165798005589824,0.06098914322005333,-0.012467212709382619,-0.022886186238691632,0.010418973529309011,L = 0,0.4632392445498486
2055,AFE,0,-0.07554029897306913,-0.1395679707484263,0.06402767177535718,-0.01290300764351261,-0.023674562350103134,0.010771554706590523,L = 0,0.45875619909075105
2056,AFE,0,-0.07951262904260692,-0.14532850557831645,0.06581587653570953,-0.013399003558595976,-0.024511889158301,0.011112885599705025,L = 0,0.45287657967584233
2057,AFE,0,-0.08451044321449319,-0.15321616316797648,0.06870571995348329,-0.013844375606136645,-0.02531431110162383,0.011469935495487185,L = 0,0.4484234465404195
2058,AFE,0,-0.08965221421707925,-0.16121398897293038,0.07156177475585113,-0.014293776185937896,-0.026123302565669377,0.01182952637973148,L = 0,0.4438930840416531
2059,AFE,0,-0.09493487473083151,-0.1693097901364029,0.0743749154055714,-0.014747212284429665,-0.026938863550437613,0.012191651266007948,L = 0,0.43928301692212784
2060,AFE,0,-0.10035512756853582,-0.1774911703126104,0.0771360427440746,-0.015204691013574523,-0.02776099405592856,0.01255630304235404,L = 0,0.4345908734965067
2061,AFE,0,-0.10407693753617786,-0.18230343938074,0.07822650184456215,-0.015703334962069507,-0.028592661248166184,0.012889326286096677,L = 0,0.42910052662904735
2062,AFE,0,-0.10948573428943797,-0.1902133942971359,0.08072766000769793,-0.01616980497641705,-0.02942765638478244,0.013257851408365388,L = 0,0.42440575915275314
2063,AFE,0,-0.11500028169055898,-0.1981471745999186,0.08314689290935962,-0.01664033830289971,-0.03026920452877745,0.013628866225877738,L = 0,0.41962189507492365
2064,AFE,0,-0.12061598133652796,-0.2060918605779486,0.08547587924142064,-0.01711494251129931,-0.031117305680151208,0.014002363168851896,L = 0,0.41474650673596947
2065,AFE,0,-0.12632807844007377,-0.214034534361771,0.08770645592169724,-0.017593625295467197,-0.031971959838903705,0.014378334543436509,L = 0,0.40977712397314237
2066,AFE,0,-0.1296555104488747,-0.2176468893440351,0.0879913788951604,-0.01809853715774291,-0.03280192947999596,0.014703392322253053,L = 0,0.40428502865516336
2067,AFE,0,-0.1352660357248031,-0.22516557685318372,0.08989954112838061,-0.018585862262662487,-0.0336686172097933,0.015082754947130812,L = 0,0.3992597020591582
2068,AFE,0,-0.1409407995101376,-0.23262702654752299,0.09168622703738538,-0.0190772882290004,-0.03454184120794463,0.015464552978944229,L = 0,0.39413402818289883
2069,AFE,0,-0.14667428525972903,-0.24001874944800106,0.09334446418827202,-0.019572823184154507,-0.035421601474449976,0.015848778290295466,L = 0,0.3889048851514605
2070,AFE,0,-0.15246089867630397,-0.2473283837610014,0.09486748508469744,-0.020072475378037503,-0.03630789800930932,0.01623542263127182,L = 0,0.38356893633514333
2071,AFE,0,-0.15512380069780873,-0.2493923623012716,0.09426856160346286,-0.020577951367314693,-0.03712662064996976,0.016548669282655068,L = 0,0.3779929775458974
2072,AFE,0,-0.16073587859089733,-0.256165121333764,0.09542924274286668,-0.021085872523612735,-0.03802409693675826,0.016938224413145523,L = 0,0.3725301955473068
2073,AFE,0,-0.1663715452009018,-0.2628101722786569,0.09643862707775508,-0.02159793441504714,-0.038928092582503196,0.017330158167456054,L = 0,0.36695165275224384
2074,AFE,0,-0.1720249619732972,-0.26931610238908077,0.09729114041578357,-0.022114145699342096,-0.039838607587204575,0.017724461887862482,L = 0,0.3612525933381701
2075,AFE,0,-0.17769028359158623,-0.2756716559247574,0.09798137233317117,-0.02263451515510253,-0.0407556419508624,0.01812112679575987,L = 0,0.3554278077827286
2076,AFE,0,-0.17940467170816365,-0.2759088992134452,0.09650422750528154,-0.02313293224536451,-0.041550565042773886,0.01841763279740938,L = 0,0.34976844813774977
2077,AFE,0,-0.18483698646397106,-0.28165175127515363,0.09681476481118256,-0.02366114408860617,-0.04247785450937374,0.01881671042076757,L = 0,0.3437392608881791
2078,AFE,0,-0.1902555684018291,-0.28720742766226015,0.09695185926043104,-0.024193538452643965,-0.043411646259862595,0.01921810780721863,L = 0,0.33756738135073927
2079,AFE,0,-0.19565468965734079,-0.29256549293356504,0.09691080327622426,-0.024730124496409163,-0.04435194029424044,0.019621815797831274,L = 0,0.3312448173723293
2080,AFE,0,-0.20102866711078082,-0.2977155998077887,0.0966869326970079,-0.025270911497999406,-0.04529873661250726,0.020027825114507854,L = 0,0.32476273584397647
2081,AFE,0,-0.20156082735723768,-0.29593835301868443,0.09437752566144675,-0.02575954221671742,-0.046064353581157326,0.020304811364439904,L = 0,0.3189094103510406
2082,AFE,0,-0.20662047111626425,-0.300381127973286,0.09376065685702173,-0.0263077867806913,-0.04702053692778802,0.02071275014709672,L = 0,0.31213897320926304
2083,AFE,0,-0.21163141757053117,-0.30458262747941034,0.09295120990887917,-0.026860257286565773,-0.047983205113426276,0.021122947826860507,L = 0,0.30517567819971164
2084,AFE,0,-0.21658826653427543,-0.3085327434815047,0.09194447694722929,-0.027416963365217834,-0.0489523581380721,0.021535394772854266,L = 0,0.2980055727950346
2085,AFE,0,-0.2214856906103827,-0.3122213127889165,0.09073562217853381,-0.02797791476489091,-0.0499279960017255,0.02195008123683459,L = 0,0.2906131595182852
2086,AFE,0,-0.22083422567473177,-0.30851271236030764,0.08767848668557587,-0.0284592404325242,-0.05066711940673426,0.022207878974210057,L = 0,0.28419732209665777
2087,AFE,0,-0.22536821325499712,-0.31143247112299155,0.08606425786799443,-0.029027374497698374,-0.05165144844168106,0.02262407394398269,L = 0,0.27634966115657783
2088,AFE,0,-0.22982253683127307,-0.3140592125125644,0.08423667568129134,-0.02959977932915585,-0.05264224450371958,0.023042465174563723,L = 0,0.26821908839219716
2089,AFE,0,-0.2341922189434974,-0.3163822476487549,0.08219002870525749,-0.030176465001430997,-0.0536395075928498,0.0234630425914188,L = 0,0.25978078516119596
2090,AFE,0,-0.23847235914436948,-0.31839063326264927,0.07991827411827979,-0.030757441704545453,-0.05464323770907171,0.023885796004526255,L = 0,0.2510069888028175
2091,AFE,0,-0.2365278254792733,-0.31274031970664706,0.07621249422737375,-0.031226442291215056,-0.05534714566897701,0.024120703377761957,L = 0,0.24369257631654814
2092,AFE,0,-0.24040719599090932,-0.31393183014984105,0.07352463415893173,-0.03181431287509469,-0.056358859357479175,0.024544546482384487,L = 0,0.23420573225670713
2093,AFE,0,-0.24417990812795465,-0.3147763092504714,0.07059640112251675,-0.03240650041204036,-0.057377022391135776,0.024970521979095425,L = 0,0.22427482325660766
