ssp,spec,estimator,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,0,All,2021,-3.580295461824701e-5,-2.817595671041673e-4,-2.460686463006678e-4,-1.9938359248979908e-4,-1.1368075407974798e-4,-2.581572930798748e-5,5.040459214838977e-5,1.324878956846965e-4,1.777071906807203e-4,2.102896325014869e-4
SSP585,Interactive,AFE,0,All,2022,-1.1628852913803112e-4,-8.571365354606703e-4,-7.485941151950615e-4,-6.065029660942023e-4,-3.4957468071580844e-4,-8.757907157525002e-5,1.415883425460729e-4,3.8845973108017097e-4,5.261078899787217e-4,6.212502211865532e-4
SSP585,Interactive,AFE,0,All,2023,-2.501962541585634e-4,-0.0017387700145075182,-0.001517181050367783,-0.0012295151884669899,-7.179904784321844e-4,-1.8938366597770484e-4,2.668269429916825e-4,7.590726603762702e-4,0.001038156436206061,0.0012280568491170316
SSP585,Interactive,AFE,0,All,2024,-4.461130653229395e-4,-0.002935512096055462,-0.0025561772590442676,-0.0020761326311475536,-0.0012302097972503034,-3.5157654041173547e-4,4.1991704284166653e-4,0.0012356437547270233,0.0017069306637015555,0.0020298357885394913
SSP585,Interactive,AFE,0,All,2025,-7.124600653541924e-4,-0.0044489100781662455,-0.003879607978476407,-0.003159580347346469,-0.0018873012532938382,-5.725856640298455e-4,5.977594635582784e-4,0.0018096501258797254,0.002525796499506172,0.00301071538263461
SSP585,Interactive,AFE,0,All,2026,-0.001120456238030032,-0.006352899226256775,-0.005549939786713032,-0.004556215381264683,-0.0027706522435239356,-9.239410006510185e-4,7.208646504716087e-4,0.0024399428346415517,0.0034164587878912516,0.0041099741977832895
SSP585,Interactive,AFE,0,All,2027,-0.0015758268081766946,-0.008550108031765518,-0.007500040294554711,-0.006159275243362905,-0.0037623393136538286,-0.0013171278453552038,8.82537977751896e-4,0.00319844807184966,0.004477580034636773,0.0054088262182090605
SSP585,Interactive,AFE,0,All,2028,-0.002130497069404602,-0.011092150282394724,-0.009775689102991408,-0.00801707268604186,-0.004944540973434747,-0.0018032083255068998,0.001032120684397786,0.004040873293774475,0.005657729462085767,0.006874771746293871
SSP585,Interactive,AFE,0,All,2029,-0.0027924741713031276,-0.013985109981404004,-0.012379727749610148,-0.010107122578060323,-0.00632238571462701,-0.0023877922210939206,0.001166904773848898,0.004956388998251774,0.006949294059039963,0.008495339503721647
SSP585,Interactive,AFE,0,All,2030,-0.003569547013051233,-0.017234441752256267,-0.015281957889059089,-0.012450875876863065,-0.00790990387981591,-0.0030765639432289715,0.0012702016986239628,0.005942200186829298,0.008391588283041191,0.010282273165856046
SSP585,Interactive,AFE,0,All,2031,-0.004605257833709908,-0.02097422714964259,-0.01873736684845344,-0.015257062526375976,-0.0098600931499159,-0.004027646663979423,0.001210931397644277,0.006919143887545555,0.009859018035575881,0.012188108592580685
SSP585,Interactive,AFE,0,All,2032,-0.0056578229476743624,-0.024977288761744057,-0.022347703072828018,-0.018201127445253883,-0.011873003011599242,-0.004954449715279252,0.0012294111587637935,0.008066565769582446,0.011526750306389697,0.014233254034366885
SSP585,Interactive,AFE,0,All,2033,-0.006848694710859582,-0.029350865557642682,-0.02627791241500291,-0.021432131651591777,-0.014067128903133441,-0.006034948646984062,0.001199796974405476,0.009162731647571533,0.013262289333409047,0.016394211297016754
SSP585,Interactive,AFE,0,All,2034,-0.008184669163115,-0.03409763442998257,-0.03063611147611813,-0.02494286222984656,-0.016454556962367084,-0.007246321934017086,0.0010962313459064177,0.010359502701806834,0.015100257963188255,0.01877666567893381
SSP585,Interactive,AFE,0,All,2035,-0.009672289138148216,-0.03921954219891047,-0.03533074743309027,-0.02877190778053874,-0.019081290750103008,-0.008582849796815006,9.902064740067162e-4,0.011575390959444421,0.016990001450827283,0.02130179268006846
SSP585,Interactive,AFE,0,All,2036,-0.011526046639014687,-0.0449082040762791,-0.04060770858140578,-0.033108051570546526,-0.022111841057575576,-0.010264367288134402,5.064049644296631e-4,0.01260031914575448,0.018738569914231926,0.02368195863955725
SSP585,Interactive,AFE,0,All,2037,-0.013349151181536678,-0.05080585926856047,-0.04599376267327013,-0.037574026453372024,-0.02528111695100091,-0.011906125337271145,2.0476690298049105e-4,0.013832680608898043,0.02071819579722894,0.02629219291263495
SSP585,Interactive,AFE,0,All,2038,-0.015339683288931094,-0.05707808276140527,-0.05172829331000374,-0.04234506183306862,-0.028731240115187295,-0.013694620016033499,-2.1870472248086692e-4,0.015084954101235008,0.022773799328818234,0.02899370399849716
SSP585,Interactive,AFE,0,All,2039,-0.01750278505186753,-0.06378903767764066,-0.05780392441538268,-0.04742276833090414,-0.032364850118827754,-0.015667388526023063,-6.460508951656174e-4,0.016332396807580366,0.024893109379537277,0.031783677153089385
SSP585,Interactive,AFE,0,All,2040,-0.019843311009874465,-0.07091712176229123,-0.0641278917614365,-0.052801494359597856,-0.03618292596881484,-0.017693708822307364,-0.0011724540299175301,0.017576317603299453,0.027082137734705927,0.034656847769048635
SSP585,Interactive,AFE,0,All,2041,-0.02254746710135558,-0.0785984384901673,-0.0710156180013835,-0.058636099652145605,-0.040306432021023075,-0.02007502422384544,-0.0020980728367733237,0.018574993692211387,0.029076004608176782,0.03744310053438154
SSP585,Interactive,AFE,0,All,2042,-0.025236211618313686,-0.0864420930021929,-0.07813093072061486,-0.06461063098807585,-0.044586824287689814,-0.02253462788204319,-0.0028248415957874418,0.01975909640970921,0.03137638340187113,0.04050375525167415
SSP585,Interactive,AFE,0,All,2043,-0.028107882081142677,-0.09463869095430547,-0.0856438113823421,-0.07079599139474353,-0.04904692387900722,-0.02517063953924753,-0.0036289883373491205,0.020924021774207897,0.03372216183250355,0.04368753858850436
SSP585,Interactive,AFE,0,All,2044,-0.031165583294699206,-0.10310181513946576,-0.09345035944988762,-0.0771255182269407,-0.05388994874259201,-0.027986604154471184,-0.004559308311733262,0.02206471097526555,0.036109131342348395,0.046973613470522514
SSP585,Interactive,AFE,0,All,2045,-0.03441211195140448,-0.11187028907514235,-0.10150568540802171,-0.08390121764806825,-0.05894452857941421,-0.030980820176056023,-0.005605089634490662,0.023176277235736398,0.038533179332119194,0.050334349202942524
SSP585,Interactive,AFE,0,All,2046,-0.0378334264237129,-0.12089937316131737,-0.10983128342336784,-0.09096492217987308,-0.06421975363136448,-0.034116338729191675,-0.0067454012369445315,0.024301521784706428,0.040898037293361326,0.053751966335375975
SSP585,Interactive,AFE,0,All,2047,-0.04140155788903199,-0.13024680070761233,-0.11843280245133457,-0.09829857393421575,-0.06966803836715063,-0.03751090214695857,-0.007967505394177399,0.025429550644096192,0.04344818085170545,0.057317720113684044
SSP585,Interactive,AFE,0,All,2048,-0.045154608499535454,-0.1398887370190515,-0.12731711960431455,-0.10580953506180914,-0.0752711632378032,-0.04091731340610444,-0.00916243516363921,0.026528436633577995,0.04603425451450837,0.060955765246760094
SSP585,Interactive,AFE,0,All,2049,-0.049093608515827,-0.1498149460653605,-0.13647311733764877,-0.1135801243277619,-0.08120215929958813,-0.04445462205655726,-0.010579938812272871,0.027587126331560324,0.048653210103591554,0.0646625955464709
SSP585,Interactive,AFE,0,All,2050,-0.05321928278830712,-0.16001468046964745,-0.14588942092132848,-0.12160575857172835,-0.08746427343585156,-0.04816192815690984,-0.012115485991597424,0.028750109089146877,0.051302101781730516,0.06843479111403994
SSP585,Interactive,AFE,0,All,2051,-0.05707165539324677,-0.16991466475962128,-0.15501142892543102,-0.12961589418470845,-0.09335408621281777,-0.05174800065353258,-0.0131230157030581,0.030288633473414407,0.05428553861542397,0.07258769608160966
SSP585,Interactive,AFE,0,All,2052,-0.06143327209329441,-0.1804957185273283,-0.16478591756836974,-0.13805111690710895,-0.09980092436066945,-0.055724860778566365,-0.014713524971313785,0.03176263954304058,0.05712747239316886,0.0766227348100419
SSP585,Interactive,AFE,0,All,2053,-0.06596603367172671,-0.19139288708264732,-0.17477990359137918,-0.14671531699774,-0.10643868270767798,-0.059911388182803615,-0.016281748796947826,0.033097408551809517,0.060009211343131474,0.08073157760888802
SSP585,Interactive,AFE,0,All,2054,-0.0706688368358449,-0.20244307332726494,-0.18498239227341373,-0.15560220546385697,-0.11318094453636404,-0.06412029450270723,-0.01794287406914402,0.03418694244399389,0.06292933674675713,0.08491230837086602
SSP585,Interactive,AFE,0,All,2055,-0.07554029897306913,-0.21356982361678162,-0.19537397829820954,-0.1647027015024957,-0.12009382946043448,-0.06849691354747411,-0.01977932538962618,0.03521364449160433,0.06588656582807331,0.08916313425822452
SSP585,Interactive,AFE,0,All,2056,-0.07951262904260692,-0.2237959120396248,-0.20464146715648465,-0.17330991774277096,-0.1263260370975031,-0.07215456840722301,-0.020806764429169095,0.03725005325288657,0.06978658963440305,0.09439378175029686
SSP585,Interactive,AFE,0,All,2057,-0.08451044321449319,-0.23519484069925223,-0.21532324670113287,-0.18267701492286714,-0.13349940238131056,-0.07666960916860455,-0.02282468531373502,0.03872883105061847,0.07303561460364637,0.09908035947932207
SSP585,Interactive,AFE,0,All,2058,-0.08965221421707925,-0.24674039824695768,-0.22603104936060475,-0.19222614701252258,-0.14091962453335974,-0.08132210986251565,-0.024942064878175046,0.04034548226181034,0.0763429903975189,0.103877498166281
SSP585,Interactive,AFE,0,All,2059,-0.09493487473083151,-0.25841892811240824,-0.23678276380777286,-0.2019494760430234,-0.14857314986575848,-0.08611064609400954,-0.027158664409354966,0.04182531765026386,0.07970944743788458,0.10878758842013833
SSP585,Interactive,AFE,0,All,2060,-0.10035512756853582,-0.2702167019424508,-0.2478423477827094,-0.2118389627569243,-0.15648533065173795,-0.09103364635436167,-0.029465483457915442,0.04314218431980993,0.08314669944106858,0.11381331372411702
SSP585,Interactive,AFE,0,All,2061,-0.10407693753617786,-0.2802563061479354,-0.2570141133284811,-0.2205130774585248,-0.16317038922847565,-0.09439590158294131,-0.029458420335306906,0.046426465481807774,0.08930601351131094,0.12131209764742092
SSP585,Interactive,AFE,0,All,2062,-0.10948573428943797,-0.2920159344689836,-0.2681371384018108,-0.23039798789691732,-0.17091826670928925,-0.09919025507049584,-0.031443881307010924,0.048287137873580396,0.09348959135673,0.1269684116211616
SSP585,Interactive,AFE,0,All,2063,-0.11500028169055898,-0.30384061099490706,-0.2795661375566757,-0.24039804380360907,-0.17874256140075423,-0.1040651881579876,-0.033471107104770664,0.049971623313628685,0.09781281482647464,0.13278644369190706
SSP585,Interactive,AFE,0,All,2064,-0.12061598133652796,-0.31575954118751065,-0.29108097526728105,-0.25050427776516243,-0.18656961717252846,-0.10906775958985954,-0.035543936512774404,0.05163092788092574,0.10228281648977286,0.13877213502925442
SSP585,Interactive,AFE,0,All,2065,-0.12632807844007377,-0.3279917273375518,-0.3022749726771707,-0.26070767457900323,-0.19425159671263748,-0.11417004714507617,-0.03755097846322078,0.05328594279217971,0.1065353964518783,0.1449049382840043
SSP585,Interactive,AFE,0,All,2066,-0.1296555104488747,-0.33804920382252823,-0.3103943998300778,-0.26902788690813223,-0.20027054053712057,-0.117298281423524,-0.037004355435852704,0.05748912788320055,0.11295979225041852,0.1535947247891458
SSP585,Interactive,AFE,0,All,2067,-0.1352660357248031,-0.35014495045194693,-0.3211868544456501,-0.2792109906489116,-0.20793748023459,-0.12252701332463184,-0.03868860606060087,0.059519905809521226,0.11756560570558235,0.1600420374173616
SSP585,Interactive,AFE,0,All,2068,-0.1409407995101376,-0.36225430903247685,-0.3319576174166459,-0.2894551446674362,-0.21593451161887717,-0.1276547172949996,-0.04043288439736653,0.06154228726478351,0.12228256492931257,0.16665622721859794
