
="",="Stationary sample",="",="",="Full sample",="",=""
="",="AFE",="GMM",="GMM coll.",="AFE",="GMM",="GMM coll."

="L.dlnGDP",="0.03784",="0.00771",="0.03057",="0.14836**",="0.08074",="0.09986"
="",="(0.07573)",="(0.07863)",="(0.06957)",="(0.07319)",="(0.07413)",="(0.06707)"
="T",="0.00798*",="0.03952**",="0.02121***",="0.01061**",="0.04820***",="0.02281***"
="",="(0.00410)",="(0.01550)",="(0.00454)",="(0.00514)",="(0.01427)",="(0.00474)"
="T^2",="-0.00029**",="-0.00120***",="-0.00088***",="-0.00034**",="-0.00133***",="-0.00087***"
="",="(0.00013)",="(0.00040)",="(0.00021)",="(0.00015)",="(0.00038)",="(0.00021)"
="P",="0.04666",="0.45937**",="0.04959",="0.08193",="0.41608**",="0.06571"
="",="(0.05767)",="(0.21973)",="(0.04999)",="(0.06532)",="(0.20202)",="(0.05118)"
="P^2",="-0.02375",="-0.24588**",="-0.03148",="-0.03727",="-0.21995**",="-0.03621"
="",="(0.02861)",="(0.10778)",="(0.02957)",="(0.02923)",="(0.10669)",="(0.02841)"
="T x P",="-0.00822",="-0.04869**",="-0.01144**",="-0.01078",="-0.04524**",="-0.01235**"
="",="(0.00574)",="(0.01977)",="(0.00513)",="(0.00679)",="(0.01848)",="(0.00533)"
="T^2 x P",="0.00027*",="0.00126***",="0.00046***",="0.00031*",="0.00118***",="0.00046***"
="",="(0.00016)",="(0.00046)",="(0.00016)",="(0.00018)",="(0.00044)",="(0.00016)"
="T x P^2",="0.00298",="0.02412**",="0.00417",="0.00413",="0.02218**",="0.00463*"
="",="(0.00250)",="(0.00939)",="(0.00254)",="(0.00268)",="(0.00956)",="(0.00249)"
="T^2 x P^2",="-0.00009",="-0.00058***",="-0.00013**",="-0.00011*",="-0.00054**",="-0.00014**"
="",="(0.00006)",="(0.00021)",="(0.00006)",="(0.00006)",="(0.00022)",="(0.00006)"

="Observations",="6,334",="6,212",="6,212",="7,836",="7,666",="7,666"
="Countries",="",="122",="122",="",="170",="170"
="AR(1) p",="",="0.077",="0.000",="",="0.196",="0.000"
="AR(2) p",="",="0.077",="0.635",="",="0.195",="0.847"
="Hansen p",="",="1.000",="1.000",="",="1.000",="1.000"
="Instruments",="",="1,660",="362",="",="1,660",="458"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
