ssp,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975,p_mitigate,panel
SSP585,AFE,Country resampling,0,IE,2021,3.133256060050549e-5,-1.88550697954204e-5,-9.306973484390912e-6,5.339152118089019e-7,1.5237757450742295e-5,2.8440079961333797e-5,4.194077522715056e-5,5.274427708958918e-5,6.098886690648064e-5,6.687432110960844e-5,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2022,9.38246036118473e-5,-5.5582359302236425e-5,-2.711813464801871e-5,7.029095451804868e-7,4.6004288558693096e-5,8.511923677145816e-5,1.2493414184644447e-4,1.5736582860249594e-4,1.827312779128787e-4,2.0007141478652895e-4,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2023,1.873071248612579e-4,-1.1063420662209278e-4,-5.21789850330634e-5,1.1448180808892884e-6,9.289898150530164e-5,1.7081325564693994e-4,2.4814223189012496e-4,3.1211395389940666e-4,3.627827799229599e-4,3.990759158818551e-4,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2024,3.1161175364691207e-4,-1.8112488831936168e-4,-8.242204728854952e-5,3.5865185258665584e-6,1.568961868209373e-4,2.8407849515033057e-4,4.119522926993025e-4,5.156424459607401e-4,6.000652296715536e-4,6.633596861096769e-4,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2025,4.6656715184456576e-4,-2.561963055711908e-4,-1.1528272283317098e-4,1.6983435742479232e-5,2.3934542330097952e-4,4.2586559946966585e-4,6.164788882067895e-4,7.691641873886045e-4,8.892966705698167e-4,9.866623339114728e-4,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2026,6.349551420772315e-4,-3.7074845255379853e-4,-1.7010584554041916e-4,1.0978841568154444e-5,3.155649120703541e-4,5.829171568800806e-4,8.417105429425753e-4,0.00105521075706205,0.00122122470352807,0.00135372123213348,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2027,8.471520051483994e-4,-4.7921504431987504e-4,-2.1785681576109715e-4,2.31352776308369e-5,4.323352920655166e-4,7.785031533451559e-4,0.00111878962411185,0.00140248330085412,0.00161818804411324,0.00178859996145849,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2028,0.00108996808339689,-5.962090410237764e-4,-2.7005311003552857e-4,3.698535178837674e-5,5.61413125645116e-4,0.00100061835411263,0.0014385183170904901,0.00180444469587763,0.00207907181976197,0.00229795366040534,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2029,0.00136346058818825,-7.197890733624424e-4,-3.2184962975589926e-4,5.1818709069317934e-5,7.061083400135837e-4,0.00124594460366611,0.00179466180360918,0.00225749901241474,0.00258075594830961,0.00287791288696066,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2030,0.00166767011631674,-8.47963012082778e-4,-3.8544216614754266e-4,7.116008313363676e-5,8.736611118367599e-4,0.00152273648172296,0.00219251135846548,0.0027486667704278802,0.00315237967152658,0.0035237305496479,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2031,0.00195766493958804,-0.00104894518761003,-5.051830378047517e-4,4.2293639316792787e-5,0.0010100116531625,0.00178828761100025,0.00257493563620431,0.00324450675147933,0.00372738819582845,0.00415684929522299,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2032,0.00232070531353256,-0.00118952749623132,-5.305150890249076e-4,1.0003620990663996e-4,0.00120424941811922,0.00212626178657743,0.00304371736904324,0.00382850660940198,0.00438958680322853,0.00492655113169445,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2033,0.00271559786598651,-0.00132843532834607,-5.720132118339881e-4,1.8463871513051407e-4,0.00141510858267357,0.00248258357186631,0.00356449779176429,0.00447091267017657,0.00511143589227941,0.00577481097912459,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2034,0.00314247953757462,-0.00146181936354503,-6.309162682332281e-4,2.644921343351926e-4,0.00165073925692388,0.00287960962855698,0.00413637704053171,0.0051562317596439,0.00587944103531974,0.00662785022667377,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2035,0.00360144503279435,-0.00158832382705007,-6.777429814410206e-4,3.5026673069796807e-4,0.00191338682234862,0.00330801766146704,0.00473643569177009,0.00588736815355704,0.00669085347560097,0.00761077461220861,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2036,0.0040115821149711,-0.00183125091555587,-7.901652531256187e-4,3.513300060292714e-4,0.00210345687946558,0.00368376230234623,0.00529352735883897,0.00660802557942733,0.00748744502611621,0.00848921488725398,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2037,0.00453296306203288,-0.00195040074435581,-7.404199479118854e-4,4.5590255208479704e-4,0.00242027867641242,0.00417285003669787,0.00597638171331246,0.00742493560905037,0.00842463282655949,0.00960222077091096,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2038,0.0050875359723973,-0.00205398688799654,-7.667223252574684e-4,5.754636678694692e-4,0.00274116698378865,0.00465861985463156,0.00673392592912575,0.00835084437728894,0.00941576580617571,0.01075215141107712,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2039,0.00567528962027219,-0.0021398367736357,-7.24473936132841e-4,7.353303422088622e-4,0.00309703240652742,0.00522240982405947,0.00747292469989474,0.00930243681118712,0.01045478842898644,0.01195592280266955,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2040,0.00629614069299777,-0.00224469616148217,-7.152531127663619e-4,9.0131018553018e-4,0.00349322603880433,0.00581541500658211,0.00827144233295609,0.01029164918300091,0.01158848466607892,0.01318723326114959,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2041,0.00682811559935592,-0.00255664025760143,-8.311683692406367e-4,9.675180171810348e-4,0.00378391752000925,0.00631073098065337,0.00899172397766984,0.01122734079456893,0.01261741934293082,0.01431780680006136,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2042,0.00751264182622379,-0.00269377707137523,-7.969670316482768e-4,0.00117643198179936,0.00418962809794273,0.00692504349756684,0.0098957885760082,0.01229434346944514,0.01385222442960897,0.01579366849185154,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2043,0.0082305045516372,-0.00276926412772717,-7.36965634035458e-4,0.00139185460296449,0.00461769487665084,0.00762772664628408,0.01085060463871259,0.01341383524923608,0.01514025126528282,0.01722065390139376,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2044,0.00898135948992373,-0.00280943651952558,-5.952997876669472e-4,0.0016688351539459,0.0050685736674669,0.00837227771123333,0.01178822531490053,0.01455782185852342,0.01654252203657891,0.01879708066643924,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2045,0.00976476886699839,-0.00283192505418576,-4.371864228217055e-4,0.00194505690069217,0.00558836860562564,0.00911713837757682,0.0128289951142278,0.01586812010733793,0.01793979468981365,0.02039740477667526,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2046,0.01041890456075889,-0.00307180395905987,-5.701708736909114e-4,0.00199503294879006,0.00594371893786518,0.00977809813851249,0.01367669276795818,0.0170078186564434,0.01920710732223137,0.02183458886645581,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2047,0.01126295656766263,-0.0030525754850892,-3.673251893015979e-4,0.00223907754799729,0.00645224088878218,0.01060998243206518,0.01477410048781413,0.01834511200127552,0.02071535529523204,0.02362514761958744,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2048,0.01213838628412389,-0.00304441868058756,-2.9375597005052947e-4,0.00253996206031,0.00700590549990851,0.01147741203477836,0.01591610880123453,0.01977438581500566,0.02230773164228862,0.02567638773651666,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2049,0.01304441372342357,-0.00302814178288333,-2.0358913390551263e-4,0.00289933076238777,0.00760786875318478,0.01234634867869144,0.01715886154692028,0.02117450052094792,0.02381126514239596,0.02775050880418336,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2050,0.01398015919856454,-0.00300377650493624,-5.093897666569066e-6,0.00329527537320892,0.00824188074984882,0.01329263008436604,0.01836596809146182,0.02264827438969208,0.02544050484888347,0.02976179381787651,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2051,0.01474399704959195,-0.00334681139015321,-4.318776447769204e-5,0.00347312152272329,0.00864471857175783,0.01397768336976396,0.01947434699732458,0.02400782465048758,0.02696331770127779,0.03177226312934512,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2052,0.01572853015275399,-0.00335940864952925,2.663800727167491e-4,0.00379044811270752,0.00925555409263201,0.01494717798305883,0.02083210148037492,0.02576246780651851,0.02888038766251852,0.03413558932711737,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2053,0.01673988879309862,-0.00337327844814336,4.337855132355573e-4,0.00417299858836325,0.00989067843245619,0.01596979064736664,0.0222177962923859,0.02767493969108625,0.03095787784526638,0.03617221883781072,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2054,0.01777688263447574,-0.0034055373778897,7.00059774321649e-4,0.00450474339516495,0.01062681070960677,0.01695977658812314,0.02353831855799873,0.02931435391897555,0.03306762786347307,0.03841666523066953,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2055,0.01883823526917516,-0.00346968547067615,9.235231310609112e-4,0.00489982067048101,0.01133312194212787,0.01802436678327912,0.0249721348664583,0.03100208792547733,0.03526732635122316,0.04065214068395246,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2056,0.01968806489777996,-0.00398908687624278,8.58765657526584e-4,0.00497490945021769,0.01180235325844525,0.01881679198754837,0.02627853352811654,0.03259546626074929,0.03731997341019463,0.0425572699914826,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2057,0.02078202338812529,-0.00410218399668409,0.0010894304941419,0.00538372721937432,0.01247828778071885,0.01985737611896421,0.02786628800786322,0.03422980266064317,0.03961496040926195,0.04482594192782466,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2058,0.02189631248178769,-0.00423538617561931,0.00134208929440506,0.0057742437790676,0.01327043169174443,0.02091052768914414,0.02940510925948039,0.03605260291757214,0.04168932045111566,0.04713143235357768,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2059,0.02302945874253792,-0.00421065630829427,0.00162185962628617,0.00620312413269235,0.01394198733371329,0.0219774147669276,0.03094343962728787,0.03805204102451423,0.04395294327883359,0.04946875563975133,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2060,0.02417992894839815,-0.00414215056916264,0.00193424009247674,0.00653647868470987,0.01463639864401139,0.02305981696759712,0.03231280850053097,0.04013423046959737,0.04623519289375898,0.05183472412503674,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2061,0.02506176410595084,-0.00461128344315906,0.00173430662820721,0.00643211077378488,0.01509878051379573,0.02389866127375783,0.03365981348786021,0.04187480201435954,0.04852993569019319,0.05379525802522912,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2062,0.02622847117615923,-0.00461643720086736,0.0019940197123967,0.00685484069769373,0.01578420306756806,0.02500148927608247,0.03512846697673524,0.04382606261472683,0.05092964095776439,0.05617039919456387,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2063,0.02740807762662533,-0.00489287495115041,0.00220330640682223,0.0072568522442124,0.0166017841306634,0.02625622395442523,0.03657320420142715,0.04580798550412891,0.05338850671616838,0.05943965543966926,0.894,L = 0
