spec,estimator,T_pct,L,dg_dT,se
Direct,AFE,50%,0,-0.00748662469940109,0.00271869035289797
Direct,AFE,50%,1,-0.0044620408972702,0.00385568958105934
Direct,AFE,50%,2,-0.00287334630748511,0.00411211675235801
Direct,AFE,50%,3,-0.00435147532341017,0.00464849071487687
Direct,AFE,50%,4,-0.00346738401144451,0.0049281928761076
Direct,AFE,50%,5,-0.00236186825569965,0.00592306384685405
Direct,AFE,90%,0,-0.01143246430012907,0.00348179781113353
Direct,AFE,90%,1,-0.00691009990818719,0.00506383300900921
Direct,AFE,90%,2,-0.00470788731453123,0.00537261734808477
Direct,AFE,90%,3,-0.00592434879181479,0.00608757356514054
Direct,AFE,90%,4,-0.00452479833725657,0.00636740375618745
Direct,AFE,90%,5,-0.00188042358265584,0.00736440262331715
Direct,IFE,50%,0,-0.00600802138085101,0.00212209290487002
Direct,IFE,50%,1,-0.00507829028428179,0.00270796103964013
Direct,IFE,50%,2,-0.00579745816133325,0.00308539995396613
Direct,IFE,50%,3,-0.0019081607846553,0.00366070748340773
Direct,IFE,50%,4,-0.00265298208116247,0.00409620369909649
Direct,IFE,50%,5,-0.00528885936813818,0.00416481304336914
Direct,IFE,90%,0,-0.00889442049122995,0.00283322108087156
Direct,IFE,90%,1,-0.00708017462276933,0.00364508615515986
Direct,IFE,90%,2,-0.0082049102714275,0.00417581089294157
Direct,IFE,90%,3,-0.00462525282311627,0.00499970965749505
Direct,IFE,90%,4,-0.00587766018196415,0.00559804173997149
Direct,IFE,90%,5,-0.0071246488946636,0.00562644032306691
Interactive,AFE,50%,0,-0.00664797407468281,0.0026333587337343
Interactive,AFE,50%,1,-0.00458976878810107,0.00376619180637909
Interactive,AFE,50%,2,-0.00286216439510187,0.00409661945324485
Interactive,AFE,50%,3,-0.00428438447864317,0.00470304037049686
Interactive,AFE,50%,4,-0.00363696262286784,0.00498267663191781
Interactive,AFE,50%,5,-0.00221119195643496,0.00595614893550823
Interactive,AFE,90%,0,-0.01050764426670382,0.00335076362181268
Interactive,AFE,90%,1,-0.00726821032303763,0.00489229258820207
Interactive,AFE,90%,2,-0.00445030510541612,0.00528971706510767
Interactive,AFE,90%,3,-0.00534854953671164,0.00608669332218511
Interactive,AFE,90%,4,-0.00388301071268839,0.00640972093640438
Interactive,AFE,90%,5,-6.401718054510654e-4,0.00742242272050253
Interactive,IFE,50%,0,-0.00546543823657488,0.0021379649761334
Interactive,IFE,50%,1,-0.0056517751482199,0.00272042326410581
Interactive,IFE,50%,2,-0.00536245070251645,0.00307095370657217
Interactive,IFE,50%,3,-0.00230912909251662,0.00363697271148744
Interactive,IFE,50%,4,-0.00362433535948954,0.0041213106409693
Interactive,IFE,50%,5,-0.00556286900016478,0.00416253593165666
Interactive,IFE,90%,0,-0.00824391480906773,0.0028564285418701
Interactive,IFE,90%,1,-0.00781283238302298,0.00366439984528258
Interactive,IFE,90%,2,-0.00739633664729814,0.0041622107507703
Interactive,IFE,90%,3,-0.00488213972060724,0.00497056238831492
Interactive,IFE,90%,4,-0.0067807164506788,0.00564617771414289
Interactive,IFE,90%,5,-0.00711754431633054,0.00564303244155973
