spec,estimator,L,delta_bhm,ratio_bhm_vs_L0
Direct,AFE,0,-0.3238573628143445,1
Direct,IFE,0,-0.3965287321732891,1
Direct,AFE,1,-0.2797569740449557,0.8638277407493435
Direct,IFE,1,-0.4717630162809957,1.1897322388099434
Direct,AFE,2,-0.18230624912706905,0.5629214279484469
Direct,IFE,2,-0.4886051216412727,1.2322060975590157
Direct,AFE,3,-0.43694868705698187,1.3492010286870286
Direct,IFE,3,0.4449498207047844,-1.1221124337349015
Direct,AFE,4,-0.40477870192021126,1.2498672205648014
Direct,IFE,4,0.51286997815099,-1.2933992836787878
Direct,AFE,5,-0.4506339996203612,1.391458250954427
Direct,IFE,5,-0.47431358703784376,1.19616448583242
Interactive,AFE,0,-0.25938437611420784,1
Interactive,IFE,0,-0.36630079875769384,1
Interactive,AFE,1,-0.2600744095258496,1.0026602736139278
Interactive,IFE,1,-0.4886624798402913,1.3340469949767682
Interactive,AFE,2,-0.2211268704690245,0.8525065147781358
Interactive,IFE,2,-0.46551716018770606,1.2708603469239044
Interactive,AFE,3,-0.4960078148813908,1.9122501605994835
Interactive,IFE,3,0.3586624162173362,-0.9791472402837692
Interactive,AFE,4,-0.4738938287134507,1.8269945006432988
Interactive,IFE,4,0.3942582633433691,-1.07632378821038
Interactive,AFE,5,-0.4041011250064423,1.557923923792986
Interactive,IFE,5,-0.48628552824720983,1.327557924788707
