year,spec,estimator,L,delta,panel
2021,Interactive,AFE,0,-3.580295461824701e-5,L = 0
2022,Interactive,AFE,0,-1.1628852913803112e-4,L = 0
2023,Interactive,AFE,0,-2.501962541585634e-4,L = 0
2024,Interactive,AFE,0,-4.461130653229395e-4,L = 0
2025,Interactive,AFE,0,-7.124600653541924e-4,L = 0
2026,Interactive,AFE,0,-0.001120456238030032,L = 0
2027,Interactive,AFE,0,-0.0015758268081766946,L = 0
2028,Interactive,AFE,0,-0.002130497069404602,L = 0
2029,Interactive,AFE,0,-0.0027924741713031276,L = 0
2030,Interactive,AFE,0,-0.003569547013051233,L = 0
2031,Interactive,AFE,0,-0.004605257833709908,L = 0
2032,Interactive,AFE,0,-0.0056578229476743624,L = 0
2033,Interactive,AFE,0,-0.006848694710859582,L = 0
2034,Interactive,AFE,0,-0.008184669163115,L = 0
2035,Interactive,AFE,0,-0.009672289138148216,L = 0
2036,Interactive,AFE,0,-0.011526046639014687,L = 0
2037,Interactive,AFE,0,-0.013349151181536678,L = 0
2038,Interactive,AFE,0,-0.015339683288931094,L = 0
2039,Interactive,AFE,0,-0.01750278505186753,L = 0
2040,Interactive,AFE,0,-0.019843311009874465,L = 0
2041,Interactive,AFE,0,-0.02254746710135558,L = 0
2042,Interactive,AFE,0,-0.025236211618313686,L = 0
2043,Interactive,AFE,0,-0.028107882081142677,L = 0
2044,Interactive,AFE,0,-0.031165583294699206,L = 0
2045,Interactive,AFE,0,-0.03441211195140448,L = 0
2046,Interactive,AFE,0,-0.0378334264237129,L = 0
2047,Interactive,AFE,0,-0.04140155788903199,L = 0
2048,Interactive,AFE,0,-0.045154608499535454,L = 0
2049,Interactive,AFE,0,-0.049093608515827,L = 0
2050,Interactive,AFE,0,-0.05321928278830712,L = 0
2051,Interactive,AFE,0,-0.05707165539324677,L = 0
2052,Interactive,AFE,0,-0.06143327209329441,L = 0
2053,Interactive,AFE,0,-0.06596603367172671,L = 0
2054,Interactive,AFE,0,-0.0706688368358449,L = 0
