variable,coef,estimate,std.error,p.value,spec,L,estimator
tmp,sum,0.010594819461893161,0.002518533132187537,2.59078466951043e-5,Direct,0,AFE
tmp,b0,0.010594819461893161,0.002518533132187537,2.59078466951043e-5,Direct,0,AFE
tmp2,sum,-4.0453337302582615e-4,9.207661215289264e-5,1.115693073784076e-5,Direct,0,AFE
tmp2,b0,-4.0453337302582615e-4,9.207661215289264e-5,1.115693073784076e-5,Direct,0,AFE
pre,sum,0.018494200719385716,0.00774352709861713,0.016924526104722372,Direct,0,AFE
pre,b0,0.018494200719385716,0.00774352709861713,0.016924526104722372,Direct,0,AFE
pre2,sum,-0.004580901417516843,0.0014860223645243552,0.0020515954057756325,Direct,0,AFE
pre2,b0,-0.004580901417516843,0.0014860223645243552,0.0020515954057756325,Direct,0,AFE
tmp,sum,0.007218634951529396,0.002288951209091157,0.0016122207395588724,Direct,0,IFE
tmp,b0,0.007218634951529396,0.002288951209091157,0.0016122207395588724,Direct,0,IFE
tmp2,sum,-2.959179505940668e-4,8.328990787868036e-5,3.8105732347670974e-4,Direct,0,IFE
tmp2,b0,-2.959179505940668e-4,8.328990787868036e-5,3.8105732347670974e-4,Direct,0,IFE
pre,sum,0.013314465596281666,0.007074408218415165,0.059827776218494,Direct,0,IFE
pre,b0,0.013314465596281666,0.007074408218415165,0.059827776218494,Direct,0,IFE
pre2,sum,-0.0033659147633933384,0.0015681933457364898,0.03184389724868386,Direct,0,IFE
pre2,b0,-0.0033659147633933384,0.0015681933457364898,0.03184389724868386,Direct,0,IFE
tmp,sum,0.006755962566753616,0.004292574910754296,0.11551709244094127,Direct,1,AFE
tmp,b0,0.011708143548847008,0.0023782107622628405,8.518862900486534e-7,Direct,1,AFE
tmp,b1,-0.004952180982093392,0.00306708317409322,0.10639250661882269,Direct,1,AFE
tmp2,sum,-2.5097866848662874e-4,1.4748571929595848e-4,0.0888087973761452,Direct,1,AFE
tmp2,b0,-4.39153491290787e-4,8.935011564469458e-5,8.879426312005631e-7,Direct,1,AFE
tmp2,b1,1.8817482280415824e-4,1.0514367616545888e-4,0.0735033983187861,Direct,1,AFE
pre,sum,0.011974546648121054,0.01031030471228528,0.24547301015177314,Direct,1,AFE
pre,b0,0.01592455050415103,0.007152236326979173,0.025979807924043145,Direct,1,AFE
pre,b1,-0.003950003856029975,0.008176501857062845,0.6290303080988073,Direct,1,AFE
pre2,sum,-0.003989353320206192,0.00201553975783331,0.0477824920872743,Direct,1,AFE
pre2,b0,-0.004125878335720299,0.0013909587066473453,0.0030149263664747826,Direct,1,AFE
pre2,b1,1.365250155141072e-4,0.0016495919511146308,0.9340400685148522,Direct,1,AFE
tmp,sum,0.004095159107085712,0.0031164583851087395,0.1888318657436062,Direct,1,IFE
tmp,b0,0.008679932205425945,0.0023235297100602514,1.8721862176711342e-4,Direct,1,IFE
tmp,b1,-0.004584773098340233,0.002338181849738421,0.04989905773788279,Direct,1,IFE
tmp2,sum,-2.052361742495895e-4,1.1039535684275413e-4,0.06301275175009645,Direct,1,IFE
tmp2,b0,-3.7779004990129395e-4,8.315515923241936e-5,5.540812197827565e-6,Direct,1,IFE
tmp2,b1,1.7255387565170448e-4,8.229139439703032e-5,0.03600560191450453,Direct,1,IFE
pre,sum,0.0038692856798174225,0.009773122796119749,0.6921707719245703,Direct,1,IFE
pre,b0,0.01240844947355727,0.006840576034044655,0.06968572604593824,Direct,1,IFE
pre,b1,-0.008539163793739847,0.00699866421944036,0.22242190044804253,Direct,1,IFE
pre2,sum,-0.0020393902973610567,0.002094770581243776,0.3302737628825652,Direct,1,IFE
pre2,b0,-0.003333635431902569,0.00150823179523075,0.027084776527023936,Direct,1,IFE
pre2,b1,0.0012942451345415121,0.0015594211121859212,0.4065657547612477,Direct,1,IFE
tmp,sum,0.005533267781538951,0.005087597386935073,0.27677200303506755,Direct,2,AFE
tmp,b0,0.011840007215010889,0.0024690822334821555,1.62425919226242e-6,Direct,2,AFE
tmp,b1,-0.004641789611757155,0.0029511023612345806,0.11574191957499252,Direct,2,AFE
tmp,b2,-0.0016649498217147826,0.002046114728188097,0.4158094780328948,Direct,2,AFE
tmp2,sum,-1.8807988581128447e-4,1.6185594745947077e-4,0.24522724633495013,Direct,2,AFE
tmp2,b0,-4.316223152528141e-4,8.939371231546048e-5,1.3768301323215599e-6,Direct,2,AFE
tmp2,b1,1.6008241723101344e-4,1.0682545802764861e-4,0.13399253345357434,Direct,2,AFE
tmp2,b2,8.346001221051621e-5,7.975740520947962e-5,0.2953656106535095,Direct,2,AFE
pre,sum,0.003656087569708208,0.013530231754365898,0.7869939439748485,Direct,2,AFE
pre,b0,0.017047866170151683,0.007206163511333508,0.017994366883814995,Direct,2,AFE
pre,b1,-0.0040382798388781446,0.007873428811183011,0.6080214332241496,Direct,2,AFE
pre,b2,-0.009353498761565332,0.007879217951399455,0.23518421741985518,Direct,2,AFE
pre2,sum,-0.0025762387930897625,0.0024692519380502508,0.29679657472412463,Direct,2,AFE
pre2,b0,-0.004357576121236119,0.0014249686660276531,0.0022280812756742424,Direct,2,AFE
pre2,b1,5.216705838736275e-5,0.0015839809356942554,0.9737271034955636,Direct,2,AFE
pre2,b2,0.0017291702697589944,0.0014516991368616191,0.2336004245417466,Direct,2,AFE
tmp,sum,0.0052344679442358055,0.0035678569186298054,0.14234389451525806,Direct,2,IFE
tmp,b0,0.01149774165593848,0.00227130134888037,4.1448423857595494e-7,Direct,2,IFE
tmp,b1,-0.0032538241171993785,0.002417827296744617,0.17837874789027575,Direct,2,IFE
tmp,b2,-0.0030094495945032955,0.002284401595979751,0.1877076707110308,Direct,2,IFE
tmp2,sum,-2.4681558832621907e-4,1.2738320840293216e-4,0.05267407096853139,Direct,2,IFE
tmp2,b0,-4.5766869197212234e-4,8.20935919239642e-5,2.4758327034569106e-8,Direct,2,IFE
tmp2,b1,1.6760439756057725e-4,8.594790467667633e-5,0.051167821989154615,Direct,2,IFE
tmp2,b2,4.324870608532599e-5,8.369081793175308e-5,0.6053183753453297,Direct,2,IFE
pre,sum,-0.006745227314005031,0.011577936853987315,0.5601671822341228,Direct,2,IFE
pre,b0,0.011174939948728008,0.006716637776083737,0.09615841574216023,Direct,2,IFE
pre,b1,-0.007919221958603772,0.006835245506171622,0.24662484642699795,Direct,2,IFE
pre,b2,-0.010000945304129266,0.006819354519600115,0.14249767451653592,Direct,2,IFE
pre2,sum,-6.885514407380847e-5,0.002519346469739538,0.978196084441553,Direct,2,IFE
pre2,b0,-0.0031862441153419283,0.001496630011716568,0.03325874834296397,Direct,2,IFE
pre2,b1,7.836902398621814e-4,0.0015430419393372852,0.6115329109644195,Direct,2,IFE
pre2,b2,0.0023336987314059384,0.0015433365152664224,0.13050519681776293,Direct,2,IFE
tmp,sum,0.002856071528340329,0.006122501087889981,0.6408664406945659,Direct,3,AFE
tmp,b0,0.01076309024183739,0.002565830158519194,2.7313787074385695e-5,Direct,3,AFE
tmp,b1,-0.004431059917932618,0.0029739546450185746,0.13623595134995442,Direct,3,AFE
tmp,b2,-0.0015266891569408506,0.0019229067179544704,0.42722533674773694,Direct,3,AFE
tmp,b3,-0.0019492696386235917,0.0019462034397143622,0.3165486698047207,Direct,3,AFE
tmp2,sum,-1.6125333868086353e-4,1.8871420935245473e-4,0.39283667660063154,Direct,3,AFE
tmp2,b0,-3.910370912062741e-4,9.163866505458918e-5,1.9797479830893894e-5,Direct,3,AFE
tmp2,b1,1.6360178483043332e-4,1.0765352617625579e-4,0.12858470736315808,Direct,3,AFE
tmp2,b2,7.991088029198315e-5,7.809795759545525e-5,0.3062069369940901,Direct,3,AFE
tmp2,b3,-1.3728912597005912e-5,7.716255487268024e-5,0.8587842685344764,Direct,3,AFE
pre,sum,0.007040272722528048,0.01620908174624761,0.6640406581339532,Direct,3,AFE
pre,b0,0.015578961008626933,0.007337879741434724,0.03374651739520681,Direct,3,AFE
pre,b1,-0.0011982787429074175,0.00755261042150283,0.8739386765755657,Direct,3,AFE
pre,b2,-0.004812992461852409,0.007617876220543688,0.5275160066607774,Direct,3,AFE
pre,b3,-0.002527417081339059,0.00681221465584569,0.710628189620432,Direct,3,AFE
pre2,sum,-0.0026532376288955378,0.0028979190817361947,0.3598943090085022,Direct,3,AFE
pre2,b0,-0.004067006166855722,0.001438761193660166,0.004702425148264309,Direct,3,AFE
pre2,b1,-3.670936061540512e-4,0.001485528998179093,0.8048207320635263,Direct,3,AFE
pre2,b2,9.811118523428595e-4,0.0014116783569166126,0.48705734618735813,Direct,3,AFE
pre2,b3,7.997502917713758e-4,0.0013747383655708825,0.5607369261306221,Direct,3,AFE
tmp,sum,0.010542661586701411,0.0044179602409717056,0.017017991390081193,Direct,3,IFE
tmp,b0,0.012465539343208105,0.002293040795719799,5.441408525612744e-8,Direct,3,IFE
tmp,b1,-2.16318126484649e-4,0.0023005207173738503,0.9250852693204961,Direct,3,IFE
tmp,b2,-9.782001285556278e-4,0.0022895473861667013,0.6692001070249325,Direct,3,IFE
tmp,b3,-7.283595014664165e-4,0.0022221468483527205,0.7430833842199529,Direct,3,IFE
tmp2,sum,-2.7856033654724517e-4,1.5603637283408185e-4,0.074224513735274,Direct,3,IFE
tmp2,b0,-4.005144895770644e-4,8.333218458041957e-5,1.5379516441720217e-6,Direct,3,IFE
tmp2,b1,9.628722437508025e-5,8.309613054019694e-5,0.2465601491717947,Direct,3,IFE
tmp2,b2,4.495415327871845e-5,8.476428067199831e-5,0.5958740535105794,Direct,3,IFE
tmp2,b3,-1.928722462397945e-5,8.215533011239958e-5,0.8143908647921752,Direct,3,IFE
pre,sum,0.004478832068956665,0.014627687500203969,0.7594610042670978,Direct,3,IFE
pre,b0,0.011221222420668704,0.00688033886624863,0.10290903655042694,Direct,3,IFE
pre,b1,-0.0052689068394934716,0.0069193670553934035,0.4463749751284696,Direct,3,IFE
pre,b2,-0.00689538540125855,0.006893191216189482,0.3171564880384828,Direct,3,IFE
pre,b3,0.005421901889039983,0.00694064005602652,0.4346955597939853,Direct,3,IFE
pre2,sum,-0.0012923641217389805,0.003138317297987901,0.6804848398821257,Direct,3,IFE
pre2,b0,-0.0029285855633140187,0.0015242313319954385,0.054687292255926584,Direct,3,IFE
pre2,b1,5.696371845119238e-4,0.0015422756070098858,0.711867978140498,Direct,3,IFE
pre2,b2,0.0016589769785666968,0.0015469242478295389,0.2835243251057254,Direct,3,IFE
pre2,b3,-5.923927215035824e-4,0.0015484301826373017,0.702033930550527,Direct,3,IFE
tmp,sum,0.0013781191063192795,0.006663050917761817,0.8361425926855458,Direct,4,AFE
tmp,b0,0.010716676566353625,0.0025536288065913454,2.7089664340857633e-5,Direct,4,AFE
tmp,b1,-0.004410562267589563,0.003064334556152524,0.15005948566603833,Direct,4,AFE
tmp,b2,-0.0016578249273941211,0.0019673109514147112,0.399404212423421,Direct,4,AFE
tmp,b3,-0.0016999168060362248,0.0019278771193331015,0.3779088857538982,Direct,4,AFE
tmp,b4,-0.0015702534590144356,0.0020137933868599627,0.43553860754478435,Direct,4,AFE
tmp2,sum,-1.0840769701527195e-4,1.9715714267201314e-4,0.5824193311072807,Direct,4,AFE
tmp2,b0,-3.9210253701334966e-4,9.343634155466501e-5,2.71110775431152e-5,Direct,4,AFE
tmp2,b1,1.7367029634796178e-4,1.1459385636483968e-4,0.1296385277464616,Direct,4,AFE
tmp2,b2,8.311624172366167e-5,7.933518362946393e-5,0.2947956126801196,Direct,4,AFE
tmp2,b3,-2.6428856440707773e-5,8.600215894643686e-5,0.7586115578205015,Direct,4,AFE
tmp2,b4,5.3337158367162e-5,9.980127846971173e-5,0.5930415649356384,Direct,4,AFE
pre,sum,0.007879228941630536,0.01925691476927734,0.6824195909614457,Direct,4,AFE
pre,b0,0.017119549619525033,0.007667104943724323,0.0255583701769698,Direct,4,AFE
pre,b1,-0.0023678678236827948,0.007670236155253398,0.7575432054255299,Direct,4,AFE
pre,b2,-0.004155395323150346,0.007865076883986617,0.5972668496532231,Direct,4,AFE
pre,b3,-0.0012833575572716196,0.006927177185489391,0.8530218594625796,Direct,4,AFE
pre,b4,-0.0014336999737897369,0.007009149679638659,0.8379261306628518,Direct,4,AFE
