Variable,Coef,AFE L=0,AFE L=1,AFE L=2,AFE L=3,AFE L=4,AFE L=5,IFE L=0,IFE L=1,IFE L=2,IFE L=3,IFE L=4,IFE L=5
T,beta_0 (t),0.01059***,0.01171***,0.01184***,0.01076***,0.01072***,0.01068***,0.00722***,0.00868***,0.01150***,0.01247***,0.01275***,0.01242***
,,(0.00252),(0.00238),(0.00247),(0.00257),(0.00255),(0.00262),(0.00229),(0.00232),(0.00227),(0.00229),(0.00233),(0.00229)
T,beta_1 (t-1),,-0.00495,-0.00464,-0.00443,-0.00441,-0.00494,,-0.00458**,-0.00325,-0.00022,-0.00035,-0.00166
,,,(0.00307),(0.00295),(0.00297),(0.00306),(0.00301),,(0.00234),(0.00242),(0.00230),(0.00233),(0.00243)
T,beta_2 (t-2),,,-0.00166,-0.00153,-0.00166,-0.00159,,,-0.00301,-0.00098,-0.00057,-0.00147
,,,,(0.00205),(0.00192),(0.00197),(0.00197),,,(0.00228),(0.00229),(0.00233),(0.00233)
T,beta_3 (t-3),,,,-0.00195,-0.00170,-0.00194,,,,-0.00073,-0.00100,-0.00076
,,,,,(0.00195),(0.00193),(0.00206),,,,(0.00222),(0.00228),(0.00228)
T,beta_4 (t-4),,,,,-0.00157,-0.00065,,,,,0.00130,-0.00016
,,,,,,(0.00201),(0.00203),,,,,(0.00236),(0.00238)
T,beta_5 (t-5),,,,,,-0.00612*,,,,,,-0.00525**
,,,,,,,(0.00370),,,,,,(0.00228)
T,SUM  (cumulative),0.01059***,0.00676,0.00553,0.00286,0.00138,-0.00457,0.00722***,0.00410,0.00523,0.01054**,0.01212**,0.00312
,,(0.00252),(0.00429),(0.00509),(0.00612),(0.00666),(0.00531),(0.00229),(0.00312),(0.00357),(0.00442),(0.00508),(0.00520)
T^2,beta_0 (t),-0.00040***,-0.00044***,-0.00043***,-0.00039***,-0.00039***,-0.00039***,-0.00030***,-0.00038***,-0.00046***,-0.00040***,-0.00041***,-0.00044***
,,(0.00009),(0.00009),(0.00009),(0.00009),(0.00009),(0.00009),(0.00008),(0.00008),(0.00008),(0.00008),(0.00008),(0.00008)
T^2,beta_1 (t-1),,0.00019*,0.00016,0.00016,0.00017,0.00019*,,0.00017**,0.00017*,0.00010,0.00011,0.00016*
,,,(0.00011),(0.00011),(0.00011),(0.00011),(0.00011),,(0.00008),(0.00009),(0.00008),(0.00008),(0.00009)
T^2,beta_2 (t-2),,,0.00008,0.00008,0.00008,0.00007,,,0.00004,0.00004,0.00002,0.00003
,,,,(0.00008),(0.00008),(0.00008),(0.00008),,,(0.00008),(0.00008),(0.00009),(0.00008)
T^2,beta_3 (t-3),,,,-0.00001,-0.00003,-0.00001,,,,-0.00002,-0.00002,-0.00004
,,,,,(0.00008),(0.00009),(0.00009),,,,(0.00008),(0.00008),(0.00008)
T^2,beta_4 (t-4),,,,,0.00005,0.00002,,,,,-0.00003,0.00000
,,,,,,(0.00010),(0.00010),,,,,(0.00009),(0.00009)
T^2,beta_5 (t-5),,,,,,0.00017,,,,,,0.00010
,,,,,,,(0.00012),,,,,,(0.00008)
T^2,SUM  (cumulative),-0.00040***,-0.00025*,-0.00019,-0.00016,-0.00011,0.00005,-0.00030***,-0.00021*,-0.00025*,-0.00028*,-0.00033*,-0.00019
,,(0.00009),(0.00015),(0.00016),(0.00019),(0.00020),(0.00018),(0.00008),(0.00011),(0.00013),(0.00016),(0.00018),(0.00018)
P,beta_0 (t),0.01849**,0.01592**,0.01705**,0.01558**,0.01712**,0.01769**,0.01331*,0.01241*,0.01117*,0.01122,0.01310*,0.01516**
,,(0.00774),(0.00715),(0.00721),(0.00734),(0.00767),(0.00763),(0.00707),(0.00684),(0.00672),(0.00688),(0.00690),(0.00669)
P,beta_1 (t-1),,-0.00395,-0.00404,-0.00120,-0.00237,-0.00392,,-0.00854,-0.00792,-0.00527,-0.00629,-0.00795
,,,(0.00818),(0.00787),(0.00755),(0.00767),(0.00779),,(0.00700),(0.00684),(0.00692),(0.00691),(0.00680)
P,beta_2 (t-2),,,-0.00935,-0.00481,-0.00416,-0.00315,,,-0.01000,-0.00690,-0.00563,-0.00399
,,,,(0.00788),(0.00762),(0.00787),(0.00807),,,(0.00682),(0.00689),(0.00692),(0.00679)
P,beta_3 (t-3),,,,-0.00253,-0.00128,-0.00324,,,,0.00542,0.00529,0.00253
,,,,,(0.00681),(0.00693),(0.00732),,,,(0.00694),(0.00691),(0.00681)
P,beta_4 (t-4),,,,,-0.00143,-0.00245,,,,,0.00184,-0.00197
,,,,,,(0.00701),(0.00714),,,,,(0.00691),(0.00671)
P,beta_5 (t-5),,,,,,0.00698,,,,,,0.00472
,,,,,,,(0.00548),,,,,,(0.00674)
P,SUM  (cumulative),0.01849**,0.01197,0.00366,0.00704,0.00788,0.01192,0.01331*,0.00387,-0.00675,0.00448,0.00831,0.00849
,,(0.00774),(0.01031),(0.01353),(0.01621),(0.01926),(0.02142),(0.00707),(0.00977),(0.01158),(0.01463),(0.01693),(0.01784)
P^2,beta_0 (t),-0.00458***,-0.00413***,-0.00436***,-0.00407***,-0.00428***,-0.00446***,-0.00337**,-0.00333**,-0.00319**,-0.00293*,-0.00313**,-0.00404***
,,(0.00149),(0.00139),(0.00142),(0.00144),(0.00148),(0.00146),(0.00157),(0.00151),(0.00150),(0.00152),(0.00152),(0.00147)
P^2,beta_1 (t-1),,0.00014,0.00005,-0.00037,-0.00008,0.00055,,0.00129,0.00078,0.00057,0.00088,0.00129
,,,(0.00165),(0.00158),(0.00149),(0.00154),(0.00153),,(0.00156),(0.00154),(0.00154),(0.00153),(0.00152)
P^2,beta_2 (t-2),,,0.00173,0.00098,0.00101,0.00076,,,0.00233,0.00166,0.00143,0.00135
,,,,(0.00145),(0.00141),(0.00148),(0.00153),,,(0.00154),(0.00155),(0.00154),(0.00153)
P^2,beta_3 (t-3),,,,0.00080,0.00081,0.00128,,,,-0.00059,-0.00037,0.00025
,,,,,(0.00137),(0.00138),(0.00150),,,,(0.00155),(0.00153),(0.00154)
P^2,beta_4 (t-4),,,,,0.00043,0.00085,,,,,-0.00047,0.00051
,,,,,,(0.00134),(0.00135),,,,,(0.00155),(0.00151)
P^2,beta_5 (t-5),,,,,,-0.00186*,,,,,,-0.00146
,,,,,,,(0.00106),,,,,,(0.00151)
P^2,SUM  (cumulative),-0.00458***,-0.00399**,-0.00258,-0.00265,-0.00211,-0.00288,-0.00337**,-0.00204,-0.00007,-0.00129,-0.00167,-0.00209
,,(0.00149),(0.00202),(0.00247),(0.00290),(0.00350),(0.00386),(0.00157),(0.00209),(0.00252),(0.00314),(0.00359),(0.00380)
