Variable,Coef,AFE L=0,AFE L=1,AFE L=2,AFE L=3,AFE L=4,AFE L=5,IFE L=0,IFE L=1,IFE L=2,IFE L=3,IFE L=4,IFE L=5
T,beta_0 (t),0.01548***,0.01740***,0.01811***,0.01619***,0.01563***,0.01676***,0.01228***,0.01467***,0.02024***,0.02120***,0.02049***,0.02029***
,,(0.00414),(0.00414),(0.00413),(0.00403),(0.00398),(0.00407),(0.00382),(0.00385),(0.00379),(0.00374),(0.00391),(0.00384)
T,beta_1 (t-1),,-0.00896**,-0.00831*,-0.00911*,-0.00921*,-0.01104***,,-0.00652,-0.00626,-0.00327,-0.00281,-0.00504
,,,(0.00448),(0.00446),(0.00483),(0.00510),(0.00398),,(0.00401),(0.00397),(0.00397),(0.00395),(0.00394)
T,beta_2 (t-2),,,0.00122,0.00066,0.00115,0.00206,,,0.00043,0.00462,0.00350,0.00429
,,,,(0.00333),(0.00350),(0.00354),(0.00359),,,(0.00390),(0.00380),(0.00394),(0.00390)
T,beta_3 (t-3),,,,-0.00132,-0.00102,0.00094,,,,-0.00216,-0.00195,0.00012
,,,,,(0.00279),(0.00289),(0.00309),,,,(0.00385),(0.00387),(0.00379)
T,beta_4 (t-4),,,,,0.00085,0.00162,,,,,0.00139,0.00081
,,,,,,(0.00338),(0.00340),,,,,(0.00392),(0.00390)
T,beta_5 (t-5),,,,,,0.00225,,,,,,0.00289
,,,,,,,(0.00522),,,,,,(0.00394)
T,SUM  (cumulative),0.01548***,0.00843,0.01102,0.00642,0.00740,0.01259,0.01228***,0.00815,0.01441**,0.02038**,0.02061**,0.02336**
,,(0.00414),(0.00656),(0.00879),(0.01000),(0.01116),(0.01022),(0.00382),(0.00553),(0.00677),(0.00834),(0.00987),(0.01045)
T^2,beta_0 (t),-0.00057***,-0.00064***,-0.00065***,-0.00060***,-0.00059***,-0.00063***,-0.00047***,-0.00061***,-0.00075***,-0.00067***,-0.00067***,-0.00072***
,,(0.00015),(0.00015),(0.00014),(0.00014),(0.00015),(0.00014),(0.00012),(0.00012),(0.00012),(0.00012),(0.00012),(0.00012)
T^2,beta_1 (t-1),,0.00033**,0.00029*,0.00033**,0.00034**,0.00039***,,0.00026**,0.00030**,0.00018,0.00023*,0.00030**
,,,(0.00015),(0.00015),(0.00016),(0.00017),(0.00015),,(0.00012),(0.00013),(0.00013),(0.00013),(0.00012)
T^2,beta_2 (t-2),,,0.00002,0.00003,0.00002,-0.00001,,,-0.00001,-0.00011,-0.00008,-0.00010
,,,,(0.00011),(0.00012),(0.00012),(0.00012),,,(0.00012),(0.00012),(0.00013),(0.00012)
T^2,beta_3 (t-3),,,,-0.00006,-0.00008,-0.00013,,,,0.00002,-0.00003,-0.00008
,,,,,(0.00010),(0.00011),(0.00012),,,,(0.00012),(0.00012),(0.00012)
T^2,beta_4 (t-4),,,,,0.00002,-0.00001,,,,,0.00001,0.00003
,,,,,,(0.00015),(0.00015),,,,,(0.00013),(0.00013)
T^2,beta_5 (t-5),,,,,,-0.00001,,,,,,-0.00007
,,,,,,,(0.00017),,,,,,(0.00013)
T^2,SUM  (cumulative),-0.00057***,-0.00031,-0.00034,-0.00030,-0.00029,-0.00039,-0.00047***,-0.00034**,-0.00046**,-0.00058**,-0.00054*,-0.00064**
,,(0.00015),(0.00022),(0.00027),(0.00030),(0.00032),(0.00029),(0.00012),(0.00017),(0.00021),(0.00025),(0.00030),(0.00031)
P,beta_0 (t),0.11039**,0.10020**,0.10937**,0.07915*,0.07324*,0.09563**,0.09139*,0.07313,0.11079**,0.10477**,0.10001*,0.10945**
,,(0.04679),(0.04391),(0.04348),(0.04067),(0.04109),(0.04258),(0.05165),(0.05250),(0.05206),(0.05099),(0.05194),(0.05243)
P,beta_1 (t-1),,-0.02747,-0.02669,-0.03145,-0.04058,-0.06111,,-0.01439,0.00184,0.00157,-0.01659,-0.01995
,,,(0.03950),(0.04118),(0.04190),(0.04264),(0.04076),,(0.05434),(0.05239),(0.05310),(0.05286),(0.05207)
P,beta_2 (t-2),,,0.04089,0.02987,0.04749,0.06220,,,0.05534,0.04527,0.05472,0.09144*
,,,,(0.03765),(0.04138),(0.04180),(0.04029),,,(0.05269),(0.05179),(0.05419),(0.05272)
P,beta_3 (t-3),,,,-0.04293,-0.04286,0.00203,,,,-0.02819,-0.05544,0.01128
,,,,,(0.03743),(0.03628),(0.03712),,,,(0.05323),(0.05345),(0.05336)
P,beta_4 (t-4),,,,,0.03253,0.03681,,,,,0.03476,0.05592
,,,,,,(0.04190),(0.04009),,,,,(0.05218),(0.05124)
P,beta_5 (t-5),,,,,,0.18552***,,,,,,0.17077***
,,,,,,,(0.04553),,,,,,(0.05177)
P,SUM  (cumulative),0.11039**,0.07272,0.12357,0.03464,0.06984,0.32108**,0.09139*,0.05873,0.16798*,0.12342,0.11746,0.41890***
,,(0.04679),(0.05752),(0.08018),(0.09140),(0.11512),(0.14871),(0.05165),(0.07738),(0.09706),(0.12099),(0.14179),(0.15121)
P^2,beta_0 (t),-0.07314**,-0.06444**,-0.06407**,-0.04770*,-0.04251*,-0.05061**,-0.05714**,-0.04148,-0.05519**,-0.05205**,-0.04529*,-0.05101**
,,(0.02919),(0.02721),(0.02730),(0.02599),(0.02543),(0.02402),(0.02580),(0.02556),(0.02509),(0.02472),(0.02500),(0.02489)
P^2,beta_1 (t-1),,0.01041,0.01128,0.01416,0.01844,0.02791,,0.01463,-0.00404,0.00169,0.01060,0.00612
,,,(0.02149),(0.02236),(0.02152),(0.02247),(0.02280),,(0.02620),(0.02563),(0.02555),(0.02561),(0.02534)
P^2,beta_2 (t-2),,,-0.01033,-0.00451,-0.00757,-0.01892,,,-0.01367,-0.00737,-0.01170,-0.03257
,,,,(0.02019),(0.02136),(0.02048),(0.02116),,,(0.02553),(0.02520),(0.02625),(0.02544)
P^2,beta_3 (t-3),,,,0.03420,0.03199,0.01497,,,,0.01891,0.03264,-0.00030
,,,,,(0.02332),(0.02265),(0.02322),,,,(0.02574),(0.02609),(0.02565)
P^2,beta_4 (t-4),,,,,0.00721,0.00085,,,,,-0.00335,-0.01757
,,,,,,(0.02376),(0.02346),,,,,(0.02548),(0.02501)
P^2,beta_5 (t-5),,,,,,-0.08726***,,,,,,-0.08424***
,,,,,,,(0.02539),,,,,,(0.02515)
P^2,SUM  (cumulative),-0.07314**,-0.05403,-0.06312,-0.00384,0.00756,-0.11307,-0.05714**,-0.02685,-0.07291,-0.03882,-0.01710,-0.17957**
,,(0.02919),(0.03337),(0.04261),(0.04987),(0.06201),(0.07947),(0.02580),(0.03768),(0.04656),(0.05902),(0.07041),(0.07358)
T x P,beta_0 (t),-0.01131**,-0.01203**,-0.01361***,-0.01137**,-0.01088**,-0.01342***,-0.01037**,-0.01049**,-0.01559***,-0.01419***,-0.01383***,-0.01522***
,,(0.00482),(0.00479),(0.00474),(0.00449),(0.00447),(0.00464),(0.00496),(0.00506),(0.00503),(0.00498),(0.00506),(0.00505)
T x P,beta_1 (t-1),,0.00737*,0.00712*,0.00829**,0.00942**,0.01094***,,0.00528,0.00517,0.00344,0.00633,0.00642
,,,(0.00384),(0.00391),(0.00417),(0.00413),(0.00383),,(0.00524),(0.00504),(0.00516),(0.00509),(0.00498)
T x P,beta_2 (t-2),,,-0.00494,-0.00357,-0.00543,-0.00619,,,-0.00554,-0.00616,-0.00673,-0.00875*
,,,,(0.00357),(0.00395),(0.00417),(0.00389),,,(0.00507),(0.00503),(0.00526),(0.00508)
T x P,beta_3 (t-3),,,,-0.00029,-0.00041,-0.00515,,,,0.00185,0.00230,-0.00362
,,,,,(0.00356),(0.00350),(0.00371),,,,(0.00518),(0.00515),(0.00517)
T x P,beta_4 (t-4),,,,,-0.00192,-0.00182,,,,,0.00078,-0.00174
,,,,,,(0.00375),(0.00367),,,,,(0.00509),(0.00497)
T x P,beta_5 (t-5),,,,,,-0.01533***,,,,,,-0.01343***
,,,,,,,(0.00425),,,,,,(0.00501)
T x P,SUM  (cumulative),-0.01131**,-0.00466,-0.01143,-0.00694,-0.00922,-0.03097**,-0.01037**,-0.00522,-0.01595*,-0.01505,-0.01116,-0.03634**
