spec,estimator,L,T_pct,impact_b0,cumulative,ratio,se_ratio,lo,hi
Direct,AFE,1,50%,-0.007920717406723272,-0.004462040897270207,0.5633379740934493,0.3877908246354661,-0.1967320421920642,1.3234079903789628
Direct,AFE,1,90%,-0.012204243445062041,-0.006910099908187199,0.5662046925967456,0.3294527208249852,-0.07952264022022548,1.2119320254137165
Direct,AFE,2,50%,-0.0074522324675580405,-0.002873346307485118,0.3855685286246392,0.46453616512667883,-0.5249223550236513,1.2960594122729296
Direct,AFE,2,90%,-0.011662299022372839,-0.004707887314531237,0.40368432549188393,0.3866527207642153,-0.35415500720597803,1.161523658189746
Direct,AFE,3,50%,-0.006715110077595286,-0.004351475323410172,0.6480125080791612,0.60432386272789,-0.5364622628675031,1.8324872790258255
Direct,AFE,3,90%,-0.010529306242164107,-0.005924348791814795,0.5626532893583265,0.5064535349630312,-0.4299956391692148,1.5553022178858678
Direct,AFE,4,50%,-0.006809146026424326,-0.0034673840114445168,0.5092245045103457,0.6101485113258087,-0.6866665776882394,1.705115586708931
Direct,AFE,4,90%,-0.010633734604915745,-0.004524798337256571,0.4255135665286262,0.517713433348955,-0.5892047628353256,1.4402318958925782
Direct,AFE,5,50%,-0.006949827667508054,-0.0023618682556996564,0.33984558591889996,0.7749531533204803,-1.1790625945892415,1.8587537664270415
Direct,AFE,5,90%,-0.010796895990280246,-0.0018804235826558498,0.17416335068418504,0.6479659858465048,-1.0958499815749643,1.4441766829433345
Direct,IFE,1,50%,-0.008206164585274962,-0.005078290284281796,0.6188384636343044,0.2563827916852047,0.11632819193130317,1.1213487353373055
Direct,IFE,1,90%,-0.011891148418651687,-0.007080174622769333,0.5954155455383795,0.23847830431633973,0.12799806907835365,1.0628330219984052
Direct,IFE,2,50%,-0.008958693956206177,-0.005797458161333258,0.6471320696603372,0.2964567856248604,0.06607676983561084,1.2281873694850636
Direct,IFE,2,90%,-0.013422818226817798,-0.008204910271427508,0.6112658409569091,0.2682344243436524,0.08552636924335033,1.1370053126704678
Direct,IFE,3,50%,-0.00543627262575057,-0.001908160784655305,0.3510053516478767,0.6223193427537855,-0.8687405601495429,1.5707512634452963
Direct,IFE,3,90%,-0.00934291182789531,-0.004625252823116273,0.4950547439938978,0.4829509605461139,-0.4515291386764855,1.441638626664281
Direct,IFE,4,50%,-0.005382870129249571,-0.002652982081162476,0.4928564162725453,0.7016179273998762,-0.8823147214312119,1.8680275539763025
Direct,IFE,4,90%,-0.00934028676654974,-0.005877660181964154,0.6292804845150739,0.5453454991311513,-0.43959669378198263,1.6981576628121304
Direct,IFE,5,50%,-0.007056996470257742,-0.005288859368138183,0.7494490595862546,0.5465283339823718,-0.32174647501919407,1.8206445941917033
Direct,IFE,5,90%,-0.011306298337900427,-0.007124648894663608,0.6301486730436525,0.46047820552602015,-0.2723886097873469,1.532685955874652
Interactive,AFE,1,50%,-0.006831170120102196,-0.004589768788101072,0.671886178708196,0.4238790166325844,-0.1589166938916695,1.5026890513080615
Interactive,AFE,1,90%,-0.010871664726640248,-0.00726821032303763,0.6685462167746392,0.34316766622545763,-0.004062409027257741,1.341154842576536
Interactive,AFE,2,50%,-0.006208831980109013,-0.002862164395101883,0.46098274269158596,0.5443580061638901,-0.6059589493896385,1.5279244347728105
Interactive,AFE,2,90%,-0.009925239569380963,-0.004450305105416123,0.44838263845491116,0.44463195365958025,-0.42309599071786613,1.3198612676276884
Interactive,AFE,3,50%,-0.005504056230825597,-0.0042843844786431716,0.7784049251983247,0.7470572223917811,-0.6858272306895661,2.2426370810862153
Interactive,AFE,3,90%,-0.008836460067161848,-0.005348549536711642,0.6052819224055549,0.6081185210949872,-0.5866303789406201,1.7971942237517298
Interactive,AFE,4,50%,-0.005408320336051198,-0.003636962622867846,0.672475444663346,0.7635726674575499,-0.8241269835534518,2.169077872880144
Interactive,AFE,4,90%,-0.008607979156494954,-0.0038830107126883997,0.45109434422347117,0.6543820473636498,-0.8314944686092824,1.7336831570562248
Interactive,AFE,5,50%,-0.005506891260873227,-0.002211191956434974,0.4015317992831305,0.9713746097124855,-1.502362435753341,2.305426034319602
Interactive,AFE,5,90%,-0.00857184057289186,-6.401718054510654e-4,0.07468312085453221,0.8483298201765326,-1.5880433266914715,1.737409568400536
Interactive,IFE,1,50%,-0.007561166095753555,-0.005651775148219903,0.7474740108399431,0.2740465451145244,0.21034278241547533,1.284605239264411
Interactive,IFE,1,90%,-0.011004216232658499,-0.007812832383022985,0.7099853563251447,0.2531945026594226,0.2137241311126764,1.2062465815376129
Interactive,IFE,2,50%,-0.007522789406923784,-0.005362450702516454,0.7128274383941934,0.35099020082817717,0.024886644770966138,1.4007682320174206
