term,estimate,std.error,statistic,p.value,nobs,spec,L,estimator
tmp,0.010594819461893161,0.002518533132187537,4.206742141482474,2.628343883457339e-5,6456,Direct,0,AFE
tmp2,-4.0453337302582615e-4,9.207661215289264e-5,-4.393443281276476,1.1347994505283846e-5,6456,Direct,0,AFE
pre,0.018494200719385716,0.00774352709861713,2.3883432554511863,0.016955104785768182,6456,Direct,0,AFE
pre2,-0.004580901417516843,0.0014860223645243552,-3.0826598084094745,0.0020608585032702745,6456,Direct,0,AFE
tmp,0.007218634951529396,0.002288951209091157,3.153686685351236,0.0016122207395588724,6456,Direct,0,IFE
tmp2,-2.959179505940668e-4,8.328990787868036e-5,-3.552866825415383,3.8105732347670974e-4,6456,Direct,0,IFE
pre,0.013314465596281666,0.007074408218415165,1.8820606876520367,0.059827776218494,6456,Direct,0,IFE
pre2,-0.0033659147633933384,0.0015681933457364898,-2.146364651109116,0.03184389724868386,6456,Direct,0,IFE
tmp,0.006755962566753616,0.004292574910754296,1.5738717919232423,0.11557065595293319,6334,Direct,1,AFE
tmp2,-2.5097866848662874e-4,1.4748571929595848e-4,-1.7017150520383044,0.08886142925955101,6334,Direct,1,AFE
pre,0.011974546648121054,0.01031030471228528,1.161415397728521,0.24551994652849612,6334,Direct,1,AFE
pre2,-0.003989353320206192,0.00201553975783331,-1.9792977561974345,0.04782885639257362,6334,Direct,1,AFE
tmp,0.004095159107085712,0.0031164583851087395,1.3140426089606916,0.1888318657436062,6334,Direct,1,IFE
tmp2,-2.052361742495895e-4,1.1039535684275413e-4,-1.8591015067954852,0.06301275175009645,6334,Direct,1,IFE
pre,0.0038692856798174225,0.009773122796119749,0.3959108834029647,0.6921707719245703,6334,Direct,1,IFE
pre2,-0.0020393902973610567,0.002094770581243776,-0.9735626018531169,0.3302737628825652,6334,Direct,1,IFE
tmp,0.005533267781538951,0.005087597386935073,1.0875993835023892,0.27681734467420593,6212,Direct,2,AFE
tmp2,-1.8807988581128447e-4,1.6185594745947077e-4,-1.1620202331976726,0.24527521750519593,6212,Direct,2,AFE
pre,0.003656087569708208,0.013530231754365898,0.27021618225633653,0.7870035895838394,6212,Direct,2,AFE
pre2,-0.0025762387930897625,0.0024692519380502508,-1.0433276383794152,0.2968402009792789,6212,Direct,2,AFE
tmp,0.0052344679442358055,0.0035678569186298054,1.4671182347318017,0.14234389451525806,6212,Direct,2,IFE
tmp2,-2.4681558832621907e-4,1.2738320840293216e-4,-1.9375833865442014,0.05267407096853139,6212,Direct,2,IFE
