spec,L,estimator,T_pct,T_val,P_val,dg_dT,se,t,p.value
Direct,0,AFE,10%,9.692860932,1.0846373155,0.0027526480077087346,0.00162408056511042,1.694896218108234,0.0900951100872494
Direct,0,AFE,50%,22.348519760000002,1.0846373155,-0.007486624699401093,0.002718690352897972,-2.7537614540842323,0.005891469194405224
Direct,0,AFE,90%,27.225545815,1.0846373155,-0.01143246430012907,0.0034817978111335323,-3.283494596835054,0.001025286101172224
Direct,0,IFE,10%,9.692860932,1.0846373155,0.0014820518667479224,0.0012313159843493184,1.2036324433253451,0.22873167405366776
Direct,0,IFE,50%,22.348519760000002,1.0846373155,-0.006008021380851017,0.0021220929048700226,-2.831177356591278,0.004637699704078299
Direct,0,IFE,90%,27.225545815,1.0846373155,-0.00889442049122995,0.0028332210808715624,-3.139331607858087,0.0016933370578487944
Direct,1,AFE,10%,9.692860932,1.0846373155,0.0018905599056747695,0.002491784594818338,0.7587172300551924,0.44802172762873826
Direct,1,AFE,50%,22.348519760000002,1.0846373155,-0.004462040897270209,0.0038556895810593415,-1.1572614453169423,0.24716556033591267
Direct,1,AFE,90%,27.225545815,1.0846373155,-0.006910099908187199,0.005063833009009212,-1.3645986934982335,0.17237921564126102
Direct,1,IFE,10%,9.692860932,1.0846373155,1.1650771665173108e-4,0.0016432997726180734,0.07089863857652291,0.9434784269092136
Direct,1,IFE,50%,22.348519760000002,1.0846373155,-0.005078290284281798,0.002707961039640135,-1.8753188136549628,0.06074887662985989
Direct,1,IFE,90%,27.225545815,1.0846373155,-0.007080174622769333,0.003645086155159867,-1.9423888274209558,0.05209004682147547
Direct,2,AFE,10%,9.692860932,1.0846373155,0.0018872034269885106,0.0030227423356395714,0.6243348646483968,0.5324076917377167
Direct,2,AFE,50%,22.348519760000002,1.0846373155,-0.0028733463074851195,0.004112116752358013,-0.6987511494748915,0.48470756221985134
Direct,2,AFE,90%,27.225545815,1.0846373155,-0.004707887314531237,0.005372617348084774,-0.8762744505170279,0.3808808511257175
Direct,2,IFE,10%,9.692860932,1.0846373155,4.4976959724419684e-4,0.0018372371807438273,0.24480758497501248,0.806605420636374
Direct,2,IFE,50%,22.348519760000002,1.0846373155,-0.005797458161333259,0.003085399953966133,-1.8789972930027778,0.060244862845961526
Direct,2,IFE,90%,27.225545815,1.0846373155,-0.008204910271427508,0.00417581089294157,-1.9648663413605199,0.04942970930691451
