term,estimate,std.error,statistic,p.value,nobs,model
tmp,0.010594819461893161,0.002518533132187537,4.206742141482474,2.628343883457339e-5,6456,M1: AFE-Direct
tmp2,-4.0453337302582615e-4,9.207661215289264e-5,-4.393443281276476,1.1347994505283846e-5,6456,M1: AFE-Direct
pre,0.018494200719385716,0.00774352709861713,2.3883432554511863,0.016955104785768182,6456,M1: AFE-Direct
pre2,-0.004580901417516843,0.0014860223645243552,-3.0826598084094745,0.0020608585032702745,6456,M1: AFE-Direct
tmp,0.015475842104069002,0.004141247424675376,3.7370001154379517,1.879516406142001e-4,6456,M2: AFE-Interact
tmp2,-5.656820679805124e-4,1.490575206331658e-4,-3.795058884500499,1.4905578791100883e-4,6456,M2: AFE-Interact
pre,0.11039273570758609,0.0467866898325755,2.35949019053544,0.018331774912973785,6456,M2: AFE-Interact
pre2,-0.0731393440751056,0.029189867216127433,-2.505641547923727,0.01224910406875168,6456,M2: AFE-Interact
tmp_pre,-0.011307580366994332,0.004824580677077186,-2.3437436585358666,0.019123605496626058,6456,M2: AFE-Interact
tmp2_pre,3.310600847068774e-4,1.4434330741422682e-4,2.293560336377933,0.021850019735510783,6456,M2: AFE-Interact
pre2_tmp,0.006653463729768334,0.00260100603105049,2.5580347182359833,0.010550799164039837,6456,M2: AFE-Interact
tmp2_pre2,-1.6073706643416266e-4,6.0997361117728553e-5,-2.6351478734289917,0.008431590877426781,6456,M2: AFE-Interact
tmp,0.007218634951529396,0.002288951209091157,3.153686685351236,0.0016122207395588724,6456,M3: IFE-Direct
tmp2,-2.959179505940668e-4,8.328990787868036e-5,-3.552866825415383,3.8105732347670974e-4,6456,M3: IFE-Direct
pre,0.013314465596281666,0.007074408218415165,1.8820606876520367,0.059827776218494,6456,M3: IFE-Direct
pre2,-0.0033659147633933384,0.0015681933457364898,-2.146364651109116,0.03184389724868386,6456,M3: IFE-Direct
tmp,0.012276113947756323,0.003817274640477726,3.215936788404616,0.001300194674275538,6456,M4: IFE-Interact
tmp2,-4.7273133679506135e-4,1.2338738238641315e-4,-3.8312777826391136,1.2747947999267997e-4,6456,M4: IFE-Interact
pre,0.09138927071609892,0.051650579520551985,1.7693755145522567,0.07683122899998446,6456,M4: IFE-Interact
pre2,-0.057139456960584235,0.02580064400892777,-2.214652352895235,0.026783935634860267,6456,M4: IFE-Interact
tmp_pre,-0.010366475296529419,0.004957986787644354,-2.0908638406143782,0.036540271310895815,6456,M4: IFE-Interact
tmp2_pre,3.142440123660261e-4,1.338732522432213e-4,2.347324854670048,0.018908760713162394,6456,M4: IFE-Interact
pre2_tmp,0.005299407616532271,0.002250922504501631,2.354326995235936,0.01855627933038804,6456,M4: IFE-Interact
tmp2_pre2,-1.300221533998656e-4,5.234293056446617e-5,-2.4840442061173627,0.012989968135343286,6456,M4: IFE-Interact
