Variable,AFE-Direct,AFE-Direct DK(3),IFE-Direct,AFE-Interact,AFE-Interact DK(3),IFE-Interact
T,0.01059***,0.01059***,0.00722***,0.01548***,0.01548***,0.01228***
,(0.00252),(0.00236),(0.00229),(0.00414),(0.00313),(0.00382)
T^2,-0.00040***,-0.00040***,-0.00030***,-0.00057***,-0.00057***,-0.00047***
,(0.00009),(0.00011),(0.00008),(0.00015),(0.00014),(0.00012)
P,0.01849**,0.01849*,0.01331*,0.11039**,0.11039**,0.09139*
,(0.00774),(0.01063),(0.00707),(0.04679),(0.04259),(0.05165)
P^2,-0.00458***,-0.00458*,-0.00337**,-0.07314**,-0.07314**,-0.05714**
,(0.00149),(0.00229),(0.00157),(0.02919),(0.02770),(0.02580)
T x P,,,,-0.01131**,-0.01131***,-0.01037**
,,,,(0.00482),(0.00378),(0.00496)
T^2 x P,,,,0.00033**,0.00033***,0.00031**
,,,,(0.00014),(0.00011),(0.00013)
T x P^2,,,,0.00665**,0.00665***,0.00530**
,,,,(0.00260),(0.00222),(0.00225)
T^2 x P^2,,,,-0.00016***,-0.00016***,-0.00013**
,,,,(0.00006),(0.00005),(0.00005)
Observations,6456,6456,6456,6456,6456,6456
