year,estimator,L,cap,delta_bhm,delta_popgrowth
2021,AFE,0,no cap,-3.580295461824701e-5,-2.643023454470539e-4
2022,AFE,0,no cap,-1.1628852913803112e-4,-7.964497598081932e-4
2023,AFE,0,no cap,-2.501962541585634e-4,-0.0015997687724652598
2024,AFE,0,no cap,-4.461130653229395e-4,-0.0026773603281382563
2025,AFE,0,no cap,-7.124600653541924e-4,-0.004032090573857561
2026,AFE,0,no cap,-0.001120456238030032,-0.005702225722472809
2027,AFE,0,no cap,-0.0015758268081766946,-0.0076603031581771175
2028,AFE,0,no cap,-0.002130497069404602,-0.00990836707126952
2029,AFE,0,no cap,-0.0027924741713031276,-0.01244818173192308
2030,AFE,0,no cap,-0.003569547013051233,-0.015281223513137765
2031,AFE,0,no cap,-0.004605257833709908,-0.01846949910828055
2032,AFE,0,no cap,-0.0056578229476743624,-0.021958219620112907
2033,AFE,0,no cap,-0.006848694710859582,-0.02574784721751766
2034,AFE,0,no cap,-0.008184669163115,-0.029838517865304004
2035,AFE,0,no cap,-0.009672289138148216,-0.03423003554157156
2036,AFE,0,no cap,-0.011526046639014687,-0.039008461280622075
2037,AFE,0,no cap,-0.013349151181536678,-0.04409095616846603
2038,AFE,0,no cap,-0.015339683288931094,-0.049476143908447456
2039,AFE,0,no cap,-0.01750278505186753,-0.05516228862174022
2040,AFE,0,no cap,-0.019843311009874465,-0.061147292225812944
2041,AFE,0,no cap,-0.02254746710135558,-0.06752355193034931
2042,AFE,0,no cap,-0.025236211618313686,-0.07419668529749346
2043,AFE,0,no cap,-0.028107882081142677,-0.08116332149487993
2044,AFE,0,no cap,-0.031165583294699206,-0.08841971653159619
2045,AFE,0,no cap,-0.03441211195140448,-0.09596175462774759
2046,AFE,0,no cap,-0.0378334264237129,-0.10388020006823595
2047,AFE,0,no cap,-0.04140155788903199,-0.11207702805872988
2048,AFE,0,no cap,-0.045154608499535454,-0.12054684260549531
2049,AFE,0,no cap,-0.049093608515827,-0.12928388465087548
2050,AFE,0,no cap,-0.05321928278830712,-0.1382820379598232
2051,AFE,0,no cap,-0.05707165539324677,-0.14761862294765338
2052,AFE,0,no cap,-0.06143327209329441,-0.1572040015772609
2053,AFE,0,no cap,-0.06596603367172671,-0.16703087078562817
2054,AFE,0,no cap,-0.0706688368358449,-0.17709160019343073
2055,AFE,0,no cap,-0.07554029897306913,-0.18737824260186053
2056,AFE,0,no cap,-0.07951262904260692,-0.19794703224838417
2057,AFE,0,no cap,-0.08451044321449319,-0.20872509552958962
2058,AFE,0,no cap,-0.08965221421707925,-0.21970348604900203
2059,AFE,0,no cap,-0.09493487473083151,-0.23087299046429843
2060,AFE,0,no cap,-0.10035512756853582,-0.2422241431977855
2061,AFE,0,no cap,-0.10407693753617786,-0.25379351647786397
2062,AFE,0,no cap,-0.10948573428943797,-0.265524676929178
2063,AFE,0,no cap,-0.11500028169055898,-0.27740741529862545
2064,AFE,0,no cap,-0.12061598133652796,-0.2894313364583938
2065,AFE,0,no cap,-0.12632807844007377,-0.3015858774868434
2066,AFE,0,no cap,-0.1296555104488747,-0.3138952533497331
2067,AFE,0,no cap,-0.1352660357248031,-0.3263132827811679
2068,AFE,0,no cap,-0.1409407995101376,-0.33882895476716623
2069,AFE,0,no cap,-0.14667428525972903,-0.3514311686346753
2070,AFE,0,no cap,-0.15246089867630397,-0.36410875430865797
2071,AFE,0,no cap,-0.15512380069780873,-0.37687116536216947
2072,AFE,0,no cap,-0.16073587859089733,-0.3896861228736326
2073,AFE,0,no cap,-0.1663715452009018,-0.40254234030071
2074,AFE,0,no cap,-0.1720249619732972,-0.4154285455881148
2075,AFE,0,no cap,-0.17769028359158623,-0.4283335021199711
2076,AFE,0,no cap,-0.17940467170816365,-0.44124575535406385
2077,AFE,0,no cap,-0.18483698646397106,-0.4541545348727528
2078,AFE,0,no cap,-0.1902555684018291,-0.46704883294266175
2079,AFE,0,no cap,-0.19565468965734079,-0.4799177596608569
2080,AFE,0,no cap,-0.20102866711078082,-0.49275056298099773
2081,AFE,0,no cap,-0.20156082735723768,-0.5055200139315197
2082,AFE,0,no cap,-0.20662047111626425,-0.5182329405893855
2083,AFE,0,no cap,-0.21163141757053117,-0.5308791328511491
2084,AFE,0,no cap,-0.21658826653427543,-0.5434485926405899
2085,AFE,0,no cap,-0.2214856906103827,-0.555931551478777
2086,AFE,0,no cap,-0.22083422567473177,-0.5682908769672439
2087,AFE,0,no cap,-0.22536821325499712,-0.5805460805523722
2088,AFE,0,no cap,-0.22982253683127307,-0.5926881937669453
2089,AFE,0,no cap,-0.2341922189434974,-0.6047085381310326
2090,AFE,0,no cap,-0.23847235914436948,-0.6165987389909933
2091,AFE,0,no cap,-0.2365278254792733,-0.6283141265445974
2092,AFE,0,no cap,-0.24040719599090932,-0.639885348371976
2093,AFE,0,no cap,-0.24417990812795465,-0.651305018045724
2094,AFE,0,no cap,-0.24784139577402708,-0.662566095243862
2095,AFE,0,no cap,-0.25138715412069246,-0.6736618949688928
2096,AFE,0,no cap,-0.2479648179752485,-0.6845434222530025
2097,AFE,0,no cap,-0.25102177649082624,-0.6952497282517813
2098,AFE,0,no cap,-0.25394685406953144,-0.7057752227133605
2099,AFE,0,no cap,-0.25673579668279933,-0.7161146926114706
2100,AFE,0,no cap,-0.25938437611420784,-0.7262633063284892
2021,AFE,0,30 C cap,-3.580295461824701e-5,-2.643023454470539e-4
2022,AFE,0,30 C cap,-1.1628852913803112e-4,-7.964497598081932e-4
2023,AFE,0,30 C cap,-2.501962541585634e-4,-0.0015997687724652598
2024,AFE,0,30 C cap,-4.4559514399344913e-4,-0.0026744907220155323
2025,AFE,0,30 C cap,-7.100098486093609e-4,-0.004018713386631845
2026,AFE,0,30 C cap,-0.0011143156591710834,-0.0056698893900585245
2027,AFE,0,30 C cap,-0.001564447942618452,-0.007601064689173098
2028,AFE,0,30 C cap,-0.002112135762876055,-0.009814326173207655
2029,AFE,0,30 C cap,-0.0027653046262358094,-0.012311495121194005
2030,AFE,0,30 C cap,-0.0035316665941763636,-0.015094119401311556
2031,AFE,0,30 C cap,-0.004552688171248653,-0.018221914766246683
2032,AFE,0,30 C cap,-0.005587437531975881,-0.02164161612432758
2033,AFE,0,30 C cap,-0.006750639992338159,-0.02535216576917987
2034,AFE,0,30 C cap,-0.008049176151107007,-0.029353131935560328
2035,AFE,0,30 C cap,-0.009489350452201673,-0.03364402423148238
2036,AFE,0,30 C cap,-0.011276263256781882,-0.038305288809316274
2037,AFE,0,30 C cap,-0.01302964564497111,-0.04325655428423725
2038,AFE,0,30 C cap,-0.014940780835984824,-0.04849524449036979
2039,AFE,0,30 C cap,-0.017015113241960367,-0.05401849253417146
2040,AFE,0,30 C cap,-0.01925785687148107,-0.05982339900419842
2041,AFE,0,30 C cap,-0.02183088273052347,-0.06599128906071405
2042,AFE,0,30 C cap,-0.024400417779866013,-0.07243427327853624
2043,AFE,0,30 C cap,-0.02714466615061717,-0.07914963482024528
2044,AFE,0,30 C cap,-0.03006722189409694,-0.08613432844499114
2045,AFE,0,30 C cap,-0.033171371795566174,-0.09338498075613755
2046,AFE,0,30 C cap,-0.03640665851496239,-0.10098197135032383
2047,AFE,0,30 C cap,-0.039814927300096836,-0.10883853706600621
2048,AFE,0,30 C cap,-0.043402196843613794,-0.11695019044065069
2049,AFE,0,30 C cap,-0.047169964971687905,-0.12531212031398098
2050,AFE,0,30 C cap,-0.05111941112834928,-0.1339191957552378
2051,AFE,0,30 C cap,-0.054750769343806405,-0.1428366482892609
2052,AFE,0,30 C cap,-0.05892210787337615,-0.15198852762109294
2053,AFE,0,30 C cap,-0.06326017135797812,-0.16136727548860896
2054,AFE,0,30 C cap,-0.06776414997020119,-0.17096611824845298
2055,AFE,0,30 C cap,-0.07243248956512338,-0.18077817737920354
2056,AFE,0,30 C cap,-0.07616467463853582,-0.1908467173008358
2057,AFE,0,30 C cap,-0.08094758423873238,-0.20111395496456863
2058,AFE,0,30 C cap,-0.08587078497418776,-0.21157230745952638
2059,AFE,0,30 C cap,-0.0909277498026172,-0.2222085279200806
2060,AFE,0,30 C cap,-0.09611499643837074,-0.23301302182030748
2061,AFE,0,30 C cap,-0.09958215660176506,-0.24400800086354357
2062,AFE,0,30 C cap,-0.10474886328383348,-0.25515308801793013
2063,AFE,0,30 C cap,-0.11001707838763863,-0.2664397950359747
2064,AFE,0,30 C cap,-0.11538298585520235,-0.2778589367183619
2065,AFE,0,30 C cap,-0.12084262772768295,-0.2894017590810165
2066,AFE,0,30 C cap,-0.1239242955526676,-0.30107786217002086
2067,AFE,0,30 C cap,-0.12928641551582531,-0.31285930613060586
2068,AFE,0,30 C cap,-0.13471281191176632,-0.3247369738688086
2069,AFE,0,30 C cap,-0.14019851638688285,-0.33670164420260507
2070,AFE,0,30 C cap,-0.14573757312230584,-0.34874164648548467
2071,AFE,0,30 C cap,-0.14819514354350438,-0.36085120729005715
2072,AFE,0,30 C cap,-0.1535619347843734,-0.3729936042952311
2073,AFE,0,30 C cap,-0.1589448082024435,-0.38515990783861087
2074,AFE,0,30 C cap,-0.16433884542041588,-0.39734171584419076
2075,AFE,0,30 C cap,-0.16973905148931356,-0.40953069552796484
2076,AFE,0,30 C cap,-0.1712618724834699,-0.42169798145080095
2077,AFE,0,30 C cap,-0.17643274502997208,-0.4338553875567688
2078,AFE,0,30 C cap,-0.1815875733111142,-0.44599508306373836
2079,AFE,0,30 C cap,-0.1867213586396238,-0.4581086776248837
2080,AFE,0,30 C cap,-0.19182919708368407,-0.47018837467282426
2081,AFE,0,30 C cap,-0.19219882060750393,-0.48218682123676104
2082,AFE,0,30 C cap,-0.1970001789508794,-0.4941328941235269
2083,AFE,0,30 C cap,-0.20175342868728852,-0.5060177368430556
2084,AFE,0,30 C cap,-0.20645389903149447,-0.5178345115255
2085,AFE,0,30 C cap,-0.21109693141852615,-0.5295764982010576
2086,AFE,0,30 C cap,-0.21031040901378795,-0.5411770271516095
2087,AFE,0,30 C cap,-0.2145924048647394,-0.5526818089617205
2088,AFE,0,30 C cap,-0.21879470862830086,-0.5640852795792846
2089,AFE,0,30 C cap,-0.2229132816161693,-0.5753818586837718
2090,AFE,0,30 C cap,-0.22694272392975978,-0.5865616151539625
2091,AFE,0,30 C cap,-0.22489014125360085,-0.5975545785618259
2092,AFE,0,30 C cap,-0.22852544746479186,-0.6084193893574474
2093,AFE,0,30 C cap,-0.23204725386741165,-0.6191112621856016
2094,AFE,0,30 C cap,-0.23544989452431253,-0.6296161312614361
2095,AFE,0,30 C cap,-0.23872988389628003,-0.6399303440429593
