ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,AFE,0,AFG,-0.07771951651300713
SSP585,Direct,AFE,0,AGO,-0.8676682410980392
SSP585,Direct,AFE,0,ALB,-0.528000229201526
SSP585,Direct,AFE,0,ARE,-0.9707733379016095
SSP585,Direct,AFE,0,ARG,-0.6092319246033959
SSP585,Direct,AFE,0,AUS,-0.6173225910522706
SSP585,Direct,AFE,0,AUT,0.5563216336989547
SSP585,Direct,AFE,0,AZE,-0.39448401857378246
SSP585,Direct,AFE,0,BEL,0.051635135153620615
SSP585,Direct,AFE,0,BEN,-0.9291039718050316
SSP585,Direct,AFE,0,BFA,-0.9606448776683547
SSP585,Direct,AFE,0,BGD,-0.909847919113709
SSP585,Direct,AFE,0,BGR,-0.35253376324634444
SSP585,Direct,AFE,0,BHS,-0.7364398236645167
SSP585,Direct,AFE,0,BIH,-0.19974600825360134
SSP585,Direct,AFE,0,BLR,1.098754563374491
SSP585,Direct,AFE,0,BLZ,-0.9250473618335008
SSP585,Direct,AFE,0,BOL,-0.6592310702403908
SSP585,Direct,AFE,0,BRA,-0.8501983657292744
SSP585,Direct,AFE,0,BRN,-0.9242027519385693
SSP585,Direct,AFE,0,BWA,-0.9127594161645842
SSP585,Direct,AFE,0,CAF,-0.8958851286604442
SSP585,Direct,AFE,0,CAN,1.6410269561553021
SSP585,Direct,AFE,0,CHE,0.9147996975030839
SSP585,Direct,AFE,0,CHL,-0.26560464669108796
SSP585,Direct,AFE,0,CHN,-0.3114317821239444
SSP585,Direct,AFE,0,CIV,-0.9062840758793427
SSP585,Direct,AFE,0,CMR,-0.8831170195241211
SSP585,Direct,AFE,0,COD,-0.8797650215498143
SSP585,Direct,AFE,0,COG,-0.8825536138955145
SSP585,Direct,AFE,0,COL,-0.8584912167015623
SSP585,Direct,AFE,0,CPV,-0.6128348391097421
SSP585,Direct,AFE,0,CRI,-0.9017587104607463
SSP585,Direct,AFE,0,CUB,-0.8974590227181956
SSP585,Direct,AFE,0,CYP,-0.7506834067922069
SSP585,Direct,AFE,0,CZE,0.45671900244242747
SSP585,Direct,AFE,0,DEU,0.30111605980179945
SSP585,Direct,AFE,0,DNK,0.4868294626791989
SSP585,Direct,AFE,0,DOM,-0.8939763406944132
SSP585,Direct,AFE,0,DZA,-0.7986147357859456
SSP585,Direct,AFE,0,ECU,-0.8307571752926832
SSP585,Direct,AFE,0,EGY,-0.900901612259129
SSP585,Direct,AFE,0,ESP,-0.5290281533951784
SSP585,Direct,AFE,0,EST,1.857941430537506
SSP585,Direct,AFE,0,ETH,-0.7761919287710108
SSP585,Direct,AFE,0,FIN,3.643380645222492
SSP585,Direct,AFE,0,FJI,-0.7853515697136122
SSP585,Direct,AFE,0,FRA,-0.17735812873180057
SSP585,Direct,AFE,0,GAB,-0.8583198302067896
SSP585,Direct,AFE,0,GBR,0.23999069629696512
