ssp,spec,estimator,L,n_country,delta_bhm,delta_unweighted,delta_cold,delta_hot,n_gainers,ratio_bhm_vs_L0,ratio_unw_vs_L0
SSP585,Direct,AFE,0,149,-0.3238573628143445,-0.33228812443095984,0.2355389954386167,-0.8925442160356087,27,1,1
SSP585,Direct,IFE,0,149,-0.3965287321732891,-0.45608942006129266,-0.08075133041150431,-0.8264230018490838,24,1,1
SSP585,Direct,AFE,1,149,-0.2797569740449557,-0.35880660873522974,0.041763103111169896,-0.754035391090344,28,0.8638277407493435,1.079805693777599
SSP585,Direct,IFE,1,149,-0.4717630162809957,-0.5290738227859169,-0.2958451850366228,-0.7591927453652203,13,1.1897322388099434,1.160022134946292
SSP585,Direct,AFE,2,149,-0.18230624912706905,-0.27090998118005927,0.0933791011956499,-0.630341875790759,36,0.5629214279484469,0.8152863772787244
SSP585,Direct,IFE,2,149,-0.4886051216412727,-0.5377450621188666,-0.26758441692702556,-0.8043035653748165,15,1.2322060975590157,1.1790342824584716
SSP585,Direct,AFE,3,149,-0.43694868705698187,-0.4967974516569193,-0.29490895492690217,-0.6959941017638696,11,1.3492010286870286,1.4950803689047873
SSP585,Direct,IFE,3,149,0.4449498207047844,0.31799122412138914,1.2586284481434318,-0.6101041702470263,53,-1.1221124337349015,-0.6972124546950796
SSP585,Direct,AFE,4,149,-0.40477870192021126,-0.45910225328718895,-0.3075798782545926,-0.6086043299860173,6,1.2498672205648014,1.3816390642109075
SSP585,Direct,IFE,4,149,0.51286997815099,0.422867709701397,1.5472551937145382,-0.686527941191569,50,-1.2933992836787878,-0.927159655763488
SSP585,Direct,AFE,5,149,-0.4506339996203612,-0.43666926600719586,-0.49349444805481807,-0.38060175305354194,0,1.3914582509544273,1.3141284141736564
SSP585,Direct,IFE,5,149,-0.47431358703784376,-0.5344027142797775,-0.31040171402323274,-0.7554170345329017,13,1.19616448583242,1.1717060093346618
SSP585,Interactive,AFE,0,149,-0.25938437611420784,-0.2863808052762413,0.3249158112451889,-0.8895268002440525,31,1,1
SSP585,Interactive,IFE,0,149,-0.36630079875769384,-0.4356812662310765,-0.05215285887609549,-0.8140959614879911,26,1,1
SSP585,Interactive,AFE,1,149,-0.2600744095258496,-0.35482277855596817,0.05179825624921465,-0.7560221995637485,30,1.0026602736139278,1.2389893876222189
SSP585,Interactive,IFE,1,149,-0.4886624798402913,-0.49526340673547,-0.2886807412327774,-0.6990916366981267,17,1.3340469949767682,1.1367562599599872
SSP585,Interactive,AFE,2,149,-0.22112687046902446,-0.2655162048564804,0.056867611152854824,-0.5836015699856912,31,0.8525065147781358,0.9271438586827249
SSP585,Interactive,IFE,2,149,-0.46551716018770606,-0.43355956569266474,-0.12413160682636906,-0.7388618184407432,15,1.2708603469239044,0.9951301543057707
SSP585,Interactive,AFE,3,149,-0.4960078148813908,-0.5429204645083353,-0.3970523684174595,-0.6868436526513328,4,1.9122501605994835,1.8957990706976233
SSP585,Interactive,IFE,3,149,0.3586624162173362,0.48172074948928606,1.634627772265701,-0.65581417965011,52,-0.9791472402837691,-1.1056723959156673
SSP585,Interactive,AFE,4,149,-0.47389382871345076,-0.4606101001354246,-0.40943098264908473,-0.5111068293886132,4,1.8269945006432988,1.608383284246731
SSP585,Interactive,IFE,4,149,0.3942582633433691,0.7606102085681389,2.2890432557171145,-0.747443731285517,47,-1.07632378821038,-1.7457950743393376
SSP585,Interactive,AFE,5,149,-0.40410112500644235,-0.30870899828040355,-0.4984097073774452,-0.12153763197132247,35,1.557923923792986,1.0779667931397308
SSP585,Interactive,IFE,5,149,-0.48628552824720983,-0.35452908990911486,0.07649917658122289,-0.779810312846248,14,1.327557924788707,0.8137349879098997
SSP370,Direct,AFE,0,147,-0.31194548794283494,-0.3037352362362855,0.18605257011621748,-0.7869042884488898,31,1,1
SSP370,Direct,IFE,0,147,-0.34045434886571124,-0.35804147297035954,-0.00926834381708812,-0.7021014517296679,28,1,1
SSP370,Direct,AFE,1,147,-0.245247711998424,-0.2708329562661933,0.07894612226980859,-0.6158852904976547,34,0.786187720219138,0.8916744715634625
