ISO_C3,SSP126,SSP245,SSP370,SSP585
AFG,-0.14604725658508977,-0.13137676246492314,-0.14176806174942524,-0.23503174219249756
AGO,-0.11169843409854384,-0.18813625821849556,-0.2022477577037324,-0.4127027944254168
ALA,NA,NA,NA,NA
ALB,-0.12625748910086965,-0.13122414377435176,-0.1421134624919116,-0.2206781893951849
ARE,-0.09330799931052036,-0.11382988308410324,-0.14967082621636318,-0.2169129535036608
ARG,-0.1317680690123284,-0.1409225809534781,-0.15609542490183514,-0.23715966810192368
ARM,-0.21820744795519065,-0.21573606045631355,-0.22483547503359969,NA
AUS,-0.08372876539943241,-0.10629750977732756,-0.09931110803990228,-0.1646541266441589
AUT,-0.05226420901855089,-0.07287144097081288,-0.0994440219232331,-0.13737938462539157
AZE,-0.08499405730144438,-0.09862633063445592,-0.12264601087769178,-0.17455121077134084
BDI,-0.32617353409323047,-0.47378869825662184,-0.5496360799217106,NA
BEL,-0.10812806765232984,-0.12938312102678862,-0.10230720713776796,-0.22062412549616028
BEN,-0.14008951661877256,-0.2273276275030519,-0.22383727997480865,-0.4710403102711459
BFA,-0.1511235553958693,-0.1844209934263562,-0.20521196921901952,-0.41401112754294533
BGD,-0.2781992707197093,-0.3346225390021531,-0.35090142656719725,-0.6551373233153437
BGR,-0.1528988799669091,-0.1556189105720015,-0.16331723023796785,-0.23793844772475536
BHS,-0.1565355838001874,-0.14037997495051335,0.07682476368439572,0.02187829940091723
BIH,-0.1845006006709944,-0.191578029958164,-0.20381367057610267,-0.2749109543987732
BLR,-0.12658176501409746,-0.13450938829761205,-0.14738691998627207,-0.20669193331994629
BLZ,-0.13104640531495426,-0.1142394382605686,-0.06093021659289766,-0.2213701026058107
BOL,-0.2196205832125201,-0.3254119568031034,-0.4042682381957978,-0.5629365432136195
BRA,-0.16333106092459182,-0.19068047696811596,-0.20690568876958715,-0.3424725987240458
BRN,NA,NA,NA,-0.9179924840479105
BTN,-0.27169299617239295,-0.340883682158334,-0.3649348059202752,NA
BWA,-0.15284449887727214,-0.1987865397607187,-0.2131338467349444,-0.2953261598082977
CAF,-0.23418138610546144,-0.36131599195953823,-0.517632926192555,-0.6073725110163777
