model,term,estimate,std.error,statistic,p.value,pval.symbol
1,L0.tmp,0.015475841945826367,0.004141247432249471,3.737000070391856,1.8795167419464543e-4,***
1,L0.tmp2,-5.656820621234607e-4,1.4905752142135476e-4,-3.795058825139019,1.490558234890731e-4,***
1,L0.pre,0.1103927342515784,0.046786689134422806,2.3594901946237123,0.018331774711174982,**
1,L0.pre2,-0.07313934341994223,0.029189866977568958,-2.50564154595656,0.0122491041368199,**
1,L0.tmp_pre,-0.011307580083872148,0.004824580622028868,-2.343743626594637,0.01912360713268957,**
1,L0.tmp2_pre,3.3106007404952117e-4,1.4434330693212152e-4,2.293560270205009,0.02185002354288612,**
1,L0.pre2_tmp,0.006653463623532733,0.002601006004057549,2.558034703938931,0.010550799597342866,**
1,L0.tmp2_pre2,-1.6073706287701513e-4,6.0997360508326065e-5,-2.6351478414393803,0.008431591671165544,***
2,L1.logD_gdp,0.04058130293681617,0.07801592168904131,0.5201669359052964,0.6029472283181712, 
2,L0.tmp,0.02069450714043822,0.004499446760059049,4.599344818154184,4.238217652771026e-6,***
2,L0.tmp2,-8.808132213772922e-4,2.038609863241034e-4,-4.320656135632312,1.555659356188723e-5,***
2,L0.pre,0.04607528070642897,0.04954536048370154,0.9299615596012447,0.3523909877891687, 
2,L0.pre2,-0.03478284920650464,0.03033066272514939,-1.146788302046022,0.2514691250583687, 
2,L0.tmp_pre,-0.01058134053965559,0.005011657118981938,-2.1113456664020682,0.03474261155315052,**
2,L0.tmp2_pre,4.322081511226261e-4,1.569453869225163e-4,2.753876106826935,0.005889405789170591,***
2,L0.pre2_tmp,0.004417279994110344,0.002600505605876644,1.6986235231057139,0.08939014136480485,*
2,L0.tmp2_pre2,-1.3758016795501122e-4,6.0084474392102155e-5,-2.2897790044260673,0.022034130854366934,**
3,L1.logD_gdp,-9.92187446201278e-4,2.470018433154341e-4,-4.017,6e-5,***
3,L0.tmp,0.017393040732445814,0.002950228394170771,5.895,0,***
3,L0.tmp2,-7.634263719345979e-4,1.751707918415417e-4,-4.358,1e-5,***
3,L0.pre,-0.002504100054705729,5.734722319804931e-4,-4.367,1e-5,***
3,L0.pre2,-0.002206187409868711,4.5238311310699956e-4,-4.877,0,***
3,L0.tmp_pre,-0.006889005015540678,0.0027152613863610214,-2.537,0.01118,**
3,L0.tmp2_pre,3.681163217844833e-4,1.2036248635720388e-4,3.058,0.00223,***
3,L0.pre2_tmp,0.0016137743616386447,7.864454203543993e-4,2.052,0.04017,**
3,L0.tmp2_pre2,-7.877108552735407e-5,3.2468218686734894e-5,-2.426,0.01527,**
4,L1.logD_gdp,-9.916728555667109e-4,2.4644087515369615e-4,-4.024,6e-5,***
4,L0.tmp,0.017377689741451284,0.0029353072181921565,5.92,0,***
4,L0.tmp2,-7.63037777880376e-4,1.7493286819231742e-4,-4.362,1e-5,***
4,L0.pre,-0.0025026671735366764,5.72613189164223e-4,-4.371,1e-5,***
4,L0.pre2,-0.002204795413969642,4.5143907430019776e-4,-4.884,0,***
4,L0.tmp_pre,-0.00688933849539386,0.0027147097673259827,-2.538,0.01115,**
4,L0.tmp2_pre,3.681307920428913e-4,1.2034152595491008e-4,3.059,0.00222,***
4,L0.pre2_tmp,0.0016136424092854749,7.86254680693345e-4,2.052,0.04017,**
4,L0.tmp2_pre2,-7.876882681618681e-5,3.246167757570107e-5,-2.427,0.01522,**
5,L1.logD_gdp,-9.99839968957789e-4,2.5105808239353944e-4,-3.983,7e-5,***
5,L0.tmp,0.01746066120937666,0.002951247891735503,5.916,0,***
5,L0.tmp2,-7.66600925914003e-4,1.7692327546901934e-4,-4.333,1e-5,***
5,L0.pre,-0.002507330867829808,5.736655655496336e-4,-4.371,1e-5,***
5,L0.pre2,-0.0022096599928889253,4.512297349214795e-4,-4.897,0,***
5,L0.tmp_pre,-0.006877359879568478,0.0027175588498762108,-2.531,0.01137,**
5,L0.tmp2_pre,3.676080363474434e-4,1.2043142805847453e-4,3.052,0.00227,***
5,L0.pre2_tmp,0.0016095267258304973,7.864878256007384e-4,2.046,0.04076,**
5,L0.tmp2_pre2,-7.854339341410365e-5,3.246842129214013e-5,-2.419,0.01556,**
6,L1.logD_gdp,-0.0015231125082567577,2.7633743026104325e-4,-5.512,0,***
6,L0.tmp,0.011300834726672688,0.002834478617143644,3.987,7e-5,***
6,L1.tmp,-0.009278770536772387,0.0034758868061932316,-2.669,0.00761,***
6,L0.tmp2,-5.780709927898409e-4,1.643053027737395e-4,-3.518,4.3e-4,***
6,L1.tmp2,2.720717441417868e-4,1.4055073589020156e-4,1.936,0.05287,*
6,L0.pre,-0.0016075985898901378,5.469411643900653e-4,-2.939,0.00329,***
6,L1.pre,0.001321045527684781,4.968956200972937e-4,2.659,0.00784,***
6,L0.pre2,-0.0014052811255566952,4.6578972034266153e-4,-3.017,0.00255,***
6,L1.pre2,0.0010575362209231305,4.4151734295813617e-4,2.395,0.01662,**
6,L0.tmp_pre,-0.004377126242134924,0.0026110177162288967,-1.676,0.09374,*
6,L1.tmp_pre,0.00507145594561319,0.002460034516715332,2.062,0.03921,**
6,L0.tmp2_pre,2.676199717393052e-4,1.1307286702242546e-4,2.367,0.01793,**
6,L1.tmp2_pre,-1.9924792301355174e-4,1.0700140420969072e-4,-1.862,0.0626,*
6,L0.pre2_tmp,7.020863210513094e-4,8.267329414093334e-4,0.849,0.39588, 
6,L1.pre2_tmp,-0.00197731743761653,7.581066623406524e-4,-2.608,0.00911,***
6,L0.tmp2_pre2,-4.386858343831588e-5,3.3425479861459134e-5,-1.312,0.18952, 
6,L1.tmp2_pre2,7.553702684957026e-5,3.15339092593877e-5,2.395,0.01662,**
7,L1.logD_gdp,-0.0015228616115373122,2.7524912853156113e-4,-5.533,0,***
7,L0.tmp,0.01129641094083234,0.002833214677593455,3.987,7e-5,***
7,L1.tmp,-0.00928095060719212,0.003427576497069,-2.708,0.00677,***
7,L0.tmp2,-5.780914722599796e-4,1.6423839965109226e-4,-3.52,4.3e-4,***
7,L1.tmp2,2.7198920456164317e-4,1.392789517151109e-4,1.953,0.05082,*
7,L0.pre,-0.001606933988478841,5.456933500496731e-4,-2.945,0.00323,***
7,L1.pre,0.0013212862871696792,4.890328547280372e-4,2.702,0.00689,***
7,L0.pre2,-0.0014043327545055356,4.649348653879708e-4,-3.02,0.00253,***
7,L1.pre2,0.001057879845005355,4.33630768337907e-4,2.44,0.01469,**
7,L0.tmp_pre,-0.004377578036569879,0.0026036431546812033,-1.681,0.09276,*
7,L1.tmp_pre,0.005070600105400226,0.0024474312649890246,2.072,0.03827,**
7,L0.tmp2_pre,2.6763030377624725e-4,1.1278393187500069e-4,2.373,0.01764,**
7,L1.tmp2_pre,-1.992255473510053e-4,1.0650690048258024e-4,-1.871,0.06135,*
7,L0.pre2_tmp,7.020698762145812e-4,8.246507459027388e-4,0.851,0.39477, 
7,L1.pre2_tmp,-0.001977138548159646,7.543303298460042e-4,-2.621,0.00877,***
7,L0.tmp2_pre2,-4.3868498044639195e-5,3.334548039466745e-5,-1.316,0.18817, 
7,L1.tmp2_pre2,7.553113418019056e-5,3.1397569171816704e-5,2.406,0.01613,**
8,L1.logD_gdp,-0.0014942211033056251,2.824206919260922e-4,-5.291,0,***
8,L0.tmp,0.009345795067831484,0.003012535193167382,3.102,0.00192,***
8,L1.tmp,-0.010678158946153702,0.0036825420893696944,-2.9,0.00373,***
8,L0.tmp2,-5.181612793034117e-4,1.641659805313838e-4,-3.156,0.0016,***
8,L1.tmp2,3.067180008228118e-4,1.499662375610048e-4,2.045,0.04085,**
8,L0.pre,-0.001262934320643012,5.557553462304913e-4,-2.272,0.02309,**
8,L1.pre,0.001581279253134622,5.347414711457215e-4,2.957,0.00311,***
8,L0.pre2,-0.00105344906383108,4.760021963890733e-4,-2.213,0.0269,**
8,L1.pre2,0.0012990369021317445,4.786093724660631e-4,2.714,0.00665,***
8,L0.tmp_pre,-0.003603932400777161,0.0026348900460614498,-1.368,0.17131, 
8,L1.tmp_pre,0.005712776859244385,0.0025542147770307613,2.237,0.02529,**
8,L0.tmp2_pre,2.3416581204256851e-4,1.1362450931622611e-4,2.061,0.0393,**
8,L1.tmp2_pre,-2.270501986048978e-4,1.1130264156907548e-4,-2.04,0.04135,**
8,L0.pre2_tmp,4.3820481710515647e-4,8.401095617347647e-4,0.522,0.60167, 
8,L1.pre2_tmp,-0.002182574405641272,7.70041380449759e-4,-2.834,0.0046,***
8,L0.tmp2_pre2,-3.3594838901862206e-5,3.3840672914727434e-5,-0.993,0.32071, 
8,L1.tmp2_pre2,8.364159345019332e-5,3.205481973828821e-5,2.609,0.00908,***
