ISO_C3,SSP126,SSP245,SSP370,SSP585
AFG,-0.14420401450740183,-0.12642719114640244,-0.12926372988557633,-0.21864837287608763
AGO,-0.06317201778585235,-0.05895725767550353,-0.08603567537819012,-0.17680812654381128
ALA,NA,NA,NA,NA
ALB,-0.11914013163430692,-0.12135124333323943,-0.12878761024677243,-0.2013409779510349
ARE,-0.09346710223294707,-0.11516175186562085,-0.15153532768851374,-0.2204598850887165
ARG,-0.12172276887437904,-0.12424342533176448,-0.12023275373945808,-0.18726137864292536
ARM,-0.21434270604699612,-0.20878681899343188,-0.21386061351569463,NA
AUS,-0.08656113319498893,-0.09959108070064215,-0.08470326452186028,-0.1500117970857604
AUT,-0.04292237956177391,-0.05302498649234821,-0.06005452889430729,-0.09915316451325008
AZE,-0.08199180063164035,-0.09413847911347728,-0.11335277659002974,-0.16339190232507128
BDI,-0.2061873397841069,-0.18256639261576849,-0.15720124063935004,NA
BEL,-0.0998013806159752,-0.11032926192479976,-0.06473415586256115,-0.1497114895085464
BEN,-0.15881845050828258,-0.1398947963593209,-0.1396491673392155,-0.25997397498094443
BFA,-0.15406453312893265,-0.13912258634600094,-0.1098847661110901,-0.2717973776692879
BGD,-0.19450588899162913,-0.17795951826214873,-0.17477188000570398,-0.2874211361682951
BGR,-0.14660172863799092,-0.1484385538487496,-0.15530813285244172,-0.22515723958856415
BHS,-0.0786951395240646,-0.09185046701799005,-0.08092003620007437,-0.1298397105800373
BIH,-0.17673525802454193,-0.17786397407645405,-0.1838029222590533,-0.24522951486676925
BLR,-0.12239404503012852,-0.12293361856080776,-0.12631096237266204,-0.17815566249972492
BLZ,-0.13282495704901143,-0.11806849396175234,-0.1202467562598234,-0.2310773906189958
BOL,-0.1479298107525645,-0.14143658020569272,-0.13052699679532995,-0.2288703645418384
BRA,-0.121218763348389,-0.12529946189578622,-0.13827277147862949,-0.2071132936564034
BRN,NA,NA,NA,-0.08125598539269752
BTN,-0.22025014689468547,-0.2230116529380921,-0.20589021025202847,NA
BWA,-0.1620189676117354,-0.17559544254528214,-0.19675682494427804,-0.2653333752574083
CAF,-0.18129530412746353,-0.15944376410229733,-0.13874855869010885,-0.27413698977615164
CAN,-0.06189081965606757,-0.07742062168327757,-0.06742155163789043,-0.11791047464023652
CHE,-0.04991695249826078,-0.0560970858903439,-0.07095774867719262,-0.10023494427410172
CHL,-0.11596566655795626,-0.1130628409606298,-0.10562042272403704,-0.17256167850875126
CHN,-0.2312439967526363,-0.22405030451908936,-0.2217545708443721,-0.2989087424912994
CIV,-0.21024243258836772,-0.19652148699204583,-0.1708034560682684,-0.3010254606137197
CMR,-0.17188863949649702,-0.16382843069485664,-0.15347450145634334,-0.261169160114355
COD,-0.3759283434478963,-0.3587365349578173,-0.3515943055581672,-0.44665327592132054
COG,-0.22483450434963817,-0.21298113095552176,-0.21211504195510625,-0.30526912141829854
COL,-0.11504254797989012,-0.11785597613392562,-0.12844797112420947,-0.20405935480775897
CPV,-0.1387602707018154,-0.12370834803440488,-0.11481020290516508,-0.1865933251893904
CRI,-0.10868692160090532,-0.10718445622844452,-0.11122716536336263,-0.19836366243733128
CUB,-0.12844787990800444,-0.13356086981835136,-0.1413500981167077,-0.22150176327685644
CYM,NA,NA,NA,NA
CYP,NA,NA,NA,-0.17051398920216287
CZE,-0.06775190949381482,-0.07330955054902677,-0.08560458636099744,-0.12612968449477335
DEU,-0.036446064943502,-0.04522440056131105,-0.05817763858294256,-0.09290879258811192
DJI,-0.13744676151612534,-0.14140929610936037,-0.13420672508304676,NA
DNK,-0.04030463586853683,-0.04939534766999276,-0.06165060590987603,-0.0906821012150465
DOM,-0.1105292283047654,-0.11056164832019956,-0.11022388952021224,-0.19730253455389157
DZA,-0.12086429958496636,-0.12566099023639288,-0.12938839189080498,-0.213153784459706
ECU,-0.135313253769896,-0.13471321503064604,-0.1210843514046004,-0.21409361610472233
EGY,-0.15864833530698497,-0.16083885404406606,-0.1686557882043885,-0.2606819755399795
ERI,-0.234870622649322,-0.2266486974337607,-0.22095434284055548,-0.3326063756098354
ESP,-0.08552415915462852,-0.09947556344769892,-0.08115747819667696,-0.15647081692597298
EST,-0.10758129104931335,-0.11248239208038424,-0.11670855485778152,-0.1540146826668537
ETH,-0.15995911188519718,-0.14491247432327103,-0.12864793317572965,-0.24639842301521653
FIN,-0.06536846471939906,-0.07044504461038892,-0.05834475718289966,-0.1060780025954886
FJI,-0.1766628163625018,-0.1724498380469981,-0.17309432598927343,-0.24289806213984133
FLK,NA,NA,NA,NA
FRA,-0.09379612029306784,-0.1032183212605331,-0.07083964262858822,-0.15087237539631515
FRO,NA,NA,NA,NA
GAB,-0.09051978966990816,-0.08321253233566195,-0.07605982213358375,-0.17468558488069583
GBR,-0.10079136647829644,-0.10408627166028415,-0.08117682176869723,-0.14644926960039495
GEO,-0.2499216502960433,-0.2407917444370976,-0.2420077867640369,-0.3135779476617615
GHA,-0.17804022716599743,-0.15713623889693662,-0.1479606917616051,-0.27376112094202554
GIN,-0.2690762554570716,-0.24413530465231492,-0.19050985358960115,-0.3639180636936664
GNB,-0.18345380880016804,-0.16760169656875068,-0.14297921155025906,-0.28989051784853415
GNQ,-0.05802374124339427,-0.07138824985634629,-0.09694851214007771,-0.17044430767814744
GRC,-0.10939443957048613,-0.12319747006686375,-0.0994397644230688,-0.19205053734479072
GRL,NA,NA,NA,NA
GTM,-0.14978757321365255,-0.13120459386520988,-0.1325768275869723,-0.23958605104591557
GUY,-0.14453823140638233,-0.13572389104681348,-0.13042736754710604,-0.2392458935527837
HND,-0.15025491109182243,-0.1376356378968696,-0.13469916078062116,-0.24515580344224672
HRV,-0.09150951458029012,-0.09972847523048324,-0.11364573240761155,-0.16342142760682687
HTI,-0.21176501831374303,-0.2004597601492054,-0.18420501214778817,-0.29878458193808366
HUN,-0.1067192534886554,-0.1175843129016204,-0.13277679814529653,-0.17374725385227774
IDN,-0.23636068016603015,-0.2338302498813689,-0.23855901860030515,-0.31067139722386594
IND,-0.249249624730418,-0.2460757836265096,-0.24459358321704072,-0.3334162123482164
IRL,-0.07327921969594364,-0.07970800784187992,-0.06182730358699673,-0.11938703485230227
IRN,-0.08862697586444879,-0.10569811637097236,-0.11631269656691834,-0.1905527374453001
IRQ,-0.20067921371589736,-0.211948885897848,-0.22107983615891255,-0.31961640086487786
ISL,-0.08492333028875398,-0.08148892827548493,-0.08072145973846512,-0.11405658389168094
ISR,-0.03297473941584572,-0.04716744554975849,-0.11887833564229489,-0.13438326504084386
ITA,-0.11025418269848752,-0.1247916731508133,-0.10012290500573008,-0.17673724290103376
JAM,NA,NA,NA,-0.26316795940697235
JOR,-0.18696362658099208,-0.1932551116489365,-0.1868118732685582,NA
JPN,-0.05873202235176766,-0.0718316231681354,-0.07873036463565453,-0.12847926214352634
KAZ,-0.1639345871702902,-0.16518057610891768,-0.1756298546081713,-0.22925398922865592
KEN,-0.2086445301144768,-0.1965299861990152,-0.16947137807294466,-0.2846374438146583
KGZ,-0.29946684531041456,-0.2863372651694881,-0.28114484668120854,-0.33999238956648725
KHM,-0.2486833914299472,-0.2406106441641288,-0.24155055294550565,-0.32953983158842537
KIR,NA,NA,NA,NA
KOR,-0.07667647327140859,-0.0874077433628373,-0.106583874122969,-0.14377455205510248
KWT,-0.01642913237525778,-0.04303013179532533,-0.07836394254227586,NA
LAO,-0.17607352092363515,-0.15684256014864062,-0.15393569522112205,-0.2614494940981622
LBN,-0.1046625090650194,-0.11148870493731589,-0.11934592797312936,-0.2047453840579659
LBR,-0.27394271103880685,-0.2500343178829997,-0.2293782474491055,-0.35065383910172643
LBY,-0.04652349250766807,-0.05852700286099621,-0.0801094726167152,-0.14913117718100588
LKA,-0.1273965394999108,-0.1252513546251196,-0.12648183670281088,-0.2104993836533442
LSO,-0.14385602634400174,-0.11978952358298987,-0.09576284786047606,NA
LTU,-0.11068610256067536,-0.11302415693362056,-0.11458579570449778,-0.16308131534118653
LVA,-0.13692816547125664,-0.1350351468317822,-0.136243109925271,-0.1883435208213292
MAR,-0.16408439845735778,-0.1587964117203725,-0.14135223194360325,-0.2546894125956948
MDA,-0.3085427490209077,-0.3031994791583408,-0.30685061222819865,-0.3744674227867316
MDG,-0.18248427783301835,-0.16199676410969233,-0.1564671020584567,-0.26224676924430856
MEX,-0.1184970559437496,-0.12549635004597326,-0.14246295953648358,-0.20344456659806687
MLI,-0.19484657842738096,-0.19101498370992764,-0.1826916577181883,-0.32548769896290664
MMR,-0.2159095107834932,-0.19836482731269167,-0.2017063773918296,-0.30750725178615135
MNE,-0.1091280085516747,-0.11391298259092553,-0.12207985766148231,NA
MNG,-0.2047726728490824,-0.17359063101634442,-0.1488596986317654,-0.24424942568722752
MOZ,-0.20098492359361597,-0.18596031079748343,-0.1767517073849424,-0.2947392535228912
MRT,-0.15978128498946045,-0.16423598616686996,-0.16563244471442462,-0.2754252862687979
MUS,NA,NA,NA,-0.1549640211566089
MWI,-0.19461276279713235,-0.17698213453200695,-0.16643062607974857,-0.2893204252943904
MYS,-0.1205021640425924,-0.12693515300581115,-0.13229543424890622,-0.2011615399393469
NAM,-0.15922176366391483,-0.1622852923860325,-0.1732969029410465,-0.2626994887098557
NCL,NA,NA,NA,-0.1909078316814805
NER,-0.19165369767012552,-0.17378493838693498,-0.15319021274106548,-0.304551263238215
NGA,-0.1788801668752502,-0.17949501615048402,-0.16868251987607252,-0.2753920537914918
NIC,-0.17244046628623977,-0.16139503424731383,-0.16092767806822417,-0.2666720097449492
NLD,-0.06774207406447463,-0.0759819162191212,-0.07334006018329642,-0.12025636561915476
NOR,-0.05922291526724299,-0.06131707758163285,-0.04520482106799639,-0.09253713005542064
NPL,-0.15747684302105003,-0.14050817013483807,-0.125701613838754,-0.23282583494823783
NZL,-0.06593395198431562,-0.07382457342615334,-0.0850313524861398,-0.11546662295116994
OMN,-0.08958424213891503,-0.09744516694565396,-0.12244021098711966,-0.20020142641862537
PAK,-0.14550377842542417,-0.1349230520150302,-0.1293779501567769,-0.2501541467046574
PAN,-0.12923804935296646,-0.13299882832547016,-0.13706892488306588,-0.21298214527327688
PER,-0.15346324509583076,-0.14979663922369568,-0.15109436930386588,-0.2330827397101357
PHL,-0.14914953226074612,-0.14203265603270698,-0.12888707919093845,-0.2329591239999156
PNG,-0.19815868848536755,-0.1932089562744458,-0.1933940917512077,-0.26761245839679715
POL,-0.11517999627235964,-0.12095222875124267,-0.1313494393372023,-0.1707992529066964
PRI,NA,NA,NA,-0.19645447717485043
PRK,NA,NA,NA,NA
PRT,-0.11511919208895471,-0.12467173067724124,-0.10597766482585824,-0.18365749649009344
PRY,-0.16287902233352192,-0.1568685871791193,-0.15508526189109173,-0.2551024259624418
PYF,NA,NA,NA,-0.13259047075536412
QAT,NA,NA,NA,-0.20454430534464496
ROU,-0.1554813776603411,-0.15641854473537187,-0.16154572715451676,-0.2232924950789037
RUS,-0.12140341578458393,-0.11952347852589595,-0.1228666510987192,-0.17674758137617863
RWA,-0.15820062797745182,-0.1367687563010236,-0.1093296751145616,NA
SAU,-0.05411694499259067,-0.08369556431360525,-0.1237043629590746,-0.184699982650644
SDN,-0.18202438709342117,-0.17907994957921014,-0.1733713338823505,-0.2930181718520757
SEN,-0.1804373414204593,-0.15188884610556808,-0.1266075389769883,-0.27255906112193473
SLB,-0.20653406234239743,-0.1866800119863432,-0.19147191916028403,-0.2773123240757832
SLE,-0.1808313920953767,-0.1613833480848057,-0.1545104876889838,-0.26935908769478245
SLV,NA,NA,NA,-0.23130464257110772
SOM,-0.2561903577676756,-0.2158343403925508,-0.18609135727470016,-0.34458168954785007
SRB,-0.15982233901185672,-0.16303191799202588,-0.1670244805733736,-0.2298596094326557
SSD,NA,NA,NA,NA
SUR,-0.16455568800838705,-0.1712781857220547,-0.1858852070251905,-0.260649358934951
SVK,-0.0678813824741723,-0.07662838425704743,-0.08933160254954997,-0.1287254417381991
SWE,-0.09380285714320837,-0.10187737512081052,-0.0641930648310769,-0.13342808211216617
SWZ,-0.13285395676656042,-0.11471722092626402,-0.08600871132753762,NA
SYR,-0.17015221298873917,-0.16383453527689062,-0.15808365438069438,-0.26445769206192704
TCD,-0.14296912057063227,-0.12576354301796566,-0.12335901612577573,-0.2524631730511153
TGO,-0.13134063985265154,-0.1124761916574446,-0.11157567833211224,-0.2362344574840306
THA,-0.16252903627613813,-0.16324337512564746,-0.16470118928738708,-0.2509886704339368
TJK,-0.31182070762091185,-0.2930122366548713,-0.291598773411215,-0.3729143481529851
TKM,-0.2202714517614729,-0.23914900633614067,-0.25042036768251075,-0.3120387246377607
TTO,NA,NA,NA,-0.1107264011314496
TUN,-0.14103039577448895,-0.14671774798722192,-0.1592404930650716,-0.23238974777616792
TUR,-0.12541126012103432,-0.12281957884782956,-0.11985900423779638,-0.20277786385216356
TWN,-0.10194306801503106,-0.11708333905766766,-0.12892114803659405,-0.17406158069072153
TZA,-0.16783156751199535,-0.14697878132615905,-0.13424795889894825,-0.25365565272651636
UGA,-0.17674655603167033,-0.15016032053781236,-0.1296404389592748,-0.2611124045240265
UKR,-0.21805220913838608,-0.2133192476356066,-0.2173818658349369,-0.28190997698765197
URY,-0.13346196064719296,-0.1285376322214682,-0.1281572666865669,-0.19514937607860805
USA,-0.06758420849720415,-0.08467021588266344,-0.10078589522143078,-0.1376349509475916
UZB,-0.30746960796705036,-0.3033061971017674,-0.3072507743946734,-0.3728412792493425
VCT,NA,NA,NA,-0.2431104503221748
VEN,-0.15445398774651364,-0.16368196538588853,-0.17452880194410036,-0.2496403228784071
VIR,NA,NA,NA,NA
VNM,-0.24151836911934943,-0.23635759002850287,-0.24315407828838653,-0.31826795310923184
VUT,-0.15636956613639583,-0.14301461299519702,NA,-0.2225914139558508
WSM,NA,NA,NA,-0.2415484584396742
YEM,-0.2800828675241275,-0.28652607745886305,-0.286246312955699,-0.35861444318303193
ZAF,-0.14333638270793436,-0.1402012203199824,-0.14793776310487097,-0.22132154913526825
ZMB,-0.17772680583671907,-0.15693055221224217,-0.1453177355227041,-0.2757668604531831
ZWE,-0.23837337370378509,-0.2175103611464367,-0.1946824415563723,-0.33363535384817666
