lag,T,T2,P,P2,T*P,T2*P,T*P2,T2*P2
L^0,-1.3281979005673224e-6,-2.0562986392812855e-5,-2.06478499300028e-6,-6.574209163822734e-6,-7.450441326077278e-6,-2.844102261507765e-6,5.728581353519331e-6,-3.4902524675634462e-6
L^1,-3.494724809725511e-5,-5.390157148590395e-5,-1.0806798114318671e-5,-2.769152847612698e-6,2.1597661698938826e-5,8.783359178317482e-6,-1.1748894563035608e-5,-1.5899740357661023e-5
L^2,9.250138600096789e-6,1.4267132153584314e-5,2.8604363955216234e-6,7.329632242855214e-7,-5.71665510249082e-6,-2.3248551516206626e-6,3.109798597118696e-6,4.208480210076076e-6
L^3,-2.44840634898864e-6,-3.776347410224782e-6,-7.57124939900905e-7,-1.9400701865127483e-7,1.5131335056720527e-6,6.153626837166978e-7,-8.231282749840865e-7,-1.1139367863996647e-6
L^4,6.480652786873005e-7,9.995561553082478e-7,2.0040234962659068e-7,5.135144852955701e-8,-4.005092077340471e-7,-1.628794947706931e-7,2.1787268079226582e-7,2.948463821033345e-7
L^5,-1.7153549924976002e-7,-2.6457113159383163e-7,-5.3044219810160646e-8,-1.3592143647254667e-8,1.060102263801961e-7,4.311234743147029e-8,-5.766841752159014e-8,-7.804247969977239e-8
L^6,4.5403493244485434e-8,7.002896565751657e-8,1.404020092833932e-8,3.5976856392136348e-9,-2.8059699702691947e-8,-1.1411347411584886e-8,1.526417340325167e-8,2.065695564666895e-8
L^7,-1.2017787617246923e-8,-1.853586973574395e-8,-3.7162812991431822e-9,-9.522664190808719e-10,7.427082973877468e-9,3.020453710039239e-9,-4.040252874934639e-9,-5.4676609229997685e-9
L^8,3.1809715264759968e-9,4.906233636817832e-9,9.83657339724046e-10,2.520540769391161e-10,-1.9658642852677634e-9,-7.994797008132381e-10,1.069408926522038e-9,1.4472275818493839e-9
L^9,-8.419669388839668e-10,-1.2986241726022043e-9,-2.6036289616075907e-10,-6.671584383176114e-11,5.203418894987414e-10,2.1161317251378142e-10,-2.8306036466678314e-10,-3.8306466021973246e-10
L^10,2.228590605961801e-10,3.4373103005354826e-10,6.891509366080226e-11,1.7658924117538022e-11,-1.3772857261621283e-10,-5.601159696212006e-11,7.492285510078085e-11,1.0139285330766345e-10
L^11,-5.89882554719366e-11,-9.098168932503418e-11,-1.8241040502732523e-11,-4.674116118134306e-12,3.645518475011282e-11,1.48256318686525e-11,-1.9831226540885374e-11,-2.6837533631978165e-11
L^12,1.5613519478696484e-11,2.4081817085723966e-11,4.828195696287396e-12,1.2371853087077447e-12,-9.649272260071448e-12,-3.9241759247366605e-12,5.249099831912543e-12,7.103589532706456e-12
L^13,-4.132720802831892e-12,-6.37418274438101e-12,-1.2779684184219677e-12,-3.274688624323766e-13,2.5540524835413485e-12,1.0386846796623214e-12,-1.3893769499621764e-12,-1.880239255258915e-12
L^14,1.0938841340328845e-12,1.6871735847063956e-12,3.382636871450312e-13,8.667727874554539e-14,-6.760286074294508e-13,-2.7492800640369316e-13,3.677522567489173e-13,4.976779191336043e-13
L^15,-2.895386733768542e-13,-4.4657563472593143e-13,-8.95345459179969e-14,-2.2942488622973808e-14,1.789370739278325e-13,7.277031247797178e-14,-9.73398344830777e-14,-1.3172967775265786e-13
L^16,7.663758964284277e-14,1.1820348501104205e-13,2.3698774705618437e-14,6.072615474702289e-15,-4.7362605774336244e-14,-1.926147302128955e-14,2.5764745703959188e-14,3.486734559376876e-14
L^17,-2.028509724716545e-14,-3.1287116408243944e-14,-6.2727957883658546e-15,-1.6073521626013444e-15,1.2536342393974237e-14,5.098292563497943e-15,-6.819634784822726e-15,-9.228989317335335e-15
L^18,5.3692342392893656e-15,8.281343422755803e-15,1.6603376120205873e-15,4.2544781328277326e-16,-3.318227070692844e-15,-1.3494599833714188e-15,1.80507966710564e-15,2.4428083746848653e-15
L^19,-1.4211751595317415e-15,-2.1919772979637803e-15,-4.394724583579004e-16,-1.1261119127382326e-16,8.782969184035064e-16,3.5718669025760484e-16,-4.777840320495852e-16,-6.465835586375389e-16
L^20,3.761688807112631e-16,5.801914290362447e-16,1.163233551157677e-16,2.9806899939760697e-17,-2.3247519245752725e-16,-9.454324935107544e-17,1.2646399238854173e-16,1.7114330482607626e-16
