lag,T,T2,P,P2,T*P,T2*P,T*P2,T2*P2
L^0,0.00934579506783148,-5.181612793034117e-4,-0.00126293432064301,-0.00105344906383108,-0.00360393240077716,2.3416581204256851e-4,4.3820481710515647e-4,-3.3594838901862206e-5
L^1,-0.010692123630371224,3.074922483412628e-4,0.0015831663562486137,0.0013006109879541738,0.005718161931092508,-2.2740009410292448e-4,-0.002183229180526559,8.369179156744264e-5
L^2,1.597639676765338e-5,-4.594614065744074e-7,-2.3656005795501415e-6,-1.9434003853922977e-6,-8.544198229557241e-6,3.397860195022736e-7,3.262227114895419e-6,-1.250540411335281e-7
L^3,-2.387226920501137e-8,6.865369298579629e-10,3.5347303079558264e-9,2.9038698680254465e-9,1.2766921305430946e-8,-5.077154409485121e-10,-4.874488598852543e-9,1.8685838731536674e-10
L^4,3.5670448429920866e-11,-1.0258379687924185e-12,-5.281668620641569e-12,-4.339023638056928e-12,-1.9076603238817054e-11,7.586391263393852e-13,7.283563732228112e-12,-2.7920774565627613e-13
L^5,-5.329953680836258e-14,1.5328287415418037e-15,7.891980713629716e-15,6.483460687726588e-15,2.8504663138828776e-14,-1.1335745923696478e-15,-1.088325463596669e-14,4.171981057659959e-16
L^6,7.964129269547003e-17,-2.2903850533651585e-18,-1.1792364129186467e-17,-9.687723782053434e-18,-4.259226920465577e-17,1.6938110780897932e-18,1.6261988749710147e-17,-6.23386213894681e-19
L^7,-1.1900170024011106e-19,3.422341681433989e-21,1.762039933969462e-20,1.4475601318139977e-20,6.364226748327073e-20,-2.530928257894613e-21,-2.4299006771535476e-20,9.314768363112235e-22
L^8,1.7781485182802336e-22,-5.1137351631211044e-24,-2.632877254204411e-23,-2.16297489726034e-23,-9.509561913572416e-23,3.781766413898659e-24,3.630808870739446e-23,-1.3918323460565846e-24
L^9,-2.6569470408259442e-25,7.641050997451563e-27,3.9341007556455873e-26,3.2319627374067056e-26,1.420938809445128e-25,-5.650795183419791e-27,-5.425231236728129e-26,2.0797052637411198e-27
L^10,3.9700663387675446e-28,-1.141741965182658e-29,-5.878416371616221e-29,-4.8292669273304985e-29,-2.123196755578873e-28,8.443537413523604e-30,8.106495004232016e-29,-3.1075394937377606e-30
L^11,-5.932156904909743e-31,1.706014938905558e-32,8.78365379648621e-32,7.215992556313119e-32,3.172525398655976e-31,-1.261651178983752e-32,-1.211289590916506e-31,4.6433510908986245e-33
L^12,8.863954035436287e-34,-2.5491635242673323e-35,-1.312472086684022e-34,-1.078228835893933e-34,-4.740454401444835e-34,1.885185816647938e-35,1.8099344689618745e-34,-6.938193190077897e-36
L^13,-1.3244707178479912e-36,3.809013933737176e-38,1.961123489422829e-37,1.6111122807853667e-37,7.0832870058968834e-37,-2.816884430887788e-38,-2.7044422791230834e-37,1.0367194683425734e-38
L^14,1.979052097318812e-39,-5.691509002575242e-41,-2.9303521040839466e-40,-2.4073579697443442e-40,-1.05839969249816e-39,4.2090481622055743e-41,4.041034726137659e-40,-1.5490881078052554e-41
L^15,-2.957141408355016e-42,8.504372861301848e-44,4.378593954038259e-43,3.597125081602971e-43,1.5814831562629298e-42,-6.289248588797305e-44,-6.038199366985736e-43,2.314680141562384e-44
L^16,4.418623097822967e-45,-1.270741339973682e-46,-6.542587488930365e-46,-5.37490020816111e-46,-2.363085506610449e-45,9.397527965316022e-47,9.022404920116724e-46,-3.458643914924954e-47
L^17,-6.602399880320731e-48,1.898768527031537e-49,9.776072296183075e-49,8.0312893191961e-49,3.530972232892985e-48,-1.4041984604679924e-49,-1.3481467834206865e-48,5.167978726500434e-50
L^18,9.865445233637733e-51,-2.8371800033830496e-52,-1.460761353239818e-51,-1.2000521987495837e-51,-5.276053225574864e-51,2.0981829728605364e-52,2.0144293741407806e-51,-7.72210287457145e-53
L^19,-1.4741156461607343e-53,4.239374234931663e-55,2.182700440904211e-54,1.793143320439938e-54,7.883590071817648e-54,-3.135149276644736e-55,-3.0100028819598866e-54,1.153852907708165e-55
L^20,2.2026547072063696e-56,-6.3345624466450076e-58,-3.261437060993553e-57,-2.679352590652867e-57,-1.1779826655120597e-56,4.684606211175914e-58,4.4976098272351975e-57,-1.7241113648080922e-58
