iso,year,logD_gdp,tmx,tmx2,tmp,tmp2,tmn,tmn2,pre,pre2,wet,rad
ARE,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1976,0.001559975,32.77960663,1074.502611,26.34587355,694.1050531,19.95647195,398.2607727,0.26750403,0.071558406,2.31095724,241.6995496
ARE,1977,0.052122214,34.00522821,1156.355546,27.18462207,739.0036771,20.41662975,416.8387703,0.111117032,0.012346995,1.383157859,243.7382484
ARE,1978,-0.143725237,33.53496105,1124.593613,26.97266369,727.5245865,20.45598224,418.4472094,0.070025301,0.004903543,0.9814655,243.3079808
ARE,1979,0.080964991,33.70641929,1136.122701,27.09522837,734.1514004,20.53466261,421.6723685,0.10287236,0.010582722,1.314074349,244.6041206
ARE,1980,0.124088037,33.68582513,1134.734815,27.12251277,735.630699,20.60935285,424.7454249,0.076413787,0.005839067,1.077903253,243.8065528
ARE,1981,-0.027363516,33.93870777,1151.835885,27.05164849,731.791686,20.20999096,408.4437346,0.087240003,0.007610818,1.004397426,242.8616851
ARE,1982,-0.129888079,32.5991065,1062.701745,26.17695601,685.2330259,19.80560418,392.2619569,0.22566012,0.05092249,2.191717317,236.6738699
ARE,1983,-0.101827285,32.87188141,1080.560587,26.20582229,686.7451219,19.59449884,383.9443848,0.109785347,0.012052822,1.451789471,237.303952
ARE,1984,-0.012571553,33.0911752,1095.025876,26.46366704,700.3256732,19.89035631,395.6262741,0.043526444,0.001894551,0.880459336,241.637103
ARE,1985,-0.090897716,33.05850134,1092.864511,26.68030182,711.8385052,20.34974774,414.1122331,0.015852297,2.51E-04,0.460087908,241.6033415
ARE,1986,-0.21908361,32.75685668,1073.01166,26.56311494,705.5990753,20.42407592,417.1428772,0.068617829,0.004708407,1.285828589,239.3126612
ARE,1987,-0.025251794,33.40282768,1115.748897,26.85671805,721.2833044,20.36032084,414.5426647,0.136566397,0.018650381,1.414315606,241.6171412
ARE,1988,-0.085740331,33.29857388,1108.795022,26.9944616,728.7009571,20.74950631,430.5420121,0.108234547,0.011714717,1.253060187,239.4867609
ARE,1989,0.057497668,32.49800035,1056.120027,26.25882242,689.5257549,20.07044929,402.8229347,0.096862614,0.009382366,1.503591362,237.152789
ARE,1990,0.110453107,33.27847967,1107.457209,26.90186521,723.7103518,20.58115493,423.5839383,0.068964314,0.004756077,1.109389508,238.4150017
ARE,1991,-0.049196557,32.5413698,1058.940748,26.46405593,700.3462563,20.44446245,417.9760449,0.083371469,0.006950802,1.302456153,241.6206655
ARE,1992,-0.025127488,31.95689986,1021.243449,25.84654886,668.044088,19.79253765,391.7445466,0.120746086,0.014579617,1.642803768,233.8057673
ARE,1993,-0.044390581,33.06946797,1093.589712,26.81167479,718.865905,20.60752264,424.6699894,0.127784434,0.016328862,1.2609352,237.1428955
ARE,1994,0.012395435,33.30576806,1109.274186,27.04046205,731.1865879,20.82308823,433.6010034,0.038532258,0.001484735,0.863369446,238.1451831
ARE,1995,0.013465717,32.84144962,1078.560813,26.76387864,716.3051999,20.73521746,429.9492431,0.113069726,0.012784763,1.541069117,236.2197633
ARE,1996,0.006281875,33.01408072,1089.929526,26.92081216,724.7301274,20.87004348,435.5587149,0.123363936,0.015218661,1.569477933,235.6734408
ARE,1997,0.027953912,32.51318863,1057.107435,26.62734636,709.0155742,20.78846455,432.1602583,0.154598687,0.023900754,1.647945353,233.9770901
ARE,1998,-0.048823459,34.0928064,1162.319448,27.76581741,770.9406164,21.47184743,461.0402321,0.072660082,0.005279488,1.191903393,238.2279943
ARE,1999,-0.024289136,34.14329485,1165.764583,27.78722494,772.1298699,21.48032245,461.4042526,0.064915441,0.004214014,1.115491854,237.4678859
ARE,2000,0.047927925,33.74469552,1138.704476,27.37561547,749.4243224,21.05411756,443.2758662,0.051440286,0.002646103,0.784200058,237.1858831
ARE,2001,-0.03852226,33.96633382,1153.711833,27.55463747,759.2580461,21.18615755,448.8532717,0.010564034,1.12E-04,0.299490241,239.1839018
ARE,2002,-0.027891527,33.76917937,1140.357475,27.49143891,755.7792133,21.26334775,452.1299575,0.035059021,0.001229135,0.955546339,238.8349603
ARE,2003,0.019474419,33.61577485,1130.020319,27.49229175,755.8261057,21.42466644,459.0163321,0.036979794,0.001367505,1.024272856,237.03682
ARE,2004,-3.78E-04,33.84057661,1145.184625,27.57044718,760.1295577,21.35829374,456.1767115,0.045216195,0.002044504,0.942044159,238.3825585
ARE,2005,-0.072792049,33.4272119,1117.378495,27.30491274,745.5582597,21.22693753,450.5828769,0.059343425,0.003521642,1.019011057,239.8882959
ARE,2006,-0.050416237,33.40512451,1115.902344,27.41188683,751.4115396,21.46494348,460.7437986,0.085727479,0.007349201,1.228147886,238.6090459
ARE,2007,-0.120423442,33.73824382,1138.269096,27.60098501,761.8143735,21.50806,462.596645,0.049625899,0.00246273,0.824680219,239.0380217
ARE,2008,-0.107682935,33.36933647,1113.512616,27.195146,739.575966,21.0721732,444.0364834,0.02261506,5.11E-04,0.496388867,237.9072452
ARE,2009,-0.164299992,33.6907103,1135.063961,27.62983694,763.4078893,21.62377266,467.5875441,0.118403153,0.014019307,1.583453716,239.4098004
ARE,2010,-0.060969541,34.34664264,1179.691861,28.13018273,791.3071804,21.9601457,482.2479992,0.028466379,8.10E-04,0.785408103,240.3501255
ARE,2011,0.021643293,33.48638174,1121.337762,27.54318708,758.6271545,21.64915692,468.6859953,0.036429174,0.001327085,0.705107245,238.4244404
ARE,2012,0.022328124,33.53999654,1124.931368,27.55972832,759.5386251,21.63337628,468.0029693,0.03898531,0.001519854,0.750257039,238.0028848
ARE,2013,0.043156794,33.28505025,1107.89457,27.48540878,755.4476958,21.73599341,472.4534095,0.074466028,0.005545189,1.129230095,237.3459044
ARE,2014,0.040183898,33.94925683,1152.552039,27.620335,762.8829055,21.34141747,455.4560996,0.159236165,0.025356156,1.34766179,238.0840574
ARE,2015,0.044524464,34.322167,1178.011148,28.04637337,786.5990592,21.82074025,476.1447051,0.057971899,0.003360741,0.900258712,240.151034
ARE,2016,0.019617702,34.39535439,1183.040404,27.95387747,781.4192656,21.56240526,464.9373206,0.08564539,0.007335133,1.081628349,241.1806382
