ISO_C3,start,end,avg,trend_annual,Pvalue
AFG,11.211564125387772,12.00149621085454,11.884209980822392,0.011975963542582046,8.44738982514538e-14
AGO,23.484605544757763,24.21035958360706,24.024529328230933,0.009642729119486698,5.2696043390121255e-20
ALB,15.132565936873165,16.02725189300204,15.79399105882614,0.011393870621876866,1.158489514182567e-13
ARE,29.860337468541587,30.682499115848962,30.541331552681406,0.009142783142102356,7.781847888125131e-13
ARG,17.017070744248237,17.667368412503947,17.563328498624593,0.007394839836367412,3.4664616148122225e-12
ARM,8.720369052209575,9.559521580187274,9.46772515373199,0.010874237024286585,3.7428386943527675e-11
AUS,17.89138564259112,18.581757148977495,18.445639895926906,0.008435741267902148,4.853672026639744e-18
AUT,9.538033831188805,10.345876502586059,10.146356681816089,0.010383171466030969,5.767434730707083e-12
AZE,13.656876230846017,14.535304383625208,14.41468870171648,0.01125849194212727,1.0531280458164986e-11
BDI,20.74980014679949,21.485012778454443,21.295172794573045,0.009493926789670802,7.478499587012157e-19
BEL,11.479252379203137,12.207928882307822,12.06299206477155,0.009675178376001828,5.483145637906656e-13
BEN,27.65418233419148,28.372073056085128,28.19337051735381,0.009108940255784022,2.1469746191874948e-15
BFA,29.307561484947456,30.105976504588856,29.977366205747877,0.00993541217577206,3.4280710455300093e-13
BGD,25.688653667158654,26.915470606238806,26.559257441117385,0.014924318651451064,7.182870602107294e-24
BGR,13.425836576110859,14.14398966087243,14.026728881929488,0.009701159190134504,2.5842981716388322e-08
BHS,26.899881018738178,27.416331650242167,27.345938650768336,0.006757824363936472,8.476087881639718e-14
BIH,12.292255160643329,12.981791770823706,12.809284254082867,0.009704129147405644,5.687213494320512e-8
BLR,7.591227942208768,8.424987535729086,8.349927656077158,0.010998473460093246,2.0734637532744823e-8
BLZ,25.91495008712161,26.467934554193235,26.40235331184558,0.007876637570460383,1.5576364370102973e-11
BOL,17.49231678528847,18.40145344397841,18.255974585591645,0.011763109368349144,5.055160688453006e-16
BRA,23.553959645779457,24.227134954113485,24.090636854997467,0.009499564837788644,1.5852184660331688e-17
BTN,9.981130106952763,10.767910582310169,10.572418359030072,0.010476969406313688,7.343574810873739e-19
BWA,23.028220456793964,23.758102324785515,23.650265359295314,0.010792714960147208,8.006348528167844e-11
CAF,25.596047315527095,26.341194289965497,26.204192711820514,0.01007806774296174,4.9405246030871366e-20
CAN,6.677777726776369,7.9620167351651725,7.711787309048522,0.014117358074174193,8.08322325454853e-15
CHE,7.611960493537359,8.463487140715891,8.237693370585925,0.010860384726551766,1.3099360771077711e-14
CHL,12.29372699540756,12.797595618086966,12.752033160053891,0.00705449588456098,1.15688365469786e-13
CHN,13.723073999499467,14.904571784797227,14.629389331314558,0.014590603240790057,1.5960230749927274e-22
CIV,26.60522166663798,27.28426093447072,27.173280579035442,0.008891357562565304,5.533731933771787e-18
CMR,25.227811052134545,25.893792520297993,25.772799057186308,0.008512643985165333,4.054538967562857e-18
COD,24.607082315000508,25.399479142801813,25.22773112462874,0.010552073623735529,3.934005908484281e-22
COG,25.193706988296654,25.908552640356792,25.762719193166344,0.009388295490160035,1.747214471987427e-20
COL,23.996631510236785,24.635378513097105,24.539957724975,0.009766614976058744,1.2494364028974687e-15
CPV,24.641400044759138,25.26932997385663,25.1828202284584,0.00699714900813837,3.3002659104491606e-11
CRI,26.277782908593533,26.970205639210004,26.831085914206998,0.00930873803750441,1.1455829679318015e-16
CUB,27.11976583377307,27.714624277505525,27.60742384120792,0.007720518707011595,2.002542043781816e-15
CYM,28.066640421549504,28.56126499176028,28.476720799586595,0.00664872484686855,1.0693296572391969e-15
CZE,9.21162202126232,9.999743519268954,9.830221366423812,0.01058966166602746,6.465366282324723e-12
DEU,9.607501023544573,10.342033833067314,10.203627714152502,0.00996954216144613,2.414114389747091e-12
DJI,30.926213378906272,31.713320198059105,31.521918846840105,0.010444784417104284,1.7210704724789618e-11
DNK,9.532962416602007,10.209281234910101,10.134982510811415,0.009625706206898298,1.0613987372709812e-10
DOM,27.161861326633417,27.731689296382136,27.6433095122494,0.007694834426172644,5.969477717592851e-18
DZA,18.525455617563377,19.481381993487734,19.213575856411897,0.011251101648781526,1.9517752959679672e-16
ECU,21.802432958744472,22.40939685081027,22.312232852014297,0.008599224654374944,9.539772591635908e-17
EGY,22.846926977269508,23.59604231528556,23.453639720605793,0.00932689206073599,1.5612605613736498e-13
ERI,28.967365508990614,29.787500922455603,29.648558713102375,0.01024420122273352,4.043051888790595e-14
ESP,15.626912555849014,16.520538433997597,16.33684110217721,0.010904626944671184,9.748658390688587e-17
EST,5.865920739816273,6.828200124085082,6.7295834883145504,0.012389225229557719,2.233778986789169e-9
ETH,21.937984638855955,22.565724652543615,22.46685912475561,0.008276207401757267,2.619698376261345e-16
FIN,3.1297347696214746,4.145578537579709,4.0754585698412695,0.013540866956637615,9.931905831081533e-10
FJI,26.463444137573266,26.83854237874351,26.786298857302036,0.004550621557800211,3.2335824450641537e-11
FRA,12.41611640797747,13.248110766589903,13.051284734757036,0.010516844940319568,2.2822841060388854e-15
FRO,7.720066748725066,7.566387685139997,7.944293224719167,-0.005959922431073181,0.0010884027110216242
GAB,25.60597302730168,26.262605294501725,26.133649422516164,0.008810139639817246,3.071353150576258e-21
GBR,10.701495981553217,11.262009312135591,11.19522459061932,0.007777422262016333,1.3988300853765143e-11
GEO,10.019440802019474,10.73064511687074,10.612927264805226,0.008412487612952546,1.1555116139152297e-7
GHA,27.58826972243951,28.2432836264609,28.111917527423685,0.008330603795504772,1.4393356127013074e-18
GIN,26.16441224490618,26.959418791518527,26.772866878314392,0.010148435900003722,5.470937986352532e-21
GNB,28.236659350487127,28.980182358297036,28.815903278055305,0.009440962106534565,8.950712254369995e-16
GNQ,25.245984530288325,25.662081453000287,25.612025290941563,0.006118538603969892,6.03216377211158e-13
GRC,17.247220380787255,18.056311884559676,17.85172956338158,0.010346327588088304,3.8893581058026537e-13
GRL,-7.684452474916704,-6.636938828867482,-6.7405262806786315,0.013921454152233084,2.3915266867588015e-11
GTM,23.469958862063248,24.152054407536543,24.022825693663155,0.009481615599354388,1.5780357946056408e-15
GUY,27.146171526884913,27.819114638229422,27.71789134859662,0.008990831095104023,1.0158164386699423e-16
HND,24.999834781172453,25.619331901527968,25.536246193689497,0.008858001816271558,6.415587989612533e-14
HRV,13.404504299741005,14.270760053549697,14.086232029082563,0.011726833607755354,8.392777421698702e-13
HTI,27.489797158893847,28.1037611544849,27.995035828173204,0.008241130439294062,1.1263457496374253e-18
HUN,12.363099862956412,13.178839579882597,12.985229605802724,0.011056965082574808,5.688259291233276e-10
IDN,27.334257010552953,27.87652396997378,27.81131238728981,0.0074183330876542684,7.421194992369818e-18
IND,25.673596500436,26.63866044619738,26.38481731040402,0.012991609976132806,1.2349628626696728e-23
IRL,10.662475093003101,11.096907715543438,11.0506142576998,0.006256177725798457,3.334841869733482e-9
IRN,17.02703083378291,17.849213983288507,17.737788721130876,0.010824931787354702,1.7591559136723218e-14
IRQ,23.097412435966696,24.006769186623234,23.86988947377968,0.011102247343902782,1.178318848425263e-13
ISL,2.47083703168067,3.312885451983293,3.1428054956231475,0.011037071471713391,1.935736866975506e-10
ISR,20.23952679445557,20.526455904807914,20.51666262123993,0.0027227279440566066,0.01222487847908897
ITA,14.921090160962786,15.807759532166965,15.566886396970613,0.011067940727602853,1.7147041536369971e-16
JOR,20.12082647799879,20.924184781777626,20.80313585530506,0.010292303361507747,3.895832354567575e-13
JPN,15.770364962820818,16.530510171210665,16.351691079243643,0.009113493276024173,3.96240587645473e-15
KAZ,8.295875803487805,9.418450053922664,9.141637433432754,0.014256706799435904,1.1050026898806101e-17
KEN,23.19038450539891,23.715172852969456,23.632790769760707,0.006865317349140018,2.4663590967944457e-14
KGZ,3.3634892718096387,4.2545327311776004,4.07659847315476,0.012210767545734972,1.229041391978575e-15
KHM,26.422236808852038,27.212429581037377,27.04805947322721,0.010169849952924267,2.332820627329176e-18
KIR,27.287704620361353,27.868942349751812,27.77345480955851,0.008580118017338878,9.20545208175053e-9
KOR,13.390182786063233,14.336662976361833,14.145196489547423,0.01172183980072728,7.094886127699956e-17
KWT,27.580824674286593,28.49869330846194,28.293637099228384,0.010200709815965471,2.3820372203126066e-13
LAO,23.04142394950862,24.03509777231226,23.80213024686526,0.012040213093536017,1.7105219514631051e-19
LBN,20.568790817260766,21.23393126593698,21.060933364947044,0.007408148276023,3.097830869818471e-9
LBR,25.7860274001981,26.409171287656754,26.32635411958513,0.008206799032078809,2.0400725096361367e-17
LBY,21.65909400035828,22.434187257192168,22.218247702431587,0.009448663320650969,3.2063057694892514e-15
LKA,27.700156070285107,28.337100011069214,28.196764015416868,0.008341818876199029,8.582627886635138e-20
LSO,13.668803762419515,14.466614940327716,14.339494400372716,0.01050628610867828,8.609241120784641e-12
LTU,7.654593395595624,8.480408168869856,8.376199525114778,0.011045838197026252,1.843529549370939e-9
LVA,6.819378752751943,7.686089940992524,7.5923190278964725,0.011289032362242555,3.1316409663917403e-9
MAR,19.354432301063504,20.268826740650976,20.11401914823477,0.01125451410924449,1.6001639966197101e-15
MDA,12.151791560314313,12.95985613676876,12.798941254781202,0.010566802248218224,4.52309644355727e-8
MDG,22.293752155108184,22.82048353001615,22.7605892940681,0.007390042635499945,2.931031737168007e-16
MEX,20.118639291178603,20.74671348502251,20.65319848553905,0.008352738213004939,1.2083439880589929e-15
MLI,29.486853715166458,30.367590584029497,30.196763964954652,0.01079762611187313,2.3590043413583622e-14
MMR,23.728871152633957,24.645987306420235,24.449284947574377,0.011549138693161124,3.144446416417184e-21
MNE,11.797902097815074,12.58877757171034,12.34541135212207,0.01056401185667287,2.333032257851767e-12
MNG,0.45105790242296306,1.3408409844842497,1.1720615276801765,0.01174724497289892,3.5678682969284287e-13
