Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
IIASA-WiC POP,SSP1,ABW,Population,million,8.245655088370481e-6,8.245655088370481e-6,8.245655088370481e-6,8.245655088370481e-6,8.245655088370481e-6,8.350046808435474e-6,8.350046808435474e-6,8.350046808435474e-6,8.350046808435474e-6,8.350046808435474e-6,8.436931034463364e-6,8.436931034463364e-6,8.436931034463364e-6,8.436931034463364e-6,8.436931034463364e-6,8.55500261721973e-6,8.55500261721973e-6,8.55500261721973e-6,8.55500261721973e-6,8.55500261721973e-6,8.590972906053986e-6,8.590972906053986e-6,8.590972906053986e-6,8.590972906053986e-6,8.590972906053986e-6,8.673815237041705e-6,8.673815237041705e-6,8.673815237041705e-6,8.673815237041705e-6,8.673815237041705e-6,8.747031476192767e-6,8.747031476192767e-6,8.747031476192767e-6,8.747031476192767e-6,8.747031476192767e-6,8.806444804543321e-6,8.806444804543321e-6,8.806444804543321e-6,8.806444804543321e-6,8.806444804543321e-6,8.850068436569481e-6,8.850068436569481e-6,8.850068436569481e-6,8.850068436569481e-6,8.850068436569481e-6,8.87505127141106e-6,8.87505127141106e-6,8.87505127141106e-6,8.87505127141106e-6,8.87505127141106e-6,8.878615641384201e-6,8.878615641384201e-6,8.878615641384201e-6,8.878615641384201e-6,8.878615641384201e-6,8.85786941481136e-6,8.85786941481136e-6,8.85786941481136e-6,8.85786941481136e-6,8.85786941481136e-6,8.873060475738012e-6,8.873060475738012e-6,8.873060475738012e-6,8.873060475738012e-6,8.873060475738012e-6,8.79572056269417e-6,8.79572056269417e-6,8.79572056269417e-6,8.79572056269417e-6,8.79572056269417e-6,8.67869435031126e-6,8.67869435031126e-6,8.67869435031126e-6,8.67869435031126e-6,8.67869435031126e-6,8.511583567564672e-6,8.511583567564672e-6,8.511583567564672e-6,8.511583567564672e-6,8.511583567564672e-6
IIASA-WiC POP,SSP2,ABW,Population,million,8.20926183368377e-6,8.20926183368377e-6,8.20926183368377e-6,8.20926183368377e-6,8.20926183368377e-6,8.29762421417727e-6,8.29762421417727e-6,8.29762421417727e-6,8.29762421417727e-6,8.29762421417727e-6,8.350114744493448e-6,8.350114744493448e-6,8.350114744493448e-6,8.350114744493448e-6,8.350114744493448e-6,8.370921502649484e-6,8.370921502649484e-6,8.370921502649484e-6,8.370921502649484e-6,8.370921502649484e-6,8.421915189037853e-6,8.421915189037853e-6,8.421915189037853e-6,8.421915189037853e-6,8.421915189037853e-6,8.44836119856678e-6,8.44836119856678e-6,8.44836119856678e-6,8.44836119856678e-6,8.44836119856678e-6,8.510739052393583e-6,8.510739052393583e-6,8.510739052393583e-6,8.510739052393583e-6,8.510739052393583e-6,8.556641495610523e-6,8.556641495610523e-6,8.556641495610523e-6,8.556641495610523e-6,8.556641495610523e-6,8.639490846006142e-6,8.639490846006142e-6,8.639490846006142e-6,8.639490846006142e-6,8.639490846006142e-6,8.701558252767427e-6,8.701558252767427e-6,8.701558252767427e-6,8.701558252767427e-6,8.701558252767427e-6,8.739175339636133e-6,8.739175339636133e-6,8.739175339636133e-6,8.739175339636133e-6,8.739175339636133e-6,8.75186799340035e-6,8.75186799340035e-6,8.75186799340035e-6,8.75186799340035e-6,8.75186799340035e-6,8.738508860847985e-6,8.738508860847985e-6,8.738508860847985e-6,8.738508860847985e-6,8.738508860847985e-6,8.642227663545303e-6,8.642227663545303e-6,8.642227663545303e-6,8.642227663545303e-6,8.642227663545303e-6,8.618127206159261e-6,8.618127206159261e-6,8.618127206159261e-6,8.618127206159261e-6,8.618127206159261e-6,8.499416967413511e-6,8.499416967413511e-6,8.499416967413511e-6,8.499416967413511e-6,8.499416967413511e-6
IIASA-WiC POP,SSP3,ABW,Population,million,8.000077008871371e-6,8.000077008871371e-6,8.000077008871371e-6,8.000077008871371e-6,8.000077008871371e-6,7.900988271661903e-6,7.900988271661903e-6,7.900988271661903e-6,7.900988271661903e-6,7.900988271661903e-6,7.76092129191118e-6,7.76092129191118e-6,7.76092129191118e-6,7.76092129191118e-6,7.76092129191118e-6,7.654666476050462e-6,7.654666476050462e-6,7.654666476050462e-6,7.654666476050462e-6,7.654666476050462e-6,7.460890740607483e-6,7.460890740607483e-6,7.460890740607483e-6,7.460890740607483e-6,7.460890740607483e-6,7.340621060273057e-6,7.340621060273057e-6,7.340621060273057e-6,7.340621060273057e-6,7.340621060273057e-6,7.2362998125647595e-6,7.2362998125647595e-6,7.2362998125647595e-6,7.2362998125647595e-6,7.2362998125647595e-6,7.15545150241847e-6,7.15545150241847e-6,7.15545150241847e-6,7.15545150241847e-6,7.15545150241847e-6,7.095896499821326e-6,7.095896499821326e-6,7.095896499821326e-6,7.095896499821326e-6,7.095896499821326e-6,7.098020763001281e-6,7.098020763001281e-6,7.098020763001281e-6,7.098020763001281e-6,7.098020763001281e-6,7.062229487372103e-6,7.062229487372103e-6,7.062229487372103e-6,7.062229487372103e-6,7.062229487372103e-6,7.031557630646341e-6,7.031557630646341e-6,7.031557630646341e-6,7.031557630646341e-6,7.031557630646341e-6,7.004917366041055e-6,7.004917366041055e-6,7.004917366041055e-6,7.004917366041055e-6,7.004917366041055e-6,6.939306845676671e-6,6.939306845676671e-6,6.939306845676671e-6,6.939306845676671e-6,6.939306845676671e-6,6.9201840389991916e-6,6.9201840389991916e-6,6.9201840389991916e-6,6.9201840389991916e-6,6.9201840389991916e-6,6.863071351194625e-6,6.863071351194625e-6,6.863071351194625e-6,6.863071351194625e-6,6.863071351194625e-6
IIASA-WiC POP,SSP4,ABW,Population,million,8.157513158430548e-6,8.157513158430548e-6,8.157513158430548e-6,8.157513158430548e-6,8.157513158430548e-6,8.193737261889996e-6,8.193737261889996e-6,8.193737261889996e-6,8.193737261889996e-6,8.193737261889996e-6,8.19916513063912e-6,8.19916513063912e-6,8.19916513063912e-6,8.19916513063912e-6,8.19916513063912e-6,8.17524622488891e-6,8.17524622488891e-6,8.17524622488891e-6,8.17524622488891e-6,8.17524622488891e-6,8.123903952342204e-6,8.123903952342204e-6,8.123903952342204e-6,8.123903952342204e-6,8.123903952342204e-6,8.103265330916957e-6,8.103265330916957e-6,8.103265330916957e-6,8.103265330916957e-6,8.103265330916957e-6,8.058778427340902e-6,8.058778427340902e-6,8.058778427340902e-6,8.058778427340902e-6,8.058778427340902e-6,7.995479312777748e-6,7.995479312777748e-6,7.995479312777748e-6,7.995479312777748e-6,7.995479312777748e-6,7.91323586009014e-6,7.91323586009014e-6,7.91323586009014e-6,7.91323586009014e-6,7.91323586009014e-6,7.861312843494221e-6,7.861312843494221e-6,7.861312843494221e-6,7.861312843494221e-6,7.861312843494221e-6,7.780637264891107e-6,7.780637264891107e-6,7.780637264891107e-6,7.780637264891107e-6,7.780637264891107e-6,7.613769544519984e-6,7.613769544519984e-6,7.613769544519984e-6,7.613769544519984e-6,7.613769544519984e-6,7.410967416570109e-6,7.410967416570109e-6,7.410967416570109e-6,7.410967416570109e-6,7.410967416570109e-6,7.220443539104648e-6,7.220443539104648e-6,7.220443539104648e-6,7.220443539104648e-6,7.220443539104648e-6,6.9861938410675036e-6,6.9861938410675036e-6,6.9861938410675036e-6,6.9861938410675036e-6,6.9861938410675036e-6,6.702372977833751e-6,6.702372977833751e-6,6.702372977833751e-6,6.702372977833751e-6,6.702372977833751e-6
IIASA-WiC POP,SSP5,ABW,Population,million,8.435472290137739e-6,8.435472290137739e-6,8.435472290137739e-6,8.435472290137739e-6,8.435472290137739e-6,8.715856912289769e-6,8.715856912289769e-6,8.715856912289769e-6,8.715856912289769e-6,8.715856912289769e-6,8.904051928928978e-6,8.904051928928978e-6,8.904051928928978e-6,8.904051928928978e-6,8.904051928928978e-6,9.11851886074441e-6,9.11851886074441e-6,9.11851886074441e-6,9.11851886074441e-6,9.11851886074441e-6,9.367056087605004e-6,9.367056087605004e-6,9.367056087605004e-6,9.367056087605004e-6,9.367056087605004e-6,9.538314378484907e-6,9.538314378484907e-6,9.538314378484907e-6,9.538314378484907e-6,9.538314378484907e-6,9.698244950675953e-6,9.698244950675953e-6,9.698244950675953e-6,9.698244950675953e-6,9.698244950675953e-6,9.844159957929905e-6,9.844159957929905e-6,9.844159957929905e-6,9.844159957929905e-6,9.844159957929905e-6,9.917061283063556e-6,9.917061283063556e-6,9.917061283063556e-6,9.917061283063556e-6,9.917061283063556e-6,1.0031969716827417e-5,1.0031969716827417e-5,1.0031969716827417e-5,1.0031969716827417e-5,1.0031969716827417e-5,1.0069907668424242e-5,1.0069907668424242e-5,1.0069907668424242e-5,1.0069907668424242e-5,1.0069907668424242e-5,1.0086372973899828e-5,1.0086372973899828e-5,1.0086372973899828e-5,1.0086372973899828e-5,1.0086372973899828e-5,1.0017561885473736e-5,1.0017561885473736e-5,1.0017561885473736e-5,1.0017561885473736e-5,1.0017561885473736e-5,9.91990642595941e-6,9.91990642595941e-6,9.91990642595941e-6,9.91990642595941e-6,9.91990642595941e-6,9.721390076916662e-6,9.721390076916662e-6,9.721390076916662e-6,9.721390076916662e-6,9.721390076916662e-6,9.47356142818412e-6,9.47356142818412e-6,9.47356142818412e-6,9.47356142818412e-6,9.47356142818412e-6
IIASA-WiC POP,SSP1,AFG,Population,million,0.0026289675316026368,0.0026289675316026368,0.0026289675316026368,0.0026289675316026368,0.0026289675316026368,0.00280812074167685,0.00280812074167685,0.00280812074167685,0.00280812074167685,0.00280812074167685,0.0029794240750889364,0.0029794240750889364,0.0029794240750889364,0.0029794240750889364,0.0029794240750889364,0.0031463466411287616,0.0031463466411287616,0.0031463466411287616,0.0031463466411287616,0.0031463466411287616,0.003304280425215911,0.003304280425215911,0.003304280425215911,0.003304280425215911,0.003304280425215911,0.0034506338123140847,0.0034506338123140847,0.0034506338123140847,0.0034506338123140847,0.0034506338123140847,0.003586282905239035,0.003586282905239035,0.003586282905239035,0.003586282905239035,0.003586282905239035,0.003714428390512279,0.003714428390512279,0.003714428390512279,0.003714428390512279,0.003714428390512279,0.0038344554903329935,0.0038344554903329935,0.0038344554903329935,0.0038344554903329935,0.0038344554903329935,0.003953535508600405,0.003953535508600405,0.003953535508600405,0.003953535508600405,0.003953535508600405,0.0040707844591387566,0.0040707844591387566,0.0040707844591387566,0.0040707844591387566,0.0040707844591387566,0.00418543621321251,0.00418543621321251,0.00418543621321251,0.00418543621321251,0.00418543621321251,0.0042986175264746775,0.0042986175264746775,0.0042986175264746775,0.0042986175264746775,0.0042986175264746775,0.0044118682807617465,0.0044118682807617465,0.0044118682807617465,0.0044118682807617465,0.0044118682807617465,0.004525098144932446,0.004525098144932446,0.004525098144932446,0.004525098144932446,0.004525098144932446,0.004637766538146406,0.004637766538146406,0.004637766538146406,0.004637766538146406,0.004637766538146406
IIASA-WiC POP,SSP2,AFG,Population,million,0.0026664995917698273,0.0026664995917698273,0.0026664995917698273,0.0026664995917698273,0.0026664995917698273,0.0028879503912706984,0.0028879503912706984,0.0028879503912706984,0.0028879503912706984,0.0028879503912706984,0.003127602036435665,0.003127602036435665,0.003127602036435665,0.003127602036435665,0.003127602036435665,0.0033740667446938016,0.0033740667446938016,0.0033740667446938016,0.0033740667446938016,0.0033740667446938016,0.0036190904331595834,0.0036190904331595834,0.0036190904331595834,0.0036190904331595834,0.0036190904331595834,0.0038611789743633923,0.0038611789743633923,0.0038611789743633923,0.0038611789743633923,0.0038611789743633923,0.004100539542666709,0.004100539542666709,0.004100539542666709,0.004100539542666709,0.004100539542666709,0.004339831698934085,0.004339831698934085,0.004339831698934085,0.004339831698934085,0.004339831698934085,0.004576903601147772,0.004576903601147772,0.004576903601147772,0.004576903601147772,0.004576903601147772,0.004811749480652271,0.004811749480652271,0.004811749480652271,0.004811749480652271,0.004811749480652271,0.005038055136251688,0.005038055136251688,0.005038055136251688,0.005038055136251688,0.005038055136251688,0.005261357829511278,0.005261357829511278,0.005261357829511278,0.005261357829511278,0.005261357829511278,0.005482828190685346,0.005482828190685346,0.005482828190685346,0.005482828190685346,0.005482828190685346,0.005699361269593702,0.005699361269593702,0.005699361269593702,0.005699361269593702,0.005699361269593702,0.005906940269982619,0.005906940269982619,0.005906940269982619,0.005906940269982619,0.005906940269982619,0.0061011008390021255,0.0061011008390021255,0.0061011008390021255,0.0061011008390021255,0.0061011008390021255
IIASA-WiC POP,SSP3,AFG,Population,million,0.002724318907264929,0.002724318907264929,0.002724318907264929,0.002724318907264929,0.002724318907264929,0.003004474243241183,0.003004474243241183,0.003004474243241183,0.003004474243241183,0.003004474243241183,0.0033095625721339416,0.0033095625721339416,0.0033095625721339416,0.0033095625721339416,0.0033095625721339416,0.0036203195372979248,0.0036203195372979248,0.0036203195372979248,0.0036203195372979248,0.0036203195372979248,0.003937349927291457,0.003937349927291457,0.003937349927291457,0.003937349927291457,0.003937349927291457,0.004264744652591833,0.004264744652591833,0.004264744652591833,0.004264744652591833,0.004264744652591833,0.004602035420381029,0.004602035420381029,0.004602035420381029,0.004602035420381029,0.004602035420381029,0.004936969477423748,0.004936969477423748,0.004936969477423748,0.004936969477423748,0.004936969477423748,0.0052636414116141285,0.0052636414116141285,0.0052636414116141285,0.0052636414116141285,0.0052636414116141285,0.005577984225708948,0.005577984225708948,0.005577984225708948,0.005577984225708948,0.005577984225708948,0.005877844121751036,0.005877844121751036,0.005877844121751036,0.005877844121751036,0.005877844121751036,0.00616320421049671,0.00616320421049671,0.00616320421049671,0.00616320421049671,0.00616320421049671,0.00642724804558508,0.00642724804558508,0.00642724804558508,0.00642724804558508,0.00642724804558508,0.006668715935100406,0.006668715935100406,0.006668715935100406,0.006668715935100406,0.006668715935100406,0.00688121681220816,0.00688121681220816,0.00688121681220816,0.00688121681220816,0.00688121681220816,0.007061131516188512,0.007061131516188512,0.007061131516188512,0.007061131516188512,0.007061131516188512
IIASA-WiC POP,SSP4,AFG,Population,million,0.0027367140918605716,0.0027367140918605716,0.0027367140918605716,0.0027367140918605716,0.0027367140918605716,0.003026073228312312,0.003026073228312312,0.003026073228312312,0.003026073228312312,0.003026073228312312,0.003349692995926958,0.003349692995926958,0.003349692995926958,0.003349692995926958,0.003349692995926958,0.0036842717555359067,0.0036842717555359067,0.0036842717555359067,0.0036842717555359067,0.0036842717555359067,0.004035921157168879,0.004035921157168879,0.004035921157168879,0.004035921157168879,0.004035921157168879,0.004412311799567017,0.004412311799567017,0.004412311799567017,0.004412311799567017,0.004412311799567017,0.004815037877903257,0.004815037877903257,0.004815037877903257,0.004815037877903257,0.004815037877903257,0.005229205541083258,0.005229205541083258,0.005229205541083258,0.005229205541083258,0.005229205541083258,0.005650745485632611,0.005650745485632611,0.005650745485632611,0.005650745485632611,0.005650745485632611,0.006082956397547016,0.006082956397547016,0.006082956397547016,0.006082956397547016,0.006082956397547016,0.006527478299696809,0.006527478299696809,0.006527478299696809,0.006527478299696809,0.006527478299696809,0.0069859507974947745,0.0069859507974947745,0.0069859507974947745,0.0069859507974947745,0.0069859507974947745,0.007451198382545775,0.007451198382545775,0.007451198382545775,0.007451198382545775,0.007451198382545775,0.007919924006955412,0.007919924006955412,0.007919924006955412,0.007919924006955412,0.007919924006955412,0.00838241934452543,0.00838241934452543,0.00838241934452543,0.00838241934452543,0.00838241934452543,0.008830295969820233,0.008830295969820233,0.008830295969820233,0.008830295969820233,0.008830295969820233
IIASA-WiC POP,SSP5,AFG,Population,million,0.0026068266218191795,0.0026068266218191795,0.0026068266218191795,0.0026068266218191795,0.0026068266218191795,0.0027601708923191766,0.0027601708923191766,0.0027601708923191766,0.0027601708923191766,0.0027601708923191766,0.002901226542493125,0.002901226542493125,0.002901226542493125,0.002901226542493125,0.002901226542493125,0.003034886237358693,0.003034886237358693,0.003034886237358693,0.003034886237358693,0.003034886237358693,0.003154609704305905,0.003154609704305905,0.003154609704305905,0.003154609704305905,0.003154609704305905,0.003256274547543875,0.003256274547543875,0.003256274547543875,0.003256274547543875,0.003256274547543875,0.0033405780002090384,0.0033405780002090384,0.0033405780002090384,0.0033405780002090384,0.0033405780002090384,0.0034116130448283823,0.0034116130448283823,0.0034116130448283823,0.0034116130448283823,0.0034116130448283823,0.0034694547220524815,0.0034694547220524815,0.0034694547220524815,0.0034694547220524815,0.0034694547220524815,0.0035260906892409065,0.0035260906892409065,0.0035260906892409065,0.0035260906892409065,0.0035260906892409065,0.0035811553406466137,0.0035811553406466137,0.0035811553406466137,0.0035811553406466137,0.0035811553406466137,0.0036339760914536235,0.0036339760914536235,0.0036339760914536235,0.0036339760914536235,0.0036339760914536235,0.0036861573603822165,0.0036861573603822165,0.0036861573603822165,0.0036861573603822165,0.0036861573603822165,0.0037396799438895157,0.0037396799438895157,0.0037396799438895157,0.0037396799438895157,0.0037396799438895157,0.003794859738249014,0.003794859738249014,0.003794859738249014,0.003794859738249014,0.003794859738249014,0.003851660606767136,0.003851660606767136,0.003851660606767136,0.003851660606767136,0.003851660606767136
