Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
ABW,0.03636,0.03636,0.03636,0.03636,0.03636,0.03444,0.03444,0.03444,0.03444,0.03444,0.02864,0.02864,0.02864,0.02864,0.02864,0.03086,0.03086,0.03086,0.03086,0.03086,0.02878,0.02878,0.02878,0.02878,0.02878,0.027759999999999996,0.027759999999999996,0.027759999999999996,0.027759999999999996,0.027759999999999996,0.02722,0.02722,0.02722,0.02722,0.02722,0.027120000000000002,0.027120000000000002,0.027120000000000002,0.027120000000000002,0.027120000000000002,0.025670000000000002,0.025670000000000002,0.025670000000000002,0.025670000000000002,0.025670000000000002,0.02625,0.02625,0.02625,0.02625,0.02625,0.02535,0.02535,0.02535,0.02535,0.02535,0.02442,0.02442,0.02442,0.02442,0.02442,0.02392,0.02392,0.02392,0.02392,0.02392,0.02174,0.02174,0.02174,0.02174,0.02174,0.02222,0.02222,0.02222,0.02222,0.02222,0.0212,0.0212,0.0212,0.0212,0.0212
AFG,0.02046,0.02046,0.02046,0.02046,0.02046,0.020640000000000002,0.020640000000000002,0.020640000000000002,0.020640000000000002,0.020640000000000002,0.02141,0.02141,0.02141,0.02141,0.02141,0.02367,0.02367,0.02367,0.02367,0.02367,0.02477,0.02477,0.02477,0.02477,0.02477,0.024929999999999997,0.024929999999999997,0.024929999999999997,0.024929999999999997,0.024929999999999997,0.02505,0.02505,0.02505,0.02505,0.02505,0.02497,0.02497,0.02497,0.02497,0.02497,0.02495,0.02495,0.02495,0.02495,0.02495,0.02472,0.02472,0.02472,0.02472,0.02472,0.02403,0.02403,0.02403,0.02403,0.02403,0.022940000000000002,0.022940000000000002,0.022940000000000002,0.022940000000000002,0.022940000000000002,0.021640000000000003,0.021640000000000003,0.021640000000000003,0.021640000000000003,0.021640000000000003,0.020569999999999998,0.020569999999999998,0.020569999999999998,0.020569999999999998,0.020569999999999998,0.0197,0.0197,0.0197,0.0197,0.0197,0.019110000000000002,0.019110000000000002,0.019110000000000002,0.019110000000000002,0.019110000000000002
AGO,0.00188,0.00188,0.00188,0.00188,0.00188,-0.0078000000000000005,-0.0078000000000000005,-0.0078000000000000005,-0.0078000000000000005,-0.0078000000000000005,-0.01745,-0.01745,-0.01745,-0.01745,-0.01745,-0.01836,-0.01836,-0.01836,-0.01836,-0.01836,-0.01303,-0.01303,-0.01303,-0.01303,-0.01303,-0.00446,-0.00446,-0.00446,-0.00446,-0.00446,0.00377,0.00377,0.00377,0.00377,0.00377,0.01011,0.01011,0.01011,0.01011,0.01011,0.014650000000000002,0.014650000000000002,0.014650000000000002,0.014650000000000002,0.014650000000000002,0.01743,0.01743,0.01743,0.01743,0.01743,0.01891,0.01891,0.01891,0.01891,0.01891,0.01932,0.01932,0.01932,0.01932,0.01932,0.01907,0.01907,0.01907,0.01907,0.01907,0.01886,0.01886,0.01886,0.01886,0.01886,0.01845,0.01845,0.01845,0.01845,0.01845,0.0183,0.0183,0.0183,0.0183,0.0183
ALB,0.0192,0.0192,0.0192,0.0192,0.0192,0.01602,0.01602,0.01602,0.01602,0.01602,0.013269999999999999,0.013269999999999999,0.013269999999999999,0.013269999999999999,0.013269999999999999,0.0129,0.0129,0.0129,0.0129,0.0129,0.01218,0.01218,0.01218,0.01218,0.01218,0.010360000000000001,0.010360000000000001,0.010360000000000001,0.010360000000000001,0.010360000000000001,0.009399999999999999,0.009399999999999999,0.009399999999999999,0.009399999999999999,0.009399999999999999,0.0095,0.0095,0.0095,0.0095,0.0095,0.009899999999999999,0.009899999999999999,0.009899999999999999,0.009899999999999999,0.009899999999999999,0.01053,0.01053,0.01053,0.01053,0.01053,0.01129,0.01129,0.01129,0.01129,0.01129,0.01077,0.01077,0.01077,0.01077,0.01077,0.00962,0.00962,0.00962,0.00962,0.00962,0.00871,0.00871,0.00871,0.00871,0.00871,0.00848,0.00848,0.00848,0.00848,0.00848,0.00875,0.00875,0.00875,0.00875,0.00875
ARE,0.016819999999999998,0.016819999999999998,0.016819999999999998,0.016819999999999998,0.016819999999999998,0.01734,0.01734,0.01734,0.01734,0.01734,0.01426,0.01426,0.01426,0.01426,0.01426,0.010280000000000001,0.010280000000000001,0.010280000000000001,0.010280000000000001,0.010280000000000001,0.00459,0.00459,0.00459,0.00459,0.00459,-5.600000000000001e-4,-5.600000000000001e-4,-5.600000000000001e-4,-5.600000000000001e-4,-5.600000000000001e-4,-0.00266,-0.00266,-0.00266,-0.00266,-0.00266,-0.00166,-0.00166,-0.00166,-0.00166,-0.00166,-0.0011899999999999999,-0.0011899999999999999,-0.0011899999999999999,-0.0011899999999999999,-0.0011899999999999999,-6.6e-4,-6.6e-4,-6.6e-4,-6.6e-4,-6.6e-4,-5.7e-4,-5.7e-4,-5.7e-4,-5.7e-4,-5.7e-4,-7.5e-4,-7.5e-4,-7.5e-4,-7.5e-4,-7.5e-4,-6.4e-4,-6.4e-4,-6.4e-4,-6.4e-4,-6.4e-4,-2e-5,-2e-5,-2e-5,-2e-5,-2e-5,6.4e-4,6.4e-4,6.4e-4,6.4e-4,6.4e-4,0.00135,0.00135,0.00135,0.00135,0.00135
ARG,0.01967,0.01967,0.01967,0.01967,0.01967,0.01499,0.01499,0.01499,0.01499,0.01499,0.012354999999999998,0.012354999999999998,0.012354999999999998,0.012354999999999998,0.012354999999999998,0.010345,0.010345,0.010345,0.010345,0.010345,0.008254999999999998,0.008254999999999998,0.008254999999999998,0.008254999999999998,0.008254999999999998,0.0068650000000000004,0.0068650000000000004,0.0068650000000000004,0.0068650000000000004,0.0068650000000000004,0.0063549999999999995,0.0063549999999999995,0.0063549999999999995,0.0063549999999999995,0.0063549999999999995,0.0065699999999999995,0.0065699999999999995,0.0065699999999999995,0.0065699999999999995,0.0065699999999999995,0.0071400000000000005,0.0071400000000000005,0.0071400000000000005,0.0071400000000000005,0.0071400000000000005,0.007585,0.007585,0.007585,0.007585,0.007585,0.00753,0.00753,0.00753,0.00753,0.00753,0.007065,0.007065,0.007065,0.007065,0.007065,0.0065249999999999996,0.0065249999999999996,0.0065249999999999996,0.0065249999999999996,0.0065249999999999996,0.0063,0.0063,0.0063,0.0063,0.0063,0.006255,0.006255,0.006255,0.006255,0.006255,0.006375,0.006375,0.006375,0.006375,0.006375
ARM,0.050475,0.050475,0.050475,0.050475,0.050475,0.034005,0.034005,0.034005,0.034005,0.034005,0.021805,0.021805,0.021805,0.021805,0.021805,0.015210000000000001,0.015210000000000001,0.015210000000000001,0.015210000000000001,0.015210000000000001,0.01143,0.01143,0.01143,0.01143,0.01143,0.009195,0.009195,0.009195,0.009195,0.009195,0.00851,0.00851,0.00851,0.00851,0.00851,0.009255,0.009255,0.009255,0.009255,0.009255,0.010515,0.010515,0.010515,0.010515,0.010515,0.010705,0.010705,0.010705,0.010705,0.010705,0.010669999999999999,0.010669999999999999,0.010669999999999999,0.010669999999999999,0.010669999999999999,0.01069,0.01069,0.01069,0.01069,0.01069,0.01055,0.01055,0.01055,0.01055,0.01055,0.010565000000000001,0.010565000000000001,0.010565000000000001,0.010565000000000001,0.010565000000000001,0.010554999999999998,0.010554999999999998,0.010554999999999998,0.010554999999999998,0.010554999999999998,0.010595,0.010595,0.010595,0.010595,0.010595
AUS,0.00818,0.00818,0.00818,0.00818,0.00818,0.006795000000000001,0.006795000000000001,0.006795000000000001,0.006795000000000001,0.006795000000000001,0.00637,0.00637,0.00637,0.00637,0.00637,0.006385,0.006385,0.006385,0.006385,0.006385,0.00646,0.00646,0.00646,0.00646,0.00646,0.00582,0.00582,0.00582,0.00582,0.00582,0.005685,0.005685,0.005685,0.005685,0.005685,0.006365,0.006365,0.006365,0.006365,0.006365,0.00698,0.00698,0.00698,0.00698,0.00698,0.00713,0.00713,0.00713,0.00713,0.00713,0.006805,0.006805,0.006805,0.006805,0.006805,0.006725,0.006725,0.006725,0.006725,0.006725,0.0066549999999999995,0.0066549999999999995,0.0066549999999999995,0.0066549999999999995,0.0066549999999999995,0.00692,0.00692,0.00692,0.00692,0.00692,0.00735,0.00735,0.00735,0.00735,0.00735,0.0077,0.0077,0.0077,0.0077,0.0077
AUT,0.005424999999999999,0.005424999999999999,0.005424999999999999,0.005424999999999999,0.005424999999999999,0.006095000000000001,0.006095000000000001,0.006095000000000001,0.006095000000000001,0.006095000000000001,0.007155,0.007155,0.007155,0.007155,0.007155,0.008625,0.008625,0.008625,0.008625,0.008625,0.00924,0.00924,0.00924,0.00924,0.00924,0.00913,0.00913,0.00913,0.00913,0.00913,0.00927,0.00927,0.00927,0.00927,0.00927,0.00944,0.00944,0.00944,0.00944,0.00944,0.009695,0.009695,0.009695,0.009695,0.009695,0.009395,0.009395,0.009395,0.009395,0.009395,0.009135,0.009135,0.009135,0.009135,0.009135,0.009009999999999999,0.009009999999999999,0.009009999999999999,0.009009999999999999,0.009009999999999999,0.008830000000000001,0.008830000000000001,0.008830000000000001,0.008830000000000001,0.008830000000000001,0.00874,0.00874,0.00874,0.00874,0.00874,0.00877,0.00877,0.00877,0.00877,0.00877,0.008745,0.008745,0.008745,0.008745,0.008745
AZE,0.016405000000000003,0.016405000000000003,0.016405000000000003,0.016405000000000003,0.016405000000000003,0.008545,0.008545,0.008545,0.008545,0.008545,0.0010149999999999998,0.0010149999999999998,0.0010149999999999998,0.0010149999999999998,0.0010149999999999998,0.00164,0.00164,0.00164,0.00164,0.00164,0.0031450000000000002,0.0031450000000000002,0.0031450000000000002,0.0031450000000000002,0.0031450000000000002,0.004690000000000001,0.004690000000000001,0.004690000000000001,0.004690000000000001,0.004690000000000001,0.005645,0.005645,0.005645,0.005645,0.005645,0.0073549999999999996,0.0073549999999999996,0.0073549999999999996,0.0073549999999999996,0.0073549999999999996,0.0077399999999999995,0.0077399999999999995,0.0077399999999999995,0.0077399999999999995,0.0077399999999999995,0.00673,0.00673,0.00673,0.00673,0.00673,0.0051649999999999995,0.0051649999999999995,0.0051649999999999995,0.0051649999999999995,0.0051649999999999995,0.0048400000000000006,0.0048400000000000006,0.0048400000000000006,0.0048400000000000006,0.0048400000000000006,0.005665,0.005665,0.005665,0.005665,0.005665,0.00757,0.00757,0.00757,0.00757,0.00757,0.00942,0.00942,0.00942,0.00942,0.00942,0.010539999999999999,0.010539999999999999,0.010539999999999999,0.010539999999999999,0.010539999999999999
