item,estimate,std.error,t.stat,p.value,pval.symbol,bootstrap
tmp,0.00839389814653249,0.0028817910120108943,2.91273659732712,0.00358276672297445,***,1
tmp2,-5.156214762647115e-4,9.704149551827571e-5,-5.313412303787148,1.0759122550494843e-7,***,1
pre,0.047773243741724356,0.048577549607908894,0.9834428481330069,0.32538953056834713, ,1
pre2,-0.03133301437404046,0.02968452165631814,-1.0555337470756059,0.2911812836471515, ,1
tmp_pre,-0.004842439350210558,0.00412629270016248,-1.173556919512733,0.2405725454264209, ,1
tmp2_pre,1.7646750166149102e-4,1.0586081602878009e-4,1.6669765856850687,0.09551906075405692,*,1
pre2_tmp,0.0024737483816851323,0.002454942598485705,1.0076603759334444,0.31361753346590743, ,1
tmp2_pre2,-6.296406344639462e-5,5.3427383702931883e-5,-1.1784979739320345,0.23859813958578618, ,1
T_1,-0.006488922094299969,0.007487267883249984,-0.866660869556511,0.3861278515309716, ,1
T_2,6.418964277182112e-4,0.002302362733488717,0.27879899999317675,0.7803990819311446, ,1
tmp,0.006253130083381028,0.003304297893240817,1.892423227388869,0.058434613693127385,*,2
tmp2,-1.864218847807018e-4,1.0614843101164304e-4,-1.7562377795320767,0.07904781636765759,*,2
pre,0.04105547517928718,0.05342926741386002,0.7684079750013012,0.442244843885368, ,2
pre2,-0.04138033264461287,0.03095084570507242,-1.3369693687507607,0.18123263563884234, ,2
tmp_pre,-0.0025872551713889917,0.004618645217228427,-0.5601762096248564,0.5753592525276063, ,2
tmp2_pre,8.541877067069672e-5,1.1842044503051368e-4,0.7213177644171719,0.47071402969874737, ,2
pre2_tmp,0.002959668472297103,0.0025993221662488656,1.1386308748977663,0.2548571451675641, ,2
tmp2_pre2,-6.423394749175712e-5,5.7289785561111935e-5,-1.121211169890621,0.26219798624791846, ,2
T_1,-0.0014597098685874851,0.0063169034483984855,-0.23107997146253093,0.8172526745272557, ,2
T_2,-9.276008457263129e-4,0.001577244030282787,-0.5881149827905842,0.5564551170729006, ,2
tmp,0.015615023758314082,0.005818414430627674,2.6837249124293776,0.007280698517468643,***,3
tmp2,-4.7439269066145855e-4,1.723378634745083e-4,-2.7526898680139973,0.005910786055191777,***,3
pre,0.20106824862210343,0.0785972889193615,2.55820844951018,0.010521300354084013,**,3
pre2,-0.09078748717096552,0.030935759239922814,-2.9347101671842477,0.0033385937385868344,***,3
tmp_pre,-0.020757757353655162,0.008272076281680038,-2.5093769262774877,0.012094435305681009,**,3
tmp2_pre,5.452591530627953e-4,2.2113522226017293e-4,2.4657272934172365,0.013673539223710344,**,3
pre2_tmp,0.008217569797947941,0.0029954504989056093,2.7433502242651775,0.006081578451149262,***,3
tmp2_pre2,-1.914321353068026e-4,7.433197944533804e-5,-2.575367112987718,0.010013374272628868,**,3
T_1,-0.007603632542328446,0.005755595233739537,-1.3210853497403081,0.1864729073611993, ,3
T_2,-0.007321729346574794,0.005761403979179085,-1.2708238084040815,0.20379133675787167, ,3
tmp,0.01634806117622519,0.004929029581401376,3.3166896051732073,9.109075535360659e-4,***,4
tmp2,-6.026236889573758e-4,1.4560187325500355e-4,-4.138845713213836,3.4905758283394014e-5,***,4
pre,0.22271165060839937,0.07075288772115104,3.1477393754745844,0.0016453832415119956,***,4
pre2,-0.12848333540151044,0.031092519159690052,-4.132290945665248,3.591653868246563e-5,***,4
tmp_pre,-0.019433099227693203,0.007510754317061275,-2.587369844271084,0.009671172499947102,***,4
tmp2_pre,4.720417576573931e-4,1.9721953010376654e-4,2.393483837067402,0.016689216631621807,**,4
pre2_tmp,0.011209255427110017,0.002981819966363114,3.7591992654009214,1.7045803735933181e-4,***,4
tmp2_pre2,-2.5395593696673395e-4,7.188436874739132e-5,-3.5328394947608133,4.1112198926116525e-4,***,4
T_1,-0.007985761026971887,0.006322749218961569,-1.263020365100523,0.20658186100706183, ,4
T_2,-7.995831235431758e-4,0.001371560627978982,-0.5829732257052138,0.5599113244044719, ,4
tmp,0.029652752522760895,0.006165717521440455,4.809294687868432,1.5146377564120627e-6,***,5
tmp2,-9.839918467560212e-4,1.6941195866704493e-4,-5.808278556591846,6.311844057794692e-9,***,5
pre,0.24335649409547924,0.07970223440879401,3.053320849793244,0.0022632381246804737,***,5
pre2,-0.10071451332790148,0.03394569633042707,-2.9669302508202335,0.0030078918629463667,***,5
tmp_pre,-0.02637669390029005,0.007993801688237571,-3.2996432647437164,9.680780105761493e-4,***,5
tmp2_pre,7.274567147019528e-4,2.0346112741808817e-4,3.575408845578235,3.4968100036996953e-4,***,5
pre2_tmp,0.009241242352719658,0.002977974551021732,3.103197221597821,0.0019144201536117173,***,5
tmp2_pre2,-2.204655896608046e-4,6.754784576181438e-5,-3.2638433864820082,0.0010991190332309314,***,5
T_1,-0.004750600874985588,0.006244088967019935,-0.7608156930622448,0.44676715973303005, ,5
T_2,-5.81449202845184e-4,0.0024952288315101836,-0.23302440060909135,0.8157424583174754, ,5
tmp,0.008632720732369278,0.0029825904870765738,2.8943701020218686,0.0037992006756472755,***,6
tmp2,-4.591117836417789e-4,1.0600964954816006e-4,-4.330848989678104,1.4853552603320228e-5,***,6
pre,0.04784673340069274,0.04238745090882467,1.1287947818237756,0.258984414442417, ,6
pre2,-0.03529061938925987,0.02340375291083264,-1.5079042888427219,0.13157902482561135, ,6
tmp_pre,-0.004078673465916576,0.003918089680891543,-1.040985224459817,0.29788240577626834, ,6
tmp2_pre,1.1080189310121737e-4,1.0858027398252727e-4,1.0204606144118553,0.30751005927340935, ,6
pre2_tmp,0.0027479276285922046,0.002122824867750943,1.2944674194925632,0.1955040160343364, ,6
tmp2_pre2,-5.9690815527464495e-5,5.1146087115255345e-5,-1.1670651440637874,0.24318406274624874, ,6
T_1,-0.003600877778741679,0.0031514442819231357,-1.142611912701906,0.25319975727512556, ,6
T_2,-0.001429186768553487,0.00234532433098765,-0.6093770271643564,0.5422745614574107, ,6
tmp,0.014856059255064313,0.004153682997309315,3.5765991927375818,3.480932673188293e-4,***,7
tmp2,-5.74210754664706e-4,1.295324400035786e-4,-4.432949419070947,9.295267873608718e-6,***,7
pre,0.09060180182703656,0.05905330785199819,1.534237541004587,0.1249712251627114, ,7
pre2,-0.04898930892993186,0.02760359887170502,-1.7747435454928377,0.07594024170281474,*,7
tmp_pre,-0.01031646347939889,0.006323858447311136,-1.631355851076234,0.10281525482107878, ,7
tmp2_pre,3.166187665156217e-4,1.7192858990501585e-4,1.8415713564017584,0.06553787406805633,*,7
pre2_tmp,0.004396355781173225,0.002511307137887833,1.7506244914633726,0.08001061369770661,*,7
tmp2_pre2,-1.0686024102592521e-4,6.001207515568561e-5,-1.7806456575398253,0.07497035595912463,*,7
T_1,-0.00925620057260405,0.009723913151130888,-0.9519007861076543,0.34114730083966127, ,7
T_2,-0.009163600902743181,0.009720891669137399,-0.9426708181345601,0.3458493042065115, ,7
tmp,0.013455603825608795,0.006046067642327619,2.22551327931036,0.026046800674308968,**,8
tmp2,-5.309788041186488e-4,1.6853004825323804e-4,-3.150647671570028,0.0016290887921442602,***,8
pre,0.09908253986661625,0.08583161593335602,1.1543827852844915,0.2483432696606672, ,8
pre2,-0.04889079211133492,0.035430019844574764,-1.3799256203019414,0.16760954725955768, ,8
tmp_pre,-0.011570746095883174,0.008470123571477127,-1.366065795645213,0.1719183128935262, ,8
tmp2_pre,3.3553121297797247e-4,2.1110290265101658e-4,1.5894201773845515,0.11196556219169398, ,8
pre2_tmp,0.004690811890973446,0.003136338883251175,1.4956329866085392,0.13474932218448377, ,8
tmp2_pre2,-1.1664826873256434e-4,7.071873753411628e-5,-1.6494676347451853,0.09905186848365848,*,8
T_1,-7.466030057162172e-4,0.0017314113185097019,-0.4312106532599369,0.6663152084821742, ,8
T_2,-7.46603005716239e-4,0.001731411318510196,-0.4312106532598264,0.6663152084822546, ,8
tmp,0.009014416748354109,0.0027855510925007894,3.236134053553194,0.0012116046948489085,***,9
tmp2,-4.033899676848649e-4,9.768562026662484e-5,-4.129471324273166,3.635983466050472e-5,***,9
pre,0.08507408417540849,0.037426041513478885,2.273125362316752,0.023018626449289255,**,9
pre2,-0.06032586207201455,0.019678015732354996,-3.0656476187700945,0.002171991299036186,***,9
tmp_pre,-0.007624450344626383,0.0032987466599015878,-2.3113173367650623,0.020815333107857437,**,9
tmp2_pre,2.1638399786717586e-4,9.139594514842273e-5,2.36754483490245,0.017906550278658288,**,9
pre2_tmp,0.004711175019876494,0.0016032413987202517,2.938531292690592,0.0032977136577600724,***,9
tmp2_pre2,-1.008918458271576e-4,3.5610719753734714e-5,-2.833187493116492,0.0046086345760113535,***,9
T_1,0.0040537999052435115,0.006723990463975681,0.6028860283134055,0.5465845112170866, ,9
T_2,0.0039088130440188395,0.006727101718613207,0.5810545473399861,0.5612036909401172, ,9
tmp,0.023968094490130404,0.005169282465736396,4.636638575856195,3.5412081464506408e-6,***,10
tmp2,-9.834275593733639e-4,1.3850739113639569e-4,-7.100181090010784,1.245935227787331e-12,***,10
pre,0.11672182268389028,0.1043814906764125,1.1182233739670704,0.26347160380763324, ,10
pre2,-0.05386897829076626,0.0643218128438838,-0.8374916052430342,0.4023162936813855, ,10
tmp_pre,-0.020610754652455467,0.008894439285147618,-2.3172629540427963,0.02048941202989311,**,10
tmp2_pre,7.012424405320486e-4,2.001020323042883e-4,3.5044243801866704,4.575955055922891e-4,***,10
pre2_tmp,0.006479212204093547,0.005371836880149124,1.206144629602692,0.22776172916572238, ,10
tmp2_pre2,-1.8912732286558226e-4,1.1367514130888985e-4,-1.6637526963935407,0.09616186065883728,*,10
T_1,-0.0165365590898744,0.007218736134314134,-2.2907831484888552,0.02197595875194915,**,10
T_2,-0.01610214166173405,0.0072018603510164035,-2.2358308654876295,0.025362852292752067,**,10
tmp,0.01471458216488446,0.003516298007221564,4.184680062572776,2.855680125696281e-5,***,11
tmp2,-6.442103991725673e-4,1.141458730380804e-4,-5.643746742886194,1.6638877868779517e-8,***,11
pre,0.0321492263686502,0.045928240959849195,0.6999881923793965,0.4839346784285744, ,11
pre2,-0.014259406572315692,0.02147672245372743,-0.6639470525839419,0.506724199646134, ,11
tmp_pre,-0.005811152638532599,0.004609680887525925,-1.2606409815173822,0.2074382264440786, ,11
tmp2_pre,2.139011772810147e-4,1.2428388933683322e-4,1.721069226448984,0.0852382627049629,*,11
pre2_tmp,0.0013784342098678787,0.0019264257665071007,0.7155397492254202,0.4742755883279565, ,11
