ISO_C3,start,end,avg_level,trend_annual,Pvalue,avg_vol_withinYr,avg_vol_btwYr,inter_quartile,mad
AFG,11.96036087,12.86702086,12.33535009,0.02080599,6.84E-07,9.024294208,0.600983924,0.86949238,0.496545154
AGO,20.9079452,21.47685398,21.29761361,0.013662847,5.18E-10,1.481569734,0.33358206,0.425765175,0.26915744
ALB,12.54876209,13.73300438,12.83258012,0.026886956,1.40E-11,6.978705724,0.620368778,1.001553845,0.526935471
ARE,26.71422374,27.80982924,27.02826546,0.024696369,5.31E-11,6.004293373,0.580938785,0.938538955,0.480345731
ARG,16.90998371,17.44085054,17.11505117,0.011352343,1.04E-05,4.882429878,0.361404312,0.434244375,0.291808196
ARM,7.164338609,8.182093035,7.265699213,0.02296859,2.46E-04,10.27728333,0.857495618,0.990583826,0.666311813
AUS,16.45211842,17.45711848,16.93771544,0.01862983,9.90E-14,4.106106253,0.404897753,0.51880159,0.333259933
AUT,7.350634313,9.159074495,8.132357556,0.037590608,2.01E-12,7.463330773,0.845473911,1.235599369,0.693648727
AZE,12.62714253,13.6808533,12.80686709,0.0241016,1.96E-05,9.290798288,0.788444403,0.94385187,0.637070939
BDI,20.0794402,21.0367142,20.64067951,0.026110466,2.93E-15,0.660404719,0.548798792,0.81517153,0.471090074
BEL,9.446448235,11.07929338,10.29199168,0.036669106,5.71E-11,5.876390992,0.863535695,1.405531626,0.731907351
BEN,27.27693408,28.04455509,27.54357994,0.018400408,2.76E-09,1.442376744,0.463501433,0.741435735,0.384018648
BFA,27.99278313,28.88043027,28.41682664,0.019451124,1.08E-12,2.454287367,0.434212342,0.706628905,0.365490745
BGD,25.49744847,25.65105017,25.64535962,0.0080544,0.002832171,3.873659247,0.362159856,0.525352885,0.294578645
BGR,10.51720673,11.88278711,10.82378258,0.029646475,1.63E-09,8.293027904,0.739177012,1.18461046,0.612179469
BHS,24.75065967,25.87905062,25.32232086,0.023160984,1.01E-14,2.572936438,0.492227397,0.7677301,0.410153928
BIH,9.268032338,10.99925656,9.867387046,0.037014363,8.41E-13,7.609362219,0.823789275,1.268246032,0.680566371
BLR,6.007799877,7.961943535,6.919471046,0.038818339,2.65E-08,9.185266692,1.026812177,1.512930217,0.81137897
BLZ,25.0809978,26.12057722,25.59834263,0.020949548,1.84E-17,1.77419441,0.423589844,0.61213259,0.347163929
BOL,16.13706106,15.82281571,15.86805903,-0.005196522,0.068707062,2.076909006,0.373980681,0.54422961,0.315178564
BRA,22.61647802,23.62551915,22.98736376,0.022711376,8.99E-16,1.833217066,0.472638507,0.65713725,0.374675024
BRN,26.5103692,27.27711749,26.88426682,0.014922788,1.16E-13,0.489805187,0.324868741,0.46625858,0.264216194
BTN,15.58835091,16.25724786,15.95460463,0.015636435,1.26E-07,4.554384321,0.430129484,0.468877935,0.322587757
BWA,21.00743333,22.07744047,21.46215465,0.026753205,2.88E-12,4.42864536,0.604427046,0.870247735,0.505223208
CAF,25.0067415,25.31508999,24.9640529,0.011961073,9.00E-06,1.205010163,0.378580416,0.58438173,0.31464263
CAN,5.361739111,6.537261481,5.847425618,0.022928427,1.46E-06,10.2892391,0.67871094,0.962341642,0.552566774
CHE,7.186802574,8.842113687,7.90719255,0.034944858,1.50E-12,6.575489163,0.783117968,1.132497809,0.654057106
CHL,11.81766601,12.33838857,11.97090713,0.011964721,8.69E-07,3.925133546,0.348215189,0.510367525,0.2787439
CHN,13.68991891,14.63662586,14.17146972,0.022132769,1.39E-12,9.142758326,0.495532625,0.73797432,0.406080562
CIV,26.4573039,26.97685823,26.5849944,0.014509112,3.26E-09,1.199070219,0.36671347,0.45140771,0.28686238
CMR,24.89444988,25.37368802,25.03403596,0.013411346,1.22E-09,1.2649947,0.33254681,0.505905615,0.266657489
COD,23.22660302,23.85774669,23.59522695,0.017117972,1.23E-12,0.626966659,0.382689304,0.52748227,0.32658931
COG,24.67702781,25.24351099,24.92803091,0.011900523,1.82E-07,1.249719626,0.330663046,0.49645365,0.273729236
COL,20.45670871,21.16637679,20.65298344,0.013401056,1.12E-06,0.36986465,0.393224119,0.44614327,0.305234442
COM,24.14250034,24.61166697,24.21313596,0.012956845,1.95E-08,1.333838335,0.340304946,0.487499875,0.280383952
CPV,22.91166708,23.22416709,22.90847496,0.01420904,5.87E-05,1.877500091,0.489586253,0.63750005,0.398443957
CRI,23.24998104,23.85715993,23.47961769,0.016164758,8.06E-09,0.664247486,0.416291901,0.600599005,0.330629839
CUB,24.94370598,25.9302747,25.44891701,0.021686869,5.18E-15,1.982783717,0.458107418,0.676879615,0.389448107
CYP,18.50498397,19.60392059,18.6315871,0.025654485,1.82E-07,6.254816833,0.712795215,1.06239435,0.585526551
CZE,7.568976579,9.348742584,8.336342233,0.036391983,9.11E-10,7.65354741,0.897577444,1.256815502,0.724391541
DEU,8.491743053,10.17355309,9.309820655,0.036227436,1.88E-10,6.737679928,0.869338963,1.440788476,0.725899239
DJI,27.34819597,28.51656396,27.88151952,0.021520995,4.32E-14,3.419881163,0.463786022,0.590854885,0.375594883
DNK,7.517418443,9.022576196,8.311037238,0.032924581,1.19E-07,6.323932027,0.90422229,1.424802336,0.746729847
DOM,24.27681392,24.95231116,24.57342241,0.015384635,5.03E-10,1.377423294,0.375427135,0.50774854,0.311652288
DZA,16.53997406,17.4548192,16.88956041,0.024364108,5.10E-10,6.622657712,0.59469009,0.927505405,0.508565204
ECU,19.73036726,20.4315714,20.08002442,0.012397993,8.61E-04,0.626526695,0.504148124,0.558020315,0.391396396
EGY,21.36446501,22.67900843,21.59738903,0.02552158,1.21E-08,5.610969319,0.663088008,0.781878165,0.535129006
ERI,23.54897475,25.13191747,24.33740991,0.030292769,4.72E-17,2.205672364,0.616491403,0.829880865,0.497478962
ESP,13.995055,15.1790111,14.48798505,0.028832444,2.72E-14,5.933954659,0.618522825,0.98206172,0.524699078
EST,4.637996661,6.483308581,5.606301255,0.037301487,3.06E-07,8.58691572,1.051700744,1.6288427,0.883608957
ETH,18.69770806,19.97367913,19.33511397,0.02444991,1.26E-17,1.174289784,0.493113726,0.69715899,0.400402436
FIN,3.242867401,4.937988056,4.063884145,0.034667294,3.50E-06,9.151819307,1.058118697,1.794615313,0.883822042
FJI,23.82665943,24.19824753,23.96948082,0.009072599,2.98E-05,1.339252836,0.302497905,0.428887235,0.242964989
FRA,11.1331191,12.66392936,11.85895197,0.034291671,3.97E-13,5.762803756,0.75661884,1.264761565,0.64990955
FRO,5.698333439,6.773333474,6.193502935,0.023068382,5.47E-09,3.003549321,0.589245637,0.808333427,0.48140382
GAB,25.50913839,25.84511819,25.51486868,0.01086981,1.16E-06,1.025702679,0.319321737,0.471388765,0.260067337
GBR,8.831461294,9.939474145,9.458512272,0.02582653,4.67E-10,4.690491515,0.629404885,1.061739889,0.523893598
GEO,10.19900363,11.21045321,10.30606424,0.021119651,2.69E-04,8.465546685,0.792811414,0.957896525,0.611453523
GHA,26.95753045,27.68166157,27.21867104,0.017382441,1.63E-10,1.290239547,0.416157883,0.5387437,0.327898147
GIN,25.26271861,26.05025602,25.57872737,0.018274684,8.53E-14,1.463709117,0.396566152,0.58435033,0.329418629
GMB,26.47123584,27.15460449,26.68964742,0.019887941,1.79E-09,1.357966925,0.496784927,0.67229493,0.402907081
GNB,26.61446623,27.39831121,26.91025151,0.020870614,3.78E-12,1.419643917,0.473164035,0.684023945,0.39294549
GNQ,24.0027016,24.42457899,24.08504556,0.01186925,1.43E-08,0.841227521,0.30953082,0.50551775,0.259578693
GRC,14.91331741,15.68850627,14.91188412,0.019284297,1.60E-06,7.019459808,0.572567101,0.977005495,0.487094214
GRL,-6.182020596,-5.306366422,-6.060203273,0.025359096,1.42E-04,7.975176587,0.916227417,1.117373505,0.715542153
