ISO_N3,ISO_C3,cntry.name,longmin,longmax,latmin,latmax
4,AFG,Afghanistan,60.53,75.16,29.32,38.49
8,ALB,Albania,19.3,21.02,39.62,42.69
12,DZA,Algeria,-8.68,12,19.06,37.12
24,AGO,Angola,11.64,24.08,-17.93,-4.44
31,AZE,Azerbaijan,44.79,50.39,38.27,41.86
32,ARG,Argentina,-73.42,-53.63,-55.25,-21.83
36,AUS,Australia,113.34,153.57,-43.63,-10.67
40,AUT,Austria,9.48,16.98,46.43,49.04
44,BHS,Bahamas,-78.98,-77,23.71,27.04
50,BGD,Bangladesh,88.08,92.67,20.67,26.45
51,ARM,Armenia,43.58,46.51,38.74,41.25
56,BEL,Belgium,2.51,6.16,49.53,51.48
64,BTN,Bhutan,88.81,92.1,26.72,28.3
68,BOL,Bolivia,-69.59,-57.5,-22.87,-9.76
70,BIH,Bosnia & Herzegovina,15.75,19.6,42.65,45.23
72,BWA,Botswana,19.9,29.43,-26.83,-17.66
76,BRA,Brazil,-73.99,-34.73,-33.77,5.24
84,BLZ,Belize,-89.23,-88.11,15.89,18.5
90,SLB,Solomon Islands,156.49,162.4,-10.83,-6.6
96,BRN,Brunei,114.2,115.45,4.01,5.45
100,BGR,Bulgaria,22.38,28.56,41.23,44.23
104,MMR,Myanmar (Burma),92.3,101.18,9.93,28.34
108,BDI,Burundi,29.02,30.75,-4.5,-2.35
112,BLR,Belarus,23.2,32.69,51.32,56.17
116,KHM,Cambodia,102.35,107.61,10.49,14.57
120,CMR,Cameroon,8.49,16.01,1.73,12.86
124,CAN,Canada,-141,-52.65,41.68,73.23
132,CPV,Cape Verde,-25.5731073,-22.4547752,14.6066229,17.407117
140,CAF,Central African Republic,14.46,27.37,2.27,11.14
144,LKA,Sri Lanka,79.7,81.79,5.97,9.82
148,TCD,Chad,13.54,23.89,7.42,23.41
152,CHL,Chile,-75.64,-66.96,-55.61,-17.58
156,CHN,China,73.68,135.03,18.2,53.46
170,COL,Colombia,-78.99,-66.88,-4.3,12.44
174,COM,Comoros,43.025305,44.7451922,-12.621,-11.165
178,COG,Congo - Brazzaville,11.09,18.45,-5.04,3.73
180,COD,Congo - Kinshasa,12.18,31.17,-13.26,5.26
188,CRI,Costa Rica,-85.94,-82.55,8.23,11.22
191,HRV,Croatia,13.66,19.39,42.48,46.5
192,CUB,Cuba,-84.97,-74.18,19.86,23.19
196,CYP,Cyprus,32.26,34,34.57,35.17
203,CZE,Czechia,12.24,18.85,48.56,51.12
204,BEN,Benin,0.77,3.8,6.14,12.24
208,DNK,Denmark,8.09,12.69,54.8,57.73
214,DOM,Dominican Republic,-71.95,-68.32,17.6,19.88
218,ECU,Ecuador,-80.97,-75.23,-4.96,1.38
222,SLV,El Salvador,-90.1,-87.72,13.15,14.42
226,GNQ,Equatorial Guinea,9.31,11.29,1.01,2.28
231,ETH,Ethiopia,32.95,47.79,3.42,14.96
232,ERI,Eritrea,36.32,43.08,12.46,18
233,EST,Estonia,23.34,28.13,57.47,59.61
234,FRO,Faroe Islands,-7.6878667,-6.2565525,61.3915553,62.3942991
242,FJI,Fiji,-180,180,-18.29,-16.02
246,FIN,Finland,20.65,31.52,59.85,70.16
250,FRA,France,-5,9.56,42.5,51.15
258,PYF,French Polynesia,-154.9360599,-134.244799,-28.0990232,-7.6592173
262,DJI,Djibouti,41.66,43.32,10.93,12.7
266,GAB,Gabon,8.8,14.43,-3.98,2.33
268,GEO,Georgia,39.96,46.64,41.06,43.55
270,GMB,Gambia,-16.84,-13.84,13.13,13.88
275,PSE,Palestinian Territories,34.93,35.55,31.35,32.53
276,DEU,Germany,5.99,15.02,47.3,54.98
288,GHA,Ghana,-3.24,1.06,4.71,11.1
296,KIR,Kiribati,-174.743355,177.0479136,-11.646,4.9
300,GRC,Greece,20.15,26.6,34.92,41.83
304,GRL,Greenland,-73.3,-12.21,60.04,83.65
320,GTM,Guatemala,-92.23,-88.23,13.74,17.82
324,GIN,Guinea,-15.13,-7.83,7.31,12.59
328,GUY,Guyana,-61.41,-56.54,1.27,8.37
332,HTI,Haiti,-74.46,-71.62,18.03,19.92
340,HND,Honduras,-89.35,-83.15,12.98,16.01
348,HUN,Hungary,16.2,22.71,45.76,48.62
352,ISL,Iceland,-24.33,-13.61,63.5,66.53
356,IND,India,68.18,97.4,7.97,35.49
360,IDN,Indonesia,95.29,141.03,-10.36,5.48
364,IRN,Iran,44.11,63.32,25.08,39.71
368,IRQ,Iraq,38.79,48.57,29.1,37.39
372,IRL,Ireland,-9.98,-6.03,51.67,55.13
376,ISR,Israel,34.27,35.84,29.5,33.28
380,ITA,Italy,6.75,18.48,36.62,47.12
384,CIV,Côte d’Ivoire,-8.6,-2.56,4.34,10.52
388,JAM,Jamaica,-78.34,-76.2,17.7,18.52
392,JPN,Japan,129.41,145.54,31.03,45.55
398,KAZ,Kazakhstan,46.47,87.36,40.66,55.39
400,JOR,Jordan,34.92,39.2,29.2,33.38
404,KEN,Kenya,33.89,41.86,-4.68,5.51
408,PRK,North Korea,124.27,130.78,37.67,42.99
410,KOR,South Korea,126.12,129.47,34.39,38.61
414,KWT,Kuwait,46.57,48.42,28.53,30.06
417,KGZ,Kyrgyzstan,69.46,80.26,39.28,43.3
418,LAO,Laos,100.12,107.56,13.88,22.46
422,LBN,Lebanon,35.13,36.61,33.09,34.64
426,LSO,Lesotho,27,29.33,-30.65,-28.65
428,LVA,Latvia,21.06,28.18,55.62,57.97
430,LBR,Liberia,-11.44,-7.54,4.36,8.54
434,LBY,Libya,9.32,25.16,19.58,33.14
440,LTU,Lithuania,21.06,26.59,53.91,56.37
442,LUX,Luxembourg,5.67,6.24,49.44,50.13
450,MDG,Madagascar,43.25,50.48,-25.6,-12.04
454,MWI,Malawi,32.69,35.77,-16.8,-9.23
458,MYS,Malaysia,100.09,119.18,0.77,6.93
466,MLI,Mali,-12.17,4.27,10.1,24.97
478,MRT,Mauritania,-17.06,-4.92,14.62,27.4
480,MUS,Mauritius,56.3825151,63.7151319,-20.725,-10.138
484,MEX,Mexico,-117.13,-86.81,14.54,32.72
496,MNG,Mongolia,87.75,119.77,41.6,52.05
498,MDA,Moldova,26.62,30.02,45.49,48.47
499,MNE,Montenegro,18.45,20.34,41.88,43.52
504,MAR,Morocco,-17.02,-1.12,21.42,35.76
508,MOZ,Mozambique,30.18,40.78,-26.74,-10.32
512,OMN,Oman,52,59.81,16.65,26.4
516,NAM,Namibia,11.73,25.08,-29.05,-16.94
524,NPL,Nepal,80.09,88.17,26.4,30.42
528,NLD,Netherlands,3.31,7.09,50.8,53.51
540,NCL,New Caledonia,164.03,167.12,-22.4,-20.11
548,VUT,Vanuatu,166.63,167.84,-16.6,-14.63
554,NZL,New Zealand,166.51,178.52,-46.64,-34.45
558,NIC,Nicaragua,-87.67,-83.15,10.73,15.02
562,NER,Niger,0.3,15.9,11.66,23.47
566,NGA,Nigeria,2.69,14.58,4.24,13.87
578,NOR,Norway,4.99,31.29,58.08,70.92
586,PAK,Pakistan,60.87,77.84,23.69,37.13
591,PAN,Panama,-82.97,-77.24,7.22,9.61
598,PNG,Papua New Guinea,141,156.02,-10.65,-2.5
600,PRY,Paraguay,-62.69,-54.29,-27.55,-19.34
604,PER,Peru,-81.41,-68.67,-18.35,-0.06
608,PHL,Philippines,117.17,126.54,5.58,18.51
616,POL,Poland,14.07,24.03,49.03,54.85
620,PRT,Portugal,-9.53,-6.39,36.84,42.28
624,GNB,Guinea-Bissau,-16.68,-13.7,11.04,12.63
626,TLS,Timor-Leste,124.97,127.34,-9.39,-8.27
630,PRI,Puerto Rico,-67.24,-65.59,17.95,18.52
634,QAT,Qatar,50.74,51.61,24.56,26.11
642,ROU,Romania,20.22,29.63,43.69,48.22
643,RUS,Russia,-180,180,41.15,81.25
646,RWA,Rwanda,29.02,30.82,-2.92,-1.13
670,VCT,St. Vincent & Grenadines,-61.6657471,-60.9094146,12.5166548,13.583
682,SAU,Saudi Arabia,34.63,55.67,16.35,32.16
686,SEN,Senegal,-17.63,-11.47,12.33,16.6
688,SRB,Serbia,18.83,22.99,42.25,46.17
694,SLE,Sierra Leone,-13.25,-10.23,6.79,10.05
703,SVK,Slovakia,16.88,22.56,47.76,49.57
704,VNM,Vietnam,102.17,109.34,8.6,23.35
705,SVN,Slovenia,13.7,16.56,45.45,46.85
706,SOM,Somalia,40.98,51.13,-1.68,12.02
710,ZAF,South Africa,16.34,32.83,-34.82,-22.09
716,ZWE,Zimbabwe,25.26,32.85,-22.27,-15.51
724,ESP,Spain,-9.39,3.04,35.95,43.75
728,SSD,South Sudan,23.89,35.3,3.51,12.25
729,SDN,Sudan,21.94,38.41,8.62,22
740,SUR,Suriname,-58.04,-53.96,1.82,6.03
748,SWZ,Eswatini,30.68,32.07,-27.29,-25.66
752,SWE,Sweden,11.03,23.9,55.36,69.11
756,CHE,Switzerland,6.02,10.44,45.78,47.83
760,SYR,Syria,35.7,42.35,32.31,37.23
762,TJK,Tajikistan,67.44,74.98,36.74,40.96
764,THA,Thailand,97.38,105.59,5.69,20.42
768,TGO,Togo,-0.05,1.87,5.93,11.02
780,TTO,Trinidad & Tobago,-61.95,-60.9,10,10.89
784,ARE,United Arab Emirates,51.58,56.4,22.5,26.06
788,TUN,Tunisia,7.52,11.49,30.31,37.35
792,TUR,Turkey,26.04,44.79,35.82,42.14
795,TKM,Turkmenistan,52.5,66.55,35.27,42.75
800,UGA,Uganda,29.58,35.04,-1.44,4.25
804,UKR,Ukraine,22.09,40.08,44.36,52.34
807,MKD,North Macedonia,20.46,22.95,40.84,42.32
818,EGY,Egypt,24.7,36.87,22,31.59
826,GBR,United Kingdom,-7.57,1.68,49.96,58.64
834,TZA,Tanzania,29.34,40.32,-11.72,-0.95
840,USA,United States,-125,-66.96,25,49.5
850,VIR,U.S. Virgin Islands,-65.159094,-64.512674,17.623468,18.464984
854,BFA,Burkina Faso,-5.47,2.18,9.61,15.12
858,URY,Uruguay,-58.43,-53.21,-34.95,-30.11
860,UZB,Uzbekistan,55.93,73.06,37.14,45.59
862,VEN,Venezuela,-73.3,-59.76,0.72,12.16
882,WSM,Samoa,-173.0091864,-171.1929229,-14.2770916,-13.2381892
887,YEM,Yemen,42.6,53.11,12.59,19
894,ZMB,Zambia,21.89,33.49,-17.96,-8.24
