ISO_C3,fuel_export,oil_rent,ISO_N3,cntry.name,region,fuel_export_dummy,oil_rent_dummy
ABW,0.07558008030769231,0,NA,NA,NA,0,0
AFG,11.653718216214285,0.2228798418064516,4,Afghanistan,_EECA,0,0
AGO,73.38100096051852,27.980430598473685,24,Angola,_SSAF,1,1
ALB,8.09621122612,2.7967149411891894,8,Albania,_EECA,0,0
AND,0.04807847204166667,NA,NA,NA,NA,0,NA
ARE,55.52420050075862,23.644669709130437,784,United Arab Emirates,_MENA,0,1
ARG,5.866869014035714,2.220411022862745,32,Argentina,_LAC,0,0
ARM,3.978633030166667,0,51,Armenia,_EECA,0,0
ASM,NA,0,NA,NA,NA,NA,0
ATG,13.517846234142853,0,NA,NA,NA,0,0
AUS,17.790734344898304,0.8927329875490196,36,Australia,_WEOFF,0,0
AUT,2.1437303810169492,0.07199360337254902,40,Austria,_WEOFF,0,0
AZE,86.11015047807692,24.04685691707143,31,Azerbaijan,_EECA,1,1
BDI,0.7269061623333333,0,108,Burundi,_SSAF,0,0
BEL,6.180292684959184,0,56,Belgium,_WEOFF,0,0
BEN,0.5824929037948717,0.43806756649999995,204,Benin,_SSAF,0,0
BFA,1.4995206124255318,0,854,Burkina Faso,_SSAF,0,0
BGD,1.0848402501142858,0.03914616627450981,50,Bangladesh,_SEAS,0,0
BGR,10.124547250423078,0.0397296993902439,100,Bulgaria,_EECA,0,0
BHR,50.009797339857144,21.681985667487805,NA,NA,NA,0,1
BHS,29.369264993666672,0,44,Bahamas,_LAC,0,0
BIH,9.189421886,0,70,Bosnia & Herzegovina,_EECA,0,0
BLR,26.189964704782607,0.887086301,112,Belarus,_EECA,0,0
BLZ,9.835209420057145,0.994254562780488,84,Belize,_LAC,0,0
BMU,15.246796091434781,0,NA,NA,NA,0,0
BOL,27.010559102392858,2.510194834784314,68,Bolivia,_LAC,0,0
BRA,4.380831787534483,1.0725571047254903,76,Brazil,_LAC,0,0
BRB,4.336808919431373,0.47126804106382975,NA,NA,NA,0,0
