"ISO_C3","tmp_impact","pre_impact","all_impact","all_impact_c"
"AFG",-0.00190222838371465,5.02240654538521e-05,-0.0018520043182608,-0.0018520043182608
"AGO",-0.00451345803210303,-0.000921426319553187,-0.00543488435165622,-0.00543488435165622
"ALB",-0.00275342122126015,0.000374811137595306,-0.00237861008366484,-0.00237861008366484
"ARE",-0.0192156050530928,0.00035265534878903,-0.0188629497043038,-0.0188629497043038
"ARG",-0.00287345377617316,-0.000148178008539572,-0.00302163178471274,-0.00302163178471274
"ARM",0.00199871084231253,0.000249230930183891,0.00224794177249642,0.00224794177249642
"AUS",-0.00543516686655785,0.000101461642354665,-0.00533370522420318,-0.00533370522420318
"AUT",0.00182677667131722,-0.00049981392803917,0.00132696274327805,0.00132696274327805
"AZE",-0.00291636207535464,-2.93369824571778e-05,-0.00294569905781182,-0.00294569905781182
"BDI",-0.00667712247786247,-0.00015227533832706,-0.00682939781618953,-0.00682939781618953
"BEL",-0.000853542077784233,0.00013289684792302,-0.000720645229861212,-0.000720645229861212
"BEN",-0.00943718946802261,-0.00327889295615634,-0.0127160824241789,-0.0127160824241789
"BFA",-0.0124915121873213,-0.000982891320367637,-0.0134744035076889,-0.0134744035076889
"BGD",-0.00140791953994156,-0.000289955606901666,-0.00169787514684323,-0.00169787514684323
"BGR",-0.00166411425184818,-0.000140067360401656,-0.00180418161224984,-0.00180418161224984
"BHS",-0.0113034948646937,0.00133802424600959,-0.00996547061868415,-0.00996547061868415
"BIH",-0.00045407127726977,-0.000445456199514899,-0.000899527476784669,-0.000899527476784669
"BLR",0.00421517228684089,6.70634214660149e-05,0.00428223570830691,0.00428223570830691
"BLZ",-0.009616275934623,0.00149642738262302,-0.00811984855199999,-0.00811984855199999
"BOL",0.00149371827876153,-0.000192989939540712,0.00130072833922082,0.00130072833922082
"BRA",-0.00819412830767902,-3.60105826268568e-05,-0.00823013889030588,-0.00823013889030588
"BRN",-0.00964380007556503,-0.00511434854699133,-0.0147581486225564,-0.0147581486225564
"BTN",-4.54829239622968e-05,-0.000721145715122834,-0.00076662863908513,-0.00076662863908513
"BWA",-0.0108778877014394,8.35316925948375e-05,-0.0107943560088446,-0.0107943560088446
"CAF",-0.00297355008769012,-0.000669212053634548,-0.00364276214132467,-0.00364276214132467
"CAN",0.00307053179320393,-0.00163702478184057,0.00143350701136335,0.00143350701136335
"CHE",0.00289478520497875,0.000668564619801128,0.00356334982477988,0.00356334982477988
"CHL",-0.00100188090502959,9.6739298949738e-05,-0.000905141606079852,-0.000905141606079852
"CHN",-0.00302380143702084,-0.000206198843827869,-0.00323000028084871,-0.00323000028084871
"CIV",-0.00555793027458126,-0.00238691210946571,-0.00794484238404698,-0.00794484238404698
"CMR",-0.00436599342162358,-0.00206566935536734,-0.00643166277699092,-0.00643166277699092
"COD",-0.00534664091223805,-0.000598582591838045,-0.00594522350407609,-0.00594522350407609
"COG",-0.00531401642369935,9.10404668499768e-05,-0.00522297595684937,-0.00522297595684937
