
="",="xtabond",="xtabond2"
="",="(1)",="(2)"
="",="logd_gdp",="logd_gdp"

="L.logd_gdp",="0.0136",="0.00771"
="",="(0.19)",="(0.10)"

="tmp",="0.0230***",="0.0395**"
="",="(4.34)",="(2.55)"

="tmp2",="-0.000866***",="-0.00120***"
="",="(-4.77)",="(-2.99)"

="pre",="0.0958",="0.459**"
="",="(1.60)",="(2.09)"

="pre2",="-0.0503*",="-0.246**"
="",="(-1.65)",="(-2.28)"

="tmp_pre",="-0.0142**",="-0.0487**"
="",="(-2.37)",="(-2.46)"

="tmp2_pre",="0.000481***",="0.00126***"
="",="(2.97)",="(2.70)"

="tmp_pre2",="0.00552**",="0.0241**"
="",="(1.98)",="(2.57)"

="tmp2_pre2",="-0.000154**",="-0.000583***"
="",="(-2.37)",="(-2.77)"

="N",="6212",="6212"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
