="",="(1)",="",="",=""
="",="logd_gdp",="",="",=""
="",="b",="se",="t",="p"
="L.logd_gdp",="0.0077",="(0.0786)",="0.10",="0.922"
="tmp",="0.0395",="(0.0155)",="2.55",="0.011**"
="tmp2",="-0.0012",="(0.0004)",="-2.99",="0.003***"
="pre",="0.4594",="(0.2197)",="2.09",="0.037**"
="pre2",="-0.2459",="(0.1078)",="-2.28",="0.023**"
="tmp_pre",="-0.0487",="(0.0198)",="-2.46",="0.014**"
="tmp2_pre",="0.0013",="(0.0005)",="2.70",="0.007***"
="tmp_pre2",="0.0241",="(0.0094)",="2.57",="0.010**"
="tmp2_pre2",="-0.0006",="(0.0002)",="-2.77",="0.006***"
="1963.year",="-0.0346",="(0.0310)",="-1.12",="0.264"
="1964.year",="-0.0053",="(0.0134)",="-0.39",="0.694"
="1966.year",="-0.0028",="(0.0071)",="-0.39",="0.697"
="1967.year",="-0.0106",="(0.0101)",="-1.05",="0.293"
="1968.year",="0.0035",="(0.0112)",="0.31",="0.756"
="1969.year",="0.0171",="(0.0083)",="2.06",="0.039**"
="1970.year",="0.0113",="(0.0093)",="1.22",="0.224"
="1971.year",="-0.0009",="(0.0094)",="-0.10",="0.924"
="1972.year",="0.0059",="(0.0097)",="0.61",="0.540"
="1973.year",="-0.0028",="(0.0097)",="-0.29",="0.771"
="1974.year",="-0.0082",="(0.0094)",="-0.87",="0.384"
="1975.year",="-0.0334",="(0.0098)",="-3.42",="0.001***"
="1976.year",="0.0062",="(0.0128)",="0.48",="0.630"
="1977.year",="-0.0168",="(0.0102)",="-1.64",="0.101"
="1978.year",="-0.0212",="(0.0134)",="-1.58",="0.113"
="1979.year",="-0.0101",="(0.0096)",="-1.06",="0.291"
="1980.year",="-0.0213",="(0.0094)",="-2.25",="0.024**"
="1981.year",="-0.0268",="(0.0106)",="-2.54",="0.011**"
="1982.year",="-0.0392",="(0.0105)",="-3.72",="0.000***"
="1983.year",="-0.0399",="(0.0125)",="-3.19",="0.001***"
="1984.year",="-0.0193",="(0.0107)",="-1.81",="0.070*"
="1985.year",="-0.0145",="(0.0082)",="-1.76",="0.078*"
="1986.year",="-0.0106",="(0.0079)",="-1.33",="0.183"
="1987.year",="-0.0147",="(0.0084)",="-1.75",="0.081*"
="1988.year",="-0.0027",="(0.0089)",="-0.31",="0.758"
="1989.year",="-0.0139",="(0.0083)",="-1.67",="0.094*"
="1990.year",="-0.0054",="(0.0071)",="-0.76",="0.449"
="1991.year",="-0.0199",="(0.0149)",="-1.34",="0.181"
="1992.year",="-0.0109",="(0.0065)",="-1.66",="0.096*"
="1993.year",="-0.0115",="(0.0067)",="-1.71",="0.086*"
="1994.year",="-0.0155",="(0.0084)",="-1.85",="0.065*"
="1995.year",="0.0032",="(0.0059)",="0.54",="0.587"
="1996.year",="0.0075",="(0.0043)",="1.74",="0.082*"
="1998.year",="-0.0029",="(0.0058)",="-0.50",="0.615"
="1999.year",="-0.0050",="(0.0051)",="-0.99",="0.321"
="2000.year",="0.0015",="(0.0058)",="0.26",="0.797"
="2001.year",="-0.0076",="(0.0048)",="-1.58",="0.114"
="2002.year",="-0.0066",="(0.0070)",="-0.95",="0.341"
="2003.year",="-0.0004",="(0.0078)",="-0.05",="0.961"
="2004.year",="0.0204",="(0.0044)",="4.69",="0.000***"
="2005.year",="0.0124",="(0.0045)",="2.77",="0.006***"
="2006.year",="0.0198",="(0.0041)",="4.85",="0.000***"
="2007.year",="0.0191",="(0.0044)",="4.31",="0.000***"
="2008.year",="0.0023",="(0.0048)",="0.48",="0.631"
="2009.year",="-0.0201",="(0.0048)",="-4.16",="0.000***"
="2010.year",="0.0226",="(0.0043)",="5.20",="0.000***"
="2011.year",="-0.0005",="(0.0078)",="-0.06",="0.949"
="2012.year",="0.0129",="(0.0079)",="1.63",="0.104"
="2013.year",="0.0018",="(0.0048)",="0.38",="0.705"
="2014.year",="0.0018",="(0.0035)",="0.53",="0.599"
="2015.year",="-0.0020",="(0.0044)",="-0.44",="0.657"
="2016.year",="0.0007",="(0.0032)",="0.21",="0.831"
="2017.year",="0.0034",="(0.0022)",="1.54",="0.124"
="2019.year",="-0.0051",="(0.0022)",="-2.30",="0.021**"
="1.country_id#c.trend",="-7.3941",="(9.8256)",="-0.75",="0.452"
="2.country_id#c.trend",="16.1742",="(18.1125)",="0.89",="0.372"
="3.country_id#c.trend",="0.0000",="(.)",=".",="."
="4.country_id#c.trend",="0.0000",="(.)",=".",="."
="5.country_id#c.trend",="14.5931",="(16.6670)",="0.88",="0.381"
="6.country_id#c.trend",="0.0000",="(.)",=".",="."
="7.country_id#c.trend",="0.0000",="(.)",=".",="."
="8.country_id#c.trend",="0.0000",="(.)",=".",="."
="9.country_id#c.trend",="0.0000",="(.)",=".",="."
="10.country_id#c.trend",="10.7853",="(14.4055)",="0.75",="0.454"
="11.country_id#c.trend",="-4.3715",="(10.5295)",="-0.42",="0.678"
="12.country_id#c.trend",="-2.4842",="(8.9516)",="-0.28",="0.781"
="13.country_id#c.trend",="0.0000",="(.)",=".",="."
="14.country_id#c.trend",="8.1803",="(13.6783)",="0.60",="0.550"
="15.country_id#c.trend",="0.0000",="(.)",=".",="."
="16.country_id#c.trend",="-3.1395",="(7.8371)",="-0.40",="0.689"
="17.country_id#c.trend",="1.0006",="(2.7113)",="0.37",="0.712"
="18.country_id#c.trend",="0.0000",="(.)",=".",="."
="19.country_id#c.trend",="0.0000",="(.)",=".",="."
="20.country_id#c.trend",="3.9574",="(15.4831)",="0.26",="0.798"
="21.country_id#c.trend",="25.8001",="(29.5476)",="0.87",="0.383"
="22.country_id#c.trend",="0.0000",="(.)",=".",="."
="23.country_id#c.trend",="2.2145",="(5.0267)",="0.44",="0.660"
="24.country_id#c.trend",="13.4272",="(20.2566)",="0.66",="0.507"
="25.country_id#c.trend",="4.8799",="(7.6395)",="0.64",="0.523"
="26.country_id#c.trend",="0.0000",="(.)",=".",="."
="27.country_id#c.trend",="0.0000",="(.)",=".",="."
="28.country_id#c.trend",="0.0000",="(.)",=".",="."
="29.country_id#c.trend",="0.0000",="(.)",=".",="."
="30.country_id#c.trend",="0.0000",="(.)",=".",="."
="31.country_id#c.trend",="-16.2688",="(19.2744)",="-0.84",="0.399"
="32.country_id#c.trend",="0.0078",="(4.5881)",="0.00",="0.999"
="33.country_id#c.trend",="0.0000",="(.)",=".",="."
="34.country_id#c.trend",="0.0000",="(.)",=".",="."
="35.country_id#c.trend",="-19.9444",="(19.3130)",="-1.03",="0.302"
="36.country_id#c.trend",="0.0000",="(.)",=".",="."
="37.country_id#c.trend",="3.4025",="(14.7303)",="0.23",="0.817"
="38.country_id#c.trend",="0.0000",="(.)",=".",="."
="39.country_id#c.trend",="2.6691",="(4.9861)",="0.54",="0.592"
="40.country_id#c.trend",="0.0000",="(.)",=".",="."
="41.country_id#c.trend",="5.7936",="(12.1749)",="0.48",="0.634"
="42.country_id#c.trend",="-49.2752",="(57.7229)",="-0.85",="0.393"
="43.country_id#c.trend",="6.2779",="(11.8786)",="0.53",="0.597"
="44.country_id#c.trend",="13.9454",="(17.3600)",="0.80",="0.422"
="45.country_id#c.trend",="-6.8092",="(13.1077)",="-0.52",="0.603"
="46.country_id#c.trend",="5.1595",="(11.3625)",="0.45",="0.650"
="47.country_id#c.trend",="0.0000",="(.)",=".",="."
="48.country_id#c.trend",="0.0000",="(.)",=".",="."
="49.country_id#c.trend",="0.0000",="(.)",=".",="."
="50.country_id#c.trend",="0.0000",="(.)",=".",="."
="51.country_id#c.trend",="0.0000",="(.)",=".",="."
="52.country_id#c.trend",="18.7718",="(20.6951)",="0.91",="0.364"
="53.country_id#c.trend",="2.1705",="(2.7523)",="0.79",="0.430"
="54.country_id#c.trend",="3.8866",="(4.9021)",="0.79",="0.428"
="55.country_id#c.trend",="0.0000",="(.)",=".",="."
="56.country_id#c.trend",="0.0000",="(.)",=".",="."
="57.country_id#c.trend",="0.0000",="(.)",=".",="."
="58.country_id#c.trend",="0.0000",="(.)",=".",="."
="59.country_id#c.trend",="11.9578",="(13.3063)",="0.90",="0.369"
="60.country_id#c.trend",="0.0000",="(.)",=".",="."
="61.country_id#c.trend",="38.8678",="(42.5429)",="0.91",="0.361"
="62.country_id#c.trend",="-4.4066",="(10.8897)",="-0.40",="0.686"
="63.country_id#c.trend",="0.0000",="(.)",=".",="."
="64.country_id#c.trend",="56.2598",="(64.1050)",="0.88",="0.380"
="65.country_id#c.trend",="7.7403",="(9.1586)",="0.85",="0.398"
="66.country_id#c.trend",="-1.2900",="(1.9674)",="-0.66",="0.512"
="67.country_id#c.trend",="0.0000",="(.)",=".",="."
="68.country_id#c.trend",="-13.7512",="(14.2239)",="-0.97",="0.334"
="69.country_id#c.trend",="0.0000",="(.)",=".",="."
="70.country_id#c.trend",="-15.1349",="(17.2991)",="-0.87",="0.382"
="71.country_id#c.trend",="0.9502",="(5.2482)",="0.18",="0.856"
="72.country_id#c.trend",="0.0000",="(.)",=".",="."
="73.country_id#c.trend",="0.0000",="(.)",=".",="."
="74.country_id#c.trend",="-13.6607",="(15.3712)",="-0.89",="0.374"
="75.country_id#c.trend",="-2.9854",="(19.8548)",="-0.15",="0.880"
="76.country_id#c.trend",="22.4876",="(24.0234)",="0.94",="0.349"
="77.country_id#c.trend",="-15.2292",="(17.3817)",="-0.88",="0.381"
="78.country_id#c.trend",="-28.1311",="(29.4387)",="-0.96",="0.339"
="79.country_id#c.trend",="-12.7920",="(15.0401)",="-0.85",="0.395"
="80.country_id#c.trend",="0.0000",="(.)",=".",="."
="81.country_id#c.trend",="-11.6807",="(16.1863)",="-0.72",="0.471"
="82.country_id#c.trend",="6.6474",="(7.3194)",="0.91",="0.364"
="83.country_id#c.trend",="-12.1698",="(14.1392)",="-0.86",="0.389"
="84.country_id#c.trend",="6.7768",="(11.7679)",="0.58",="0.565"
="85.country_id#c.trend",="0.0000",="(.)",=".",="."
="86.country_id#c.trend",="0.0000",="(.)",=".",="."
="87.country_id#c.trend",="0.0000",="(.)",=".",="."
="88.country_id#c.trend",="0.0000",="(.)",=".",="."
="89.country_id#c.trend",="5.5303",="(5.7456)",="0.96",="0.336"
="90.country_id#c.trend",="0.0000",="(.)",=".",="."
="91.country_id#c.trend",="-4.4964",="(12.6572)",="-0.36",="0.722"
="92.country_id#c.trend",="-27.4098",="(33.7697)",="-0.81",="0.417"
="93.country_id#c.trend",="0.0000",="(.)",=".",="."
="94.country_id#c.trend",="-3.1265",="(11.0902)",="-0.28",="0.778"
="95.country_id#c.trend",="0.0000",="(.)",=".",="."
="96.country_id#c.trend",="0.0000",="(.)",=".",="."
="97.country_id#c.trend",="0.0000",="(.)",=".",="."
="98.country_id#c.trend",="3.0188",="(19.5566)",="0.15",="0.877"
="99.country_id#c.trend",="1.4999",="(3.9001)",="0.38",="0.701"
="100.country_id#c.trend",="10.6774",="(10.2195)",="1.04",="0.296"
="101.country_id#c.trend",="14.9780",="(16.8951)",="0.89",="0.375"
="102.country_id#c.trend",="0.0000",="(.)",=".",="."
="103.country_id#c.trend",="9.4841",="(11.2853)",="0.84",="0.401"
="104.country_id#c.trend",="-29.1877",="(31.0288)",="-0.94",="0.347"
="105.country_id#c.trend",="0.0000",="(.)",=".",="."
="106.country_id#c.trend",="-24.1121",="(26.2803)",="-0.92",="0.359"
="107.country_id#c.trend",="-6.9455",="(11.6485)",="-0.60",="0.551"
="108.country_id#c.trend",="3.1895",="(8.9440)",="0.36",="0.721"
="109.country_id#c.trend",="0.0000",="(.)",=".",="."
="110.country_id#c.trend",="-1.1987",="(2.2157)",="-0.54",="0.589"
="111.country_id#c.trend",="-16.8257",="(20.9246)",="-0.80",="0.421"
