lag,T,T2,P,P2,T*P,T2*P,T*P2,T2*P2
L^0,0.02300693,-8.6623e-4,0.09581475,-0.05029616,-0.01422463,4.8133e-4,0.00552254,-1.5432e-4
L^1,3.134880568633e-4,-1.18030853963e-5,0.0013055535786975002,-6.853259198896e-4,-1.938221057003e-4,6.5585111273e-6,7.52490807574e-5,-2.1027349992e-6
L^2,4.271528700088522e-6,-1.608265990237585e-7,1.7789225008152185e-5,-9.33812077249091e-6,-2.640983186072205e-6,8.936502650347561e-8,1.0253296770749886e-6,-2.8651467579449353e-8
L^3,5.820303847695318e-8,-2.191392681243919e-9,2.4239260000833014e-7,-1.2723945940301437e-7,-3.598553510661451e-8,1.217670871781323e-9,1.397094736718515e-8,-3.903994534587368e-10
L^4,7.930635437096535e-10,-2.98595003100202e-11,3.3027955131195047e-9,-1.7337406983281874e-9,-4.903320641110591e-10,1.659175194142667e-11,1.903654743452651e-10,-5.31950877693259e-12
L^5,1.0806133164514433e-11,-4.068598779192764e-13,4.500326413061888e-11,-2.3623621344687203e-11,-6.68117154248511e-12,2.2607605952101096e-13,2.5938837839884568e-12,-7.248261588781587e-14
L^6,1.4724231733437243e-13,-5.543795393151256e-15,6.132059264236281e-13,-3.218909759546523e-13,-9.103637401530904e-14,3.080469432581986e-15,3.5343767602707756e-14,-9.876343523903604e-16
L^7,2.0062958399578652e-15,-7.553870270595432e-17,8.355427444322336e-15,-4.386025279072661e-15,-1.2404443354215382e-15,4.1973891199169954e-17,4.815874620386513e-16,-1.3457318035144096e-17
L^8,2.733740591905628e-17,-1.0292760107178194e-18,1.1384946682512174e-16,-5.976314710784106e-17,-1.6902058830030152e-17,5.71928266440562e-19,6.562019256120877e-18,-1.8336685865644678e-19
L^9,3.7249429894593625e-19,-1.402471935959897e-20,1.551291203560412e-18,-8.143212874934919e-19,-2.303042422268131e-19,7.792985892148475e-21,8.941282760024441e-20,-2.4985219763495994e-21
L^10,5.075536543520527e-21,-1.9109816129721724e-22,2.1137599194385495e-20,-1.1095787142341695e-20,-3.1380818467765323e-21,1.0618574509909559e-22,1.2183222004436862e-21,-3.4044385730564133e-23
L^11,6.915829659006744e-23,-2.603867237185236e-24,2.8801691047884985e-22,-1.511890874019909e-22,-4.275890700862614e-23,1.4468667874287077e-24,1.6600626822027584e-23,-4.638823315313781e-25
L^12,9.423378092599068e-25,-3.547980023911096e-26,3.924463698971817e-24,-2.060073779012922e-24,-5.826247427072082e-25,1.9714731940813962e-26,2.261969869578517e-25,-6.320772511803567e-27
L^13,1.2840115944791731e-26,-4.834410168960805e-28,5.347399671408718e-26,-2.807017389881206e-26,-7.938734045427305e-27,2.686291916264623e-28,3.082117166860165e-27,-8.612564529905816e-29
L^14,1.7495698024170263e-28,-6.587275442432783e-30,7.286265191667761e-28,-3.8247885621217234e-28,-1.0817168174352382e-28,3.660290325555766e-30,4.1996342913374906e-29,-1.1735316789723596e-30
L^15,2.3839305709471942e-30,-8.975696359625504e-32,9.92812651112785e-30,-5.2115842237643805e-30,-1.4739267828177243e-30,4.987442052086101e-32,5.722341892324929e-31,-1.5990319686658368e-32
L^16,3.248298501291799e-32,-1.223011332139488e-33,1.35278765496591e-31,-7.101205643201094e-32,-2.008344629658558e-32,6.795793778773533e-34,7.797154337985995e-33,-2.178810578896665e-34
L^17,4.42606982018868e-34,-1.6664520039579556e-35,1.8432827556911045e-33,-9.67596788651859e-34,-2.7365322338247874e-34,9.25981948287502e-36,1.0624254355007295e-34,-2.9688058974035963e-36
L^18,6.030878641662513e-36,-2.2706758380050355e-37,2.511622060532341e-35,-1.3184289998780388e-35,-3.728746827697213e-36,1.2617254090795328e-37,1.4476407123300196e-36,-4.04523850849009e-38
L^19,8.217560650435148e-38,-3.093979754024739e-39,3.4222884988622177e-37,-1.7964663050828176e-37,-5.080719581230496e-38,1.7192030696289985e-39,1.9725277294473503e-38,-5.511965132136935e-40
L^20,1.1197092008630575e-39,-4.215798027218783e-41,4.6631452850681794e-39,-2.4478308544460508e-39,-6.92289196771263e-40,2.3425534378181507e-41,2.6877288061181e-40,-7.510498961712277e-42
