lag,T,T2,P,P2,T*P,T2*P,T*P2,T2*P2
L^0,0.0395153,-0.00120439,0.45937361,-0.2458828,-0.04869466,0.0012555,0.02412291,-5.8294e-4
L^1,3.0452189337900004e-4,-9.281547227700001e-6,0.0035401305693123,-0.0018948785864040002,-3.752619886638e-4,9.675422865e-6,1.859015173113e-4,-4.4923863042e-6
L^2,2.346776654792727e-6,-7.152759400196411e-8,2.728176842326539e-5,-1.4602749184621379e-5,-2.891930247298368e-6,7.456296902952195e-8,1.4326370300533217e-6,-3.4620260586276004e-8
L^3,1.808527001579432e-8,-5.512223962445563e-10,2.102450386301051e-7,-1.1253506439884174e-7,-2.2286458015687565e-8,5.746143014181789e-10,1.104051698751382e-8,-2.66798614789895e-10
L^4,1.3937286740781781e-10,-4.247956811090937e-12,1.6202386730502009e-9,-8.67243596335166e-10,-1.7174902864583515e-10,4.428224890878097e-12,8.508297132808614e-11,-2.056064848975291e-12
L^5,1.0740672465776294e-12,-3.2736581807695526e-14,1.248625591715426e-11,-6.683352068105213e-12,-1.3235718668271234e-12,3.412580514580969e-14,6.556859627319029e-13,-1.584491983408865e-14
L^6,8.277224051043242e-15,-2.5228217614027904e-16,9.62244571876351e-14,-5.150478487820806e-14,-1.0200013941672548e-14,2.629881285498222e-16,5.052997973776019e-15,-1.221077655570158e-16
L^7,6.378784774368117e-17,-1.9441949306727306e-18,7.415470436045069e-16,-3.9691801932896894e-16,-7.860569344052358e-17,2.0266996035002063e-18,3.8940575175046724e-17,-9.410149477215533e-19
L^8,4.915765834873368e-19,-1.4982802139584252e-20,5.71468038324508e-18,-3.0588209316973463e-18,-6.057692741008542e-19,1.5618618625402095e-20,3.000928167462353e-19,-7.251865823569811e-21
L^9,3.788300530284318e-21,-1.1546391589255629e-22,4.403978434585138e-20,-2.3572589392660383e-20,-4.668318507009045e-21,1.2036379113335749e-22,2.3126442857576903e-21,-5.58859963387331e-23
L^10,2.9194272855598974e-23,-8.898145853518724e-25,3.3938951527639947e-22,-1.8166051007327974e-22,-3.597606979196972e-23,9.275751309038402e-25,1.7822231303091638e-23,-4.306815187647029e-25
L^11,2.249836201625736e-25,-6.857293814993231e-27,2.6154815422115032e-24,-1.3999540046440252e-24,-2.7724706352692922e-25,7.14829281605128e-27,1.373457779810845e-25,-3.3190169766538696e-27
L^12,1.7338205199294623e-27,-5.284525477467828e-29,2.0156025421344995e-26,-1.0788647540008856e-26,-2.136585087775833e-27,5.508781820640207e-29,1.0584456238067689e-27,-2.557777199939468e-29
L^13,1.3361566469400005e-29,-4.07248256753224e-31,1.5533099898781572e-28,-8.314195706175045e-29,-1.6465443417988315e-29,4.2453041486036315e-31,8.156837108673199e-30,-1.9711330946929513e-31
L^14,1.0296997668677828e-31,-3.138430183290748e-33,1.1970474705296728e-30,-6.407276721593856e-31,-1.268897871196877e-31,3.2716139249923484e-33,6.286009419939241e-32,-1.5190399214934603e-33
L^15,7.935309174382887e-34,-2.418609251741732e-35,9.224962538313985e-33,-4.937722954559253e-33,-9.778672621527747e-34,2.521246369997878e-35,4.844269157410236e-34,-1.1706374822194846e-35
L^16,6.115290468073952e-36,-1.8638842895900038e-37,7.109152805413905e-35,-3.805221630870407e-35,-7.535865605072009e-36,1.9429808663142753e-37,3.733202116274097e-36,-9.021435812100704e-38
L^17,4.712705792187915e-38,-1.4363893805825094e-39,5.478618845422589e-37,-2.9324674132788635e-37,-5.807462077489508e-38,1.4973446037590318e-39,2.876966078491819e-38,-6.952306358544723e-40
L^18,3.6318137298090712e-40,-1.1069434214202466e-41,4.222059262893e-39,-2.259885484771463e-39,-4.475479997782747e-40,1.1539181374746715e-41,2.2171137696271707e-40,-5.357746229067981e-42
L^19,2.798831828181252e-42,-8.530581991135631e-44,3.25370041653365e-41,-1.7415649296407344e-41,-3.4489973319312893e-42,8.892589352178933e-44,1.7086032067667917e-42,-4.128909627207636e-44
L^20,2.156900156565085e-44,-6.574033297394737e-46,2.5074414500987422e-43,-1.3421248220731247e-43,-2.657945650871525e-44,6.853011736131231e-46,1.3167231010723808e-44,-3.1819153018401747e-46
